Probe Set ID	Gene Symbol	Gene Title	Score(d)	Fold Change	q-value (%)
242673_at	UBE3C	Ubiquitin protein ligase E3C	1.88526	5.88082	107.371
1559810_at	LOC642313	hypothetical LOC642313	1.694141054	5.667934932	107.3708967
242197_x_at	CD36	CD36 molecule (thrombospondin receptor)	1.667673318	4.800305344	107.3708967
223528_s_at	LOC731602	similar to methyltransferase 11 domain containing 1 isoform 2	1.61409178	4.552732468	107.3708967
223528_s_at	METT11D1	methyltransferase 11 domain containing 1	1.61409178	4.552732468	107.3708967
205592_at	SLC4A1	solute carrier family 4, anion exchanger, member 1 (erythrocyte membrane protein band 3, Diego blood group)	1.792785531	3.966354548	107.3708967
221491_x_at	HLA-DRB1	major histocompatibility complex, class II, DR beta 1	4.406126791	3.846374234	0
221491_x_at	HLA-DRB3	major histocompatibility complex, class II, DR beta 3	4.406126791	3.846374234	0
221491_x_at	HLA-DRB4	major histocompatibility complex, class II, DR beta 4	4.406126791	3.846374234	0
221491_x_at	HLA-DRB5	major histocompatibility complex, class II, DR beta 5	4.406126791	3.846374234	0
221491_x_at	LOC100133484	similar to Major histocompatibility complex, class II, DR beta 4	4.406126791	3.846374234	0
221491_x_at	LOC100133661	similar to HLA class II histocompatibility antigen, DR-W53 beta chain	4.406126791	3.846374234	0
221491_x_at	LOC731718	similar to HLA class II histocompatibility antigen, DRB1-7 beta chain precursor (MHC class I antigen DRB17) (DR-7) (DR7)	4.406126791	3.846374234	0
201829_at	NET1	neuroepithelial cell transforming 1	1.55584681	3.691284279	107.3708967
202918_s_at	MOBKL3	MOB1, Mps One Binder kinase activator-like 3 (yeast)	1.546033549	3.464079501	107.3708967
1556988_s_at	CHD1L	chromodomain helicase DNA binding protein 1-like	1.783724855	3.393248908	107.3708967
235684_s_at	SESN3	sestrin 3	1.805634293	3.390298507	107.3708967
222103_at	ATF1	activating transcription factor 1	1.563370465	3.242605034	107.3708967
212159_x_at	AP2A2	adaptor-related protein complex 2, alpha 2 subunit	1.679690033	2.941687252	107.3708967
234989_at	NCRNA00084	non-protein coding RNA 84	1.827840917	2.770613352	107.3708967
222418_s_at	TMEM43	transmembrane protein 43	3.166546718	2.735062637	107.3708967
226338_at	TMEM55A	transmembrane protein 55A	1.618733749	2.640592116	107.3708967
229713_at	PIP4K2A	Phosphatidylinositol-5-phosphate 4-kinase, type II, alpha	2.5048	2.63686	107.371
201863_at	FAM32A	family with sequence similarity 32, member A	1.55703607	2.583371779	107.3708967
202838_at	FUCA1	fucosidase, alpha-L- 1, tissue	1.755214914	2.545112036	107.3708967
205594_at	ZNF652	zinc finger protein 652	1.8699841	2.294553891	107.3708967
213038_at	RNF19B	ring finger protein 19B	1.527459002	2.123070765	107.3708967
204594_s_at	SMCR7L	Smith-Magenis syndrome chromosome region, candidate 7-like	1.552814262	2.085802911	107.3708967
205654_at	C4BPA	complement component 4 binding protein, alpha	2.720863469	2.035574937	107.3708967
204838_s_at	MLH3	mutL homolog 3 (E. coli)	1.818566911	1.955759304	107.3708967
201630_s_at	ACP1	acid phosphatase 1, soluble	1.598706621	1.944996865	107.3708967
213872_at	C6orf62	Chromosome 6 open reading frame 62	1.803756915	1.927246979	107.3708967
212473_s_at	MICAL2	microtubule associated monoxygenase, calponin and LIM domain containing 2	2.117996134	1.812521326	107.3708967
200844_s_at	PRDX6	peroxiredoxin 6	1.504701696	1.730976848	107.3708967
214525_x_at	MLH3	mutL homolog 3 (E. coli)	1.632503504	1.697662053	107.3708967
218676_s_at	PCTP	phosphatidylcholine transfer protein	1.666238817	1.622913043	107.3708967
217902_s_at	HERC2	hect domain and RLD 2	1.807675847	1.620439623	107.3708967
222730_s_at	ZDHHC2	zinc finger, DHHC-type containing 2	1.912364228	1.525083989	107.3708967
