# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hugene_1_0_st_v1|7945680|7945680	refseq_dna|NR_002196|NR_002196	unigene|Hs.533566|Hs.533566	hgnc_symbol|H19|H19
affy_hugene_1_0_st_v1|8124437|8124437	refseq_dna|NM_021018|NM_021018	unigene|Hs.247814|Hs.247814	hgnc_symbol|HIST1H3F|HIST1H3F
affy_hugene_1_0_st_v1|8077914|8077914	refseq_dna|NM_025265|NM_025265	unigene|Hs.335550|Hs.335550	hgnc_symbol|TSEN2|TSEN2
affy_hugene_1_0_st_v1|7919659|7919659	refseq_dna|NM_005850|NM_005850	unigene|Hs.516160|Hs.516160	hgnc_symbol|SF3B4|SF3B4
affy_hugene_1_0_st_v1|8027701|8027701	refseq_dna|NM_020895|NM_020895	unigene|Hs.515351|Hs.515351	hgnc_symbol|GRAMD1A|GRAMD1A
affy_hugene_1_0_st_v1|7905789|7905789	refseq_dna|NM_000565|NM_000565	unigene|Hs.695954|Hs.695954	hgnc_symbol|IL6R|IL6R
affy_hugene_1_0_st_v1|7914216|7914216	refseq_dna|NR_003035|NR_003035	unigene|Hs.632377|Hs.632377	hgnc_symbol|SNORA16A|SNORA16A
affy_hugene_1_0_st_v1|7896929|7896929	refseq_dna|NM_022834|NM_022834	unigene|Hs.449009|Hs.449009	hgnc_symbol|VWA1|VWA1
affy_hugene_1_0_st_v1|7941976|7941976	refseq_dna|NM_002496|NM_002496	unigene|Hs.90443|Hs.90443	hgnc_symbol|NDUFS8|NDUFS8
affy_hugene_1_0_st_v1|7914214|7914214	refseq_dna|NR_002976|NR_002976	unigene|Hs.632377|Hs.632377	hgnc_symbol|SNORA44|SNORA44
affy_hugene_1_0_st_v1|7901048|7901048	refseq_dna|NR_000024|NR_000024	unigene|NA|NA	hgnc_symbol|SNORD46|SNORD46
affy_hugene_1_0_st_v1|8003332|8003332	refseq_dna|NM_002461|NM_002461	unigene|Hs.252457|Hs.252457	hgnc_symbol|MVD|MVD
affy_hugene_1_0_st_v1|7942594|7942594	refseq_dna|NR_000025|NR_000025	unigene|Hs.689080|Hs.689080	hgnc_symbol|SNORD15B|SNORD15B
affy_hugene_1_0_st_v1|7921786|7921786	refseq_dna|NM_012394|NM_012394	unigene|Hs.492516|Hs.492516	hgnc_symbol|PFDN2|PFDN2
