Probe Set ID	Gene Title	Gene Symbol	Chromosomal Location	Entrez Gene
200862_at	24-dehydrocholesterol reductase	DHCR24	1p33-p31.1	1718
201294_s_at	WD repeat and SOCS box-containing 1	WSB1	17q11.1	26118
201667_at	gap junction protein, alpha 1, 43kDa (connexin 43)	GJA1	6q21-q23.2	2697
201790_s_at	7-dehydrocholesterol reductase	DHCR7	11q13.2-q13.5	1717
201791_s_at	7-dehydrocholesterol reductase	DHCR7	11q13.2-q13.5	1717
201810_s_at	SH3-domain binding protein 5 (BTK-associated)	SH3BP5	3p24.3	9467
201811_x_at	SH3-domain binding protein 5 (BTK-associated)	SH3BP5	3p24.3	9467
201819_at	scavenger receptor class B, member 1	SCARB1	12q24.31	949
202053_s_at	aldehyde dehydrogenase 3 family, member A2	ALDH3A2	17p11.2	224
202054_s_at	aldehyde dehydrogenase 3 family, member A2	ALDH3A2	17p11.2	224
202068_s_at	low density lipoprotein receptor (familial hypercholesterolemia)	LDLR	19p13.3	3949
202409_at	putative insulin-like growth factor II associated protein	LOC492304	11p15.5	492304
202410_x_at	insulin-like growth factor 2 (somatomedin A)	IGF2	11p15.5	3481
202679_at	Niemann-Pick disease, type C1	NPC1	18q11-q12	4864
203038_at	protein tyrosine phosphatase, receptor type, K	PTPRK	6q22.2-23.1	5796
203058_s_at	3-phosphoadenosine 5-phosphosulfate synthase 2	PAPSS2	10q23-q24	9060
203060_s_at	3-phosphoadenosine 5-phosphosulfate synthase 2	PAPSS2	10q23-q24	9060
203381_s_at	apolipoprotein E	APOE	19q13.2	348
203382_s_at	apolipoprotein E	APOE	19q13.2	348
203630_s_at	component of oligomeric golgi complex 5	COG5	7q22-q31	10466
203646_at	ferredoxin 1	FDX1	11q22	2230
203647_s_at	ferredoxin 1	FDX1	11q22	2230
203924_at	glutathione S-transferase A1	GSTA1	6p12.1	2938
203984_s_at	caspase 9, apoptosis-related cysteine peptidase	CASP9	1p36.3-p36.1	842
204224_s_at	GTP cyclohydrolase 1 (dopa-responsive dystonia)	GCH1	14q22.1-q22.2	2643
204309_at	cytochrome P450, family 11, subfamily A, polypeptide 1 /// cytochrome P450, family 11, subfamily A, polypeptide 1	CYP11A1	15q23-q24	1583
204345_at	collagen, type XVI, alpha 1	COL16A1	1p35-p34	1307
204419_x_at	hemoglobin, gamma A /// hemoglobin, gamma A /// hemoglobin, gamma G /// hemoglobin, gamma G	HBG1 /// HBG2	11p15.5	3047 /// 3048
204450_x_at	apolipoprotein A-I /// similar to Apolipoprotein A-I precursor (Apo-AI)	APOA1 /// LOC440837	11q23-q24 /// 22p13	335 /// 440837
204548_at	steroidogenic acute regulator	STAR	8p11.2	6770
204615_x_at	isopentenyl-diphosphate delta isomerase 1	IDI1	10p15.3	3422
204731_at	transforming growth factor, beta receptor III (betaglycan, 300kDa)	TGFBR3	1p33-p32	7049
204848_x_at	hemoglobin, gamma A /// hemoglobin, gamma A /// hemoglobin, gamma G /// hemoglobin, gamma G	HBG1 /// HBG2	11p15.5	3047 /// 3048
205198_s_at	ATPase, Cu++ transporting, alpha polypeptide (Menkes syndrome)	ATP7A	Xq13.2-q13.3	538
205358_at	glutamate receptor, ionotropic, AMPA 2	GRIA2	4q32-q33	2891
205502_at	cytochrome P450, family 17, subfamily A, polypeptide 1	CYP17A1	10q24.3	1586
206286_s_at	teratocarcinoma-derived growth factor 1	TDGF1	3p21.31	6997
