# Generate Mapping Tables Script: Version 4 11:06 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:06 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_000477.3|NM_000477	hgnc_symbol|ALB|ALB
refseq_dna|NM_001643.1|NM_001643	hgnc_symbol|APOA2|APOA2
refseq_dna|NM_001063.2|NM_001063	hgnc_symbol|TF|TF
refseq_dna|NM_001633.2|NM_001633	hgnc_symbol|AMBP|AMBP
refseq_dna|NM_005141.2|NM_005141	hgnc_symbol|FGB|FGB
refseq_dna|NM_000607.1|NM_000607	hgnc_symbol|ORM1|ORM1
refseq_dna|NM_000039.1|NM_000039	hgnc_symbol|APOA1|APOA1
refseq_dna|NM_000583.2|NM_000583	hgnc_symbol|GC|GC
refseq_dna|NM_000638.2|NM_000638	hgnc_symbol|VTN|VTN
refseq_dna|NM_005143.2|NM_005143	hgnc_symbol|HP|HP
refseq_dna|NM_000508.3|NM_000508	hgnc_symbol|FGA|FGA
refseq_dna|NM_000014.4|NM_000014	hgnc_symbol|A2M|A2M
refseq_dna|NM_001622.1|NM_001622	hgnc_symbol|AHSG|AHSG
refseq_dna|NM_001645.3|NM_001645	hgnc_symbol|APOC1|APOC1
refseq_dna|NM_000608.2|NM_000608	hgnc_symbol|ORM2|ORM2
refseq_dna|NM_000506.2|NM_000506	hgnc_symbol|F2|F2
refseq_dna|NM_000384.1|NM_000384	hgnc_symbol|APOB|APOB
refseq_dna|NM_000096.1|NM_000096	hgnc_symbol|CP|CP
refseq_dna|NM_000371.1|NM_000371	hgnc_symbol|TTR|TTR
refseq_dna|NM_000567.2|NM_000567	hgnc_symbol|CRP|CRP
refseq_dna|NM_021870.2|NM_021870	hgnc_symbol|FGG|FGG
refseq_dna|NM_015991.1|NM_015991	hgnc_symbol|C1QA|C1QA
refseq_dna|NM_001639.2|NM_001639	hgnc_symbol|APCS|APCS
refseq_dna|NM_000042.1|NM_000042	hgnc_symbol|APOH|APOH
refseq_dna|NM_005410.2|NM_005410	hgnc_symbol|SEPP1|SEPP1
refseq_dna|NM_000715.3|NM_000715	hgnc_symbol|C4BPA|C4BPA
refseq_dna|NM_000488.2|NM_000488	hgnc_symbol|SERPINC1|SERPINC1
refseq_dna|NM_000491.2|NM_000491	hgnc_symbol|C1QB|C1QB
refseq_dna|NM_005518.2|NM_005518	hgnc_symbol|HMGCS2|HMGCS2
refseq_dna|NM_019111.3|NM_019111	hgnc_symbol|HLA-DRA|HLA-DRA
refseq_dna|NM_000239.1|NM_000239	hgnc_symbol|LYZ|LYZ
