Refseq	Gene symbol	Description
NM_022552	DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha
NM_012421	RLF	rearranged L-myc fusion
NM_018904	PCDHA13	protocadherin alpha 13
NM_018905	PCDHA2	protocadherin alpha 2
NM_018906	PCDHA3	protocadherin alpha 3
NM_018907	PCDHA4	protocadherin alpha 4
NM_018908	PCDHA5	protocadherin alpha 5
NM_018909	PCDHA6	protocadherin alpha 6
NM_018911	PCDHA8	protocadherin alpha 8
NM_018992	KCTD5	potassium channel tetramerisation domain containing 5
NM_019063	EML4	echinoderm microtubule associated protein like 4
NM_018901	PCDHA10	protocadherin alpha 10
NM_018899	PCDHAC2	protocadherin alpha subfamily C, 2
NM_014035	SNX24	sorting nexin 24
NM_014871	PAN2	PAN2 polyA specific ribonuclease subunit homolog (S. cerevisiae)
NM_014903	NAV3	neuron navigator 3
NM_014918	CHSY1	chondroitin sulfate synthase 1
NM_015316	PPP1R13B	protein phosphatase 1, regulatory (inhibitor) subunit 13B
NM_015435	RNF19A	ring finger protein 19A
NM_017544	NKRF	NFKB repressing factor
NM_018416	FOXJ2	forkhead box J2
NM_018667	SMPD3	sphingomyelin phosphodiesterase 3, neutral membrane (neutral sphingomyelinase II)
NM_018898	PCDHAC1	protocadherin alpha subfamily C, 1
NM_020443	NAV1	neuron navigator 1
NM_020801	ARRDC3	arrestin domain containing 3
NM_021159	RAP1GDS1	RAP1, GTP-GDP dissociation stimulator 1
NM_152678	FAM116A	family with sequence similarity 116, member A
NM_152835	PDIK1L	PDLIM1 interacting kinase 1 like
NM_152910	DGKH	diacylglycerol kinase, eta
NM_153252	BRWD3	bromodomain and WD repeat domain containing 3
NM_173683	XKR6	XK, Kell blood group complex subunit-related family, member 6
NM_178123	SESTD1	SEC14 and spectrin domains 1
NM_181354	OXR1	oxidation resistance 1
NM_198337	INSIG1	insulin induced gene 1
NM_198935	SS18L1	synovial sarcoma translocation gene on chromosome 18-like 1
NM_152624	DCP2	DCP2 decapping enzyme homolog (S. cerevisiae)
NM_152527	SLC16A14	solute carrier family 16, member 14 (monocarboxylic acid transporter 14)
NM_152523	CCNYL1	cyclin Y-like 1
NM_021643	TRIB2	tribbles homolog 2 (Drosophila)
NM_022443	MLF1	myeloid leukemia factor 1
NM_022780	RMND5A	required for meiotic nuclear division 5 homolog A (S. cerevisiae)
NM_022893	BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)
NM_030816	ANKRD13C	ankyrin repeat domain 13C
NM_032701	SUV420H2	suppressor of variegation 4-20 homolog 2 (Drosophila)
NM_138390	TMEM169	transmembrane protein 169
NM_138391	TMEM183A	transmembrane protein 183A
NM_138973	BACE1	beta-site APP-cleaving enzyme 1
NM_199324	OTUD4	OTU domain containing 4
NM_012257	HBP1	HMG-box transcription factor 1
NM_000089	COL1A2	collagen, type I, alpha 2
NM_001003940	BMF	Bcl2 modifying factor
NM_001069	TUBB2A	tubulin, beta 2A
NM_001222	CAMK2G	calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma
NM_001621	AHR	aryl hydrocarbon receptor
NM_001844	COL2A1	collagen, type II, alpha 1
NM_001845	COL4A1	collagen, type IV, alpha 1
NM_001846	COL4A2	collagen, type IV, alpha 2
NM_001851	COL9A1	collagen, type IX, alpha 1
NM_001854	COL11A1	collagen, type XI, alpha 1
NM_001858	COL19A1	collagen, type XIX, alpha 1
NM_000943	PPIC	peptidylprolyl isomerase C (cyclophilin C)
NM_000859	HMGCR	3-hydroxy-3-methylglutaryl-Coenzyme A reductase
NM_000090	COL3A1	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)
NM_000091	COL4A3	collagen, type IV, alpha 3 (Goodpasture antigen)
NM_000092	COL4A4	collagen, type IV, alpha 4
NM_000094	COL7A1	collagen, type VII, alpha 1 (epidermolysis bullosa, dystrophic, dominant and recessive)
NM_000138	FBN1	fibrillin 1
NM_000304	PMP22	peripheral myelin protein 22
NM_000314	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)
NM_000393	COL5A2	collagen, type V, alpha 2
NM_000555	DCX	doublecortex; lissencephaly, X-linked (doublecortin)
NM_000793	DIO2	deiodinase, iodothyronine, type II
NM_002202	ISL1	ISL LIM homeobox 1
NM_002482	NASP	nuclear autoantigenic sperm protein (histone-binding)
NM_005302	GPR37	G protein-coupled receptor 37 (endothelin receptor type B-like)
NM_005329	HAS3	hyaluronan synthase 3
NM_005399	PRKAB2	protein kinase, AMP-activated, beta 2 non-catalytic subunit
NM_005627	SGK1	serum/glucocorticoid regulated kinase 1
NM_005841	SPRY1	sprouty homolog 1, antagonist of FGF signaling (Drosophila)
NM_005927	MFAP3	microfibrillar-associated protein 3
NM_006332	IFI30	interferon, gamma-inducible protein 30
NM_006791	MORF4L1	mortality factor 4 like 1
NM_006874	ELF2	E74-like factor 2 (ets domain transcription factor)
NM_006892	DNMT3B	DNA (cytosine-5-)-methyltransferase 3 beta
NM_004926	ZFP36L1	zinc finger protein 36, C3H type-like 1
NM_004772	C5orf13	chromosome 5 open reading frame 13
NM_003074	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1
NM_003127	SPTAN1	spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)
NM_003211	TDG	thymine-DNA glycosylase
NM_003222	TFAP2C	transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma)
NM_003463	PTP4A1	protein tyrosine phosphatase type IVA, member 1
