Identified gene	Accession no.	Fold-change	Function
 Stanniocalcin precursor STC	U25997	18.8	Hormones/growth factors
 Activin ?-A	X57579	3.4	Hormones/growth factors
 TGF?	M60315	2.8	Hormones/growth factors
 VEGF	M27281	2.3	Hormones/growth factors
 Nerve growth factor ?	X52599	-2.6	Hormones/growth factors
 Connective tissue growth factor (CTGF)	M92934	-5.5	Hormones/growth factors
 CD24 signal transducer	L33903	3.8	Cell cycle/apoptosis/proliferation
 BCL3	U05681	2.8	Cell cycle/apoptosis/proliferation
 Growth arrest specific gene 1 (gas1)	L13698	2.5	Cell cycle/apoptosis/proliferation
 Growth arrest/damage induced protein (gadd45)	M60974	-3.9	Cell cycle/apoptosis/proliferation
 BSF2/IL6	Y00081	4.9	Immune/inflammation
 Prointerleukin 1?	X04500	4.9	Immune/inflammation
 Interleukin BSF-2	X04602	4.3	Immune/inflammation
 TRAF-interacting protein	U59863	-2.7	Immune/inflammation
 Pentraxin (PTX3)	X97748	-4.8	Immune/inflammation
 Activation-induced C-type lectin (AICL)	X96719	-5.4	Immune/inflammation
 MCP-1	M37719	-7.4	Immune/inflammation
 Protein kinase A anchoring protein Ht31	AF387101	2.6	Protein kinases
 DAP-kinase	X76104	-2.5	Protein kinases
 MKP-1/CL100	X68277	3.9	Phosphatases
 Protein phosphatase 2A	M65254	2.7	Phosphatases
 Tyrosine phosphatase	X82676	-2.3	Phosphatases
 Ras-related rho	M12174	6.5	GTPases/G-protein signaling
 Rho E	S82240	4.8	GTPases/G-protein signaling
 RP4	U27768	-4.6	GTPases/G-protein signaling
 Phosphodiesterase	L20971	3.2	Phosphodiesterases
 3,5-Cyclic nucleotide phosphodiesterase	U40372	-3.8	Phosphodiesterases
 Protease proMch 6	U60521	6.1	Proteases/protease inhibitors
 Mitogen-induced orphan receptor (MINOR)	U12767	11.1	Receptors
 Retinoic acid receptor	X06614	10.1	Receptors
 Orphan G protein-coupled receptor (RDC1)	U67784	5.3	Receptors
 Transferrin receptor	X01060	3.4	Receptors
 PDGF receptor A	M21574	-2.2	Receptors
 Glucocorticoid receptor ?	HG4582	-2.8	Receptors
 ARP-1	M64497	-2.9	Receptors
 Progression associated protein	Y07909	-4.9	Receptors
 HOX7	M76732	8.1	Transcription factors/DNA-binding proteins
 Zinc finger transcription factor (hEZF)	U70663	7.8	Transcription factors/DNA-binding proteins
 Jun-B	U20734	7.3	Transcription factors/DNA-binding proteins
 cAMP-responsive element modulator	S68271	7.3	Transcription factors/DNA-binding proteins
 AREB6	D15050	6.4	Transcription factors/DNA-binding proteins
 Helix loop helix basic phosphoprotein (G0S8)	L13391	5.7	Transcription factors/DNA-binding proteins
 Jun-B	X51345	5.7	Transcription factors/DNA-binding proteins
 MSX-2	D89377	5.4	Transcription factors/DNA-binding proteins
 HOX7	M97676	3.8	Transcription factors/DNA-binding proteins
 Id1	S78825	3.2	Transcription factors/DNA-binding proteins
 MAD-3 (IkB-like)	M69043	2.5	Transcription factors/DNA-binding proteins
 H4 histone	X60486	-3.5	Transcription factors/DNA-binding proteins
 Osteoprotegerin (OPG)	U94332	-3.5	Transcription factors/DNA-binding proteins
 CPBP	U44975	-3.6	Transcription factors/DNA-binding proteins
 Msg1	U65093	-3.7	Transcription factors/DNA-binding proteins
 Homeobox gene	M60721	-5.7	Transcription factors/DNA-binding proteins
 HEM45	U88964	3.3	Nucleases
 Glucose transporter like protein (GLUT III)	M20681	5.8	Transporter/channels
 Na+/K+-transporting ATPase ?3-subunit	U51478	3	Transporter/channels
 Tubulin ?-1	HG2259	21.6	Cytoskeleton/motility
 Tubulin ?-3	U47634	5.3	Cytoskeleton/motility
 Has2	U54804	6.8	Extracellular matrix
 TSG14	M31166	-3.6	Extracellular matrix
 Cystein-rich angiogenic protein (CYR61)	U62015	-14.9	Extracellular matrix
 Adipogenesis inhibitor factor	X58377	5	Lipids and lipid turnover
 Cyclooxygenase 2 (hCOX-2)	U04636	4.7	Lipids and lipid turnover
 Thrombomodulin	J02973	6.2	Hemostasis
 Plasminogen activator inhibitor 1 (PAI-1)	J03764	-4.5	Hemostasis
 Polyamine oxidase	U61836	6.8	Metabolic enzymes
 Cystathionine gamma lyase	S52028	5.2	Metabolic enzymes
 S-Adenosylmethionin synthase	X68836	4.7	Metabolic enzymes
 Methylene tetrahydrofolate dehyd.cyclohyd.	X16396	-2.1	Metabolic enzymes
 Ceramide glucosyltransferase	D50804	-2.9	Metabolic enzymes
 Heme oxygenase	X06985	3.9	Antioxidants
 E16	M80244	9.5	Other or unknown
 Cyclophilin (hCyP3)	M80254	3.3	Other or unknown
 KIAA0071	D31888	3.2	Other or unknown
 KIAA0025	D14695	3.2	Other or unknown
 TSC-22	U35048	3.2	Other or unknown
 AF1q	U16954	2.5	Other or unknown
 Signal transducing adaptor	U43899	-2.2	Other or unknown
 APC	M74088	-2.4	Other or unknown
 KIAA0127	D50917	-2.5	Other or unknown
 HMG isoform I-C	U28749	-2.9	Other or unknown
 IFI16	M63838	-3.4	Other or unknown
 MTG8a	D43638	-3.6	Other or unknown
 Oncogene Tls/Chop	HG2724	-7.5	Other or unknown
