S. mediterranea Gene	Human Gene	HGNC Gene Abbreviation	HGNC Gene Name
CUFF.618449	ENSG00000141385	AFG3L2	AFG3 ATPase family gene 3-like 2 (S. cerevisiae)
CUFF.363969	ENSG00000158467	AHCYL2	adenosylhomocysteinase-like 2
CUFF.419414	ENSG00000145020	AMT	aminomethyltransferase
CUFF.228900	ENSG00000198142	ANKRD57	ankyrin repeat domain 57
CUFF.235050	ENSG00000138363	ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
CUFF.491574	ENSG00000087586	AURKA	aurora kinase A
CUFF.410760	ENSG00000119866	BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)
CUFF.553772	ENSG00000156983	BRPF1	bromodomain and PHD finger containing, 1
CUFF.288306	ENSG00000064726	BTBD1	BTB (POZ) domain containing 1
CUFF.46526	ENSG00000148690	C10orf4	fragile site, folic acid type, rare, fra(10)(q23.3) or fra(10)(q24.2) candidate 1
CUFF.266518	ENSG00000126214	C14orf153	kinesin light chain 1
CUFF.30842	ENSG00000163050	CABC1	chaperone, ABC1 activity of bc1 complex homolog (S. pombe)
CUFF.543762	ENSG00000164885	CDK5	cyclin-dependent kinase 5
CUFF.29154	ENSG00000100888	CHD8	chromodomain helicase DNA binding protein 8
CUFF.88989	ENSG00000080802	CNOT4	CCR4-NOT transcription complex, subunit 4
CUFF.459718	ENSG00000144550	CPNE9	copine family member IX
CUFF.351532	ENSG00000205560	CPT1B	carnitine palmitoyltransferase 1B (muscle)
CUFF.477675	ENSG00000036257	CUL3	cullin 3
CUFF.333208	ENSG00000129187	DCTD	dCMP deaminase
CUFF.503546	ENSG00000013573	DDX11	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11
CUFF.674613	ENSG00000145833	DDX46	DEAD (Asp-Glu-Ala-Asp) box polypeptide 46
CUFF.168955	ENSG00000100353	EIF3D	eukaryotic translation initiation factor 3, subunit D
CUFF.591787	ENSG00000125991	ERGIC3	ERGIC and golgi 3
CUFF.358630	ENSG00000145216	FIP1L1	FIP1 like 1 (S. cerevisiae)
CUFF.216856	ENSG00000125798	FOXA2	forkhead box A2
CUFF.417498	ENSG00000053254	FOXN3	forkhead box N3
CUFF.465457	ENSG00000159131	GART	phosphoribosylglycinamide formyltransferase,
CUFF.664549	ENSG00000141448	GATA6	GATA binding protein 6
CUFF.234063	ENSG00000168827	GFM1	G elongation factor, mitochondrial 1
CUFF.535943	ENSG00000004961	HCCS	holocytochrome c synthase
CUFF.473959	ENSG00000143889	HNRPLL	heterogeneous nuclear ribonucleoprotein L-like
CUFF.57239	ENSG00000107077	KDM4C	lysine (K)-specific demethylase 4C
CUFF.252072	ENSG00000147050	KDM6A	lysine (K)-specific demethylase 6A
CUFF.48427	ENSG00000102763	KIAA0564	KIAA0564
CUFF.606171	ENSG00000132361	KIAA0664	KIAA0664
CUFF.559065	ENSG00000011376	LARS2	leucyl-tRNA synthetase 2, mitochondrial
CUFF.89842	ENSG00000186001	LRCH3	leucine-rich repeats and calponin homology (CH) domain containing 3
CUFF.133648	ENSG00000007392	LUC7L	LUC7-like (S. cerevisiae)
CUFF.577585	ENSG00000112893	MAN2A1	mannosidase, alpha, class 2A, member 1
CUFF.720904	ENSG00000112159	MDN1	MDN1, midasin homolog (yeast)
CUFF.102504	ENSG00000165819	METTL3	methyltransferase like 3
CUFF.128467	ENSG00000123600	METTL8	methyltransferase like 8
CUFF.548584	ENSG00000079277	MKNK1	MAP kinase interacting serine/threonine kinase 1
CUFF.41160	ENSG00000116062	MSH6	mutS homolog 6 (E. coli)
CUFF.533177	ENSG00000100714	MTHFD1	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1
CUFF.569899	ENSG00000085760	MTIF2	mitochondrial translational initiation factor 2
CUFF.178729	ENSG00000187109	NAP1L1	nucleosome assembly protein 1-like 1
CUFF.130722	ENSG00000110717	NDUFS8	NADH dehydrogenase (ubiquinone) Fe-S protein 8
CUFF.350549	ENSG00000244005	NFS1	NFS1 nitrogen fixation 1 homolog (S. cerevisiae)
CUFF.229294	ENSG00000181163	NPM1	nucleophosmin (nucleolar phosphoprotein B23, numatrin)
CUFF.336549	ENSG00000170917	NUDT6	nudix (nucleoside diphosphate linked moiety X)-type motif 6
CUFF.15480	ENSG00000138430	OLA1	Obg-like ATPase 1
CUFF.4211	ENSG00000183570	PCBP3	poly(rC) binding protein 3
CUFF.130255	ENSG00000120265	PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase
CUFF.506163	ENSG00000123836	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2
CUFF.51442	ENSG00000013375	PGM3	phosphoglucomutase 3
CUFF.116654	ENSG00000140451	PIF1	PIF1 5-to-3 DNA helicase homolog (S. cerevisiae)
CUFF.637711	ENSG00000107242	PIP5K1B	phosphatidylinositol-4-phosphate 5-kinase, type I, beta
CUFF.606405	ENSG00000110697	PITPNM1	phosphatidylinositol transfer protein, membrane-associated 1
CUFF.174344	ENSG00000105819	PMPCB	peptidase (mitochondrial processing) beta
CUFF.186108	ENSG00000099821	POLRMT	polymerase (RNA) mitochondrial (DNA directed)
CUFF.136946	ENSG00000138032	PPM1B	protein phosphatase, Mg2+/Mn2+ dependent, 1B
CUFF.341233	ENSG00000058272	PPP1R12A	protein phosphatase 1, regulatory (inhibitor) subunit 12A
CUFF.361527	ENSG00000156475	PPP2R2B	protein phosphatase 2, regulatory subunit B, beta
CUFF.273255	ENSG00000149923	PPP4C	protein phosphatase 4, catalytic subunit
CUFF.329690	ENSG00000100462	PRMT5	protein arginine methyltransferase 5
CUFF.36231	ENSG00000112739	PRPF4B	PRP4 pre-mRNA processing factor 4 homolog B (yeast)
CUFF.640144	ENSG00000141127	PRPSAP2	phosphoribosyl pyrophosphate synthetase-associated protein 2
CUFF.380670	ENSG00000129084	PSMA1	proteasome (prosome, macropain) subunit, alpha type, 1
CUFF.344649	ENSG00000169410	PTPN9	protein tyrosine phosphatase, non-receptor type 9
CUFF.141770	ENSG00000213079	RBM16	RNA binding motif protein 16
CUFF.412300	ENSG00000152464	RPP38	ribonuclease P/MRP 38kDa subunit
CUFF.388629	ENSG00000164587	RPS14	ribosomal protein S14
CUFF.293433	ENSG00000144580	RQCD1	RCD1 required for cell differentiation1 homolog (S. pombe)
CUFF.282963	ENSG00000133028	SCO1	SCO cytochrome oxidase deficient homolog 1 (yeast)
CUFF.451295	ENSG00000100650	SFRS5	serine/arginine-rich splicing factor 5
CUFF.158825	ENSG00000176974	SHMT1	serine hydroxymethyltransferase 1 (soluble)
CUFF.580390	ENSG00000096717	SIRT1	sirtuin 1
CUFF.342104	ENSG00000033867	SLC4A7	solute carrier family 4, sodium bicarbonate cotransporter, member 7
CUFF.45147	ENSG00000103257	SLC7A5	solute carrier family 7 (cationic amino acid transporter, y+ system)
CUFF.170234	ENSG00000125870	SNRPB2	small nuclear ribonucleoprotein polypeptide B
CUFF.126062	ENSG00000128739	SNRPN	small nuclear ribonucleoprotein polypeptide N
CUFF.175140	ENSG00000143376	SNX27	sorting nexin family member 27
CUFF.356292	ENSG00000139324	TMTC3	transmembrane and tetratricopeptide repeat containing 3
CUFF.140083	ENSG00000198431	TXNRD1	thioredoxin reductase 1
CUFF.85182	ENSG00000160201	U2AF1	U2 small nuclear RNA auxiliary factor 1
CUFF.433286	ENSG00000132388	UBE2G1	ubiquitin-conjugating enzyme E2G 1 (UBC7 homolog, yeast)
CUFF.187445	ENSG00000012963	UBR7	ubiquitin protein ligase E3 component n-recognin 7 (putative)
CUFF.75167	ENSG00000094841	UPRT	uracil phosphoribosyltransferase (FUR1) homolog (S. cerevisiae)
CUFF.51680	ENSG00000135655	USP15	ubiquitin specific peptidase 15
CUFF.142761	ENSG00000136014	USP44	ubiquitin specific peptidase 44
