Full Name	Symbol	Entrez gene ID	Log2 R
Over-represented genes
ribonucleotide reductase M2	RRM2	6241	6.58
cyclin B1	CCNB1	891	5.58
maternal embryonic leucine zipper kinase	MELK	9833	5.54
aurora kinase A	AURKA	6790	5.53
discs, large (Drosophila) homolog-associated protein 5	DLGAP5	9787	5.38
GTP cyclohydrolase 1	GCH1	2643	5.34
Epithelial cell adhesion molecule	EPCAM	4072	5.34
Dickkopf homolog 1 (X. laevis)	DKK1	22943	5.25
cyclin-dependent kinase inhibitor 3	CDKN3	1033	5.12
topoisomerase (DNA) II alpha 170 kDa	TOP2A	7153	5.1
keratin 81	KRT81	3887	5.04
neuropilin (NRP) and tolloid (TLL)-like 2	NETO2	81831	5.02
NDC80 homolog, kinetochore complex component (S. cerevisiae)	NDC80	10403	5.02
centrosomal protein 55 kDa	CEP55	55165	4.97
ZW10 interactor	ZWINT	11130	4.94
interleukin 6 (interferon, beta 2)	IL6	3569	4.94
Forkhead box A1	FOXA1	3169	4.92
cell division cycle 20 homolog (S. cerevisiae)	CDC20	991	4.91
budding uninhibited by benzimidazoles 1 homolog beta (yeast)	BUB1B	701	4.89
ELOVL family member 5, elongation of long chain fatty acids	ELOVL5	60481	4.86
kinesin family member 23	KIF23	9493	4.82
meiosis-specific nuclear structural 1	MNS1	55329	4.81
geminin, DNA replication inhibitor	GMNN	51053	4.78
RAD51 associated protein 1	RAD51AP1	10635	4.75
thymidylate synthetase	TYMS	7298	4.74
kinesin family member 11	KIF11	3832	4.74
asp (abnormal spindle) homolog, microcephaly associated (Drosophila)	ASPM	259266	4.72
annexin A3	ANXA3	306	4.71
sarcoglycan, epsilon	SGCE	8910	4.69
epithelial cell transforming sequence 2 oncogene	ECT2	1894	4.64
kinesin family member 15	KIF15	56992	4.64
myxovirus (influenza virus) resistance 1, interferon-inducible protein p78	MX1	4599	4.62
v-myb myeloblastosis viral oncogene homolog (avian)-like 1	MYBL1	4603	4.59
kinesin family member 20A	KIF20A	10112	4.58
non-SMC condensin I complex, subunit G	NCAPG	64151	4.56
activated leukocyte cell adhesion molecule	ALCAM	214	4.55
hyaluronan-mediated motility receptor (RHAMM)	HMMR	3161	4.51
ISG15 ubiquitin-like modifier	ISG15	9636	4.5
nicotinamide N-methyltransferase	NNMT	4837	4.45
bone marrow stromal cell antigen 2	BST2	684	4.44
