# Generate Mapping Tables Script: Version 4 11:05 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:05 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
entrezgene|84189|84189	hgnc_symbol|SLITRK6|SLITRK6
entrezgene|24141|24141	hgnc_symbol|C20orf103|C20orf103
entrezgene|2255|2255	hgnc_symbol|FGF10|FGF10
entrezgene|121601|121601	hgnc_symbol|ANO4|ANO4
entrezgene|7373|7373	hgnc_symbol|COL14A1|COL14A1
entrezgene|339479|339479	hgnc_symbol|FAM5C|FAM5C
entrezgene|2|2	hgnc_symbol|A2M|A2M
entrezgene|23767|23767	hgnc_symbol|FLRT3|FLRT3
entrezgene|1191|1191	hgnc_symbol|CLU|CLU
entrezgene|9496|9496	hgnc_symbol|TBX4|TBX4
entrezgene|285313|285313	hgnc_symbol|IGSF10|IGSF10
entrezgene|55504|55504	hgnc_symbol|TNFRSF19|TNFRSF19
entrezgene|79839|79839	hgnc_symbol|CCDC102B|CCDC102B
entrezgene|51083|51083	hgnc_symbol|GAL|GAL
entrezgene|11095|11095	hgnc_symbol|ADAMTS8|ADAMTS8
entrezgene|90293|90293	hgnc_symbol|KLHL13|KLHL13
entrezgene|55|55	hgnc_symbol|ACPP|ACPP
entrezgene|5140|5140	hgnc_symbol|PDE3B|PDE3B
entrezgene|7111|7111	hgnc_symbol|TMOD1|TMOD1
entrezgene|387496|387496	hgnc_symbol|RASL11A|RASL11A
entrezgene|123264|123264	hgnc_symbol|OSTbeta|OSTbeta
entrezgene|4857|4857	hgnc_symbol|NOVA1|NOVA1
entrezgene|57211|57211	hgnc_symbol|GPR126|GPR126
entrezgene|652|652	hgnc_symbol|BMP4|BMP4
