Entrez gene ID	Symbol	Fold change (Log2 ratio)	Gene name	Putative binding sites
8407	TAGLN2	-2.71	Transgelin 2	(+)
10952	SEC61B	-2.66	Sec61 beta subunit	(+)
2512	FTL	-2.47	Ferritin, light polypeptide	(+)
29956	LASS2	-2.46	LAG1 homologue, ceramide synthase 2	(+)
27166	PRELID1	-2.44	PRELI domain containing 1	(-)
10186	LHFP	-2.44	Lipoma HMGIC fusion partner	(+)
58472	SQRDL	-2.42	Sulphide quinone reductase-like (yeast)	(+)
10944	C11orf58	-2.39	Chromosome 11 open reading frame 58	(+)
7837	PXDN	-2.38	Peroxidasin homologue (Drosophila)	(+)
2744	GLS	-2.36	Glutaminase	(+)
81558	FAM117A	-2.36	Family with sequence similarity 117, member A	(+)
10746	MAP3K2	-2.32	Mitogen-activated protein kinase kinase kinase 2	(+)
200081	TXLNA	-2.31	Taxilin alpha	(+)
2512	FTL	-2.3	Ferritin, light polypeptide	(+)
1515	CTSL2	-2.29	Cathepsin L2	(+)
10092	ARPC5	-2.29	Actin related protein 2/3 complex, subunit 5, 16kDa	(+)
4833	NME4	-2.24	Non-metastatic cells 4, protein expressed in	(+)
1070	CETN3	-2.17	Centrin, EF-hand protein, 3 (CDC31 homologue, yeast)	(+)
55179	FAIM	-2.17	Fas apoptotic inhibitory molecule	(+)
79183	TTPAL	-2.1	Tocopherol (alpha) transfer protein-like	(+)
