Agilent Probe ID	Accession Number	Gene Symbol	Correlation to Stationary Signature Proband ( R )	# of Down Regulated Cell lines	% of Down regulated Cell lines	CellLine Log2(Rim/Core) G112MS	CellLine Log2(Rim/Core) G120	CellLine Log2(Rim/Core) GH3	CellLine Log2(Rim/Core) GH4	CellLine Log2(Rim/Core) GH6	CellLine Log2(Rim/Core) SF763	CellLine Log2(Rim/Core) SF767	CellLine Log2(Rim/Core) T98G	CellLine Log2(Rim/Core) U87EGFR	CellLine Log2(Rim/Core) U87
A_23_P46429	NM_001554	CYR61	1	10	100%	2.991	1.935	0.534	1.13	0.187	0.036	0.573	2.146	1.055	0.751
A_24_P70002	BC036437	BC036437	0.913	6	60%	0.597	0.173	-0.058	-0.046	-0.253	-0.147	0.04	0.153	0.14	0.148
A_23_P340698	NM_002426	MMP12	0.901	8	80%	0.358	-0.06	0.066	0.174	0.005	0.003	-0.213	0.08	0.6	0.232
A_32_P58361	THC1422993	THC1422993	0.898	8	80%	1.191	0.934	0.497	-0.007	0.289	0.535	0.295	1.216	0.24	-0.185
A_32_P62796	THC1519807	THC1519807	0.882	9	90%	0.482	0.257	0.125	0.502	0.638	0.239	0.272	0.295	0.281	-0.188
A_24_P180424	BC009006	C6orf67	0.863	7	70%	0.99	0.134	-0.092	0.267	-0.097	-0.02	0.091	0.084	0.01	0.147
A_23_P502470	NM_002184	IL6ST	0.858	8	80%	0.337	0.161	-0.023	0.415	0.34	0.254	0.307	-0.008	0.415	0.77
A_23_P19663	NM_001901	CTGF	0.851	10	100%	3.977	0.761	1.396	0.497	0.288	0.275	0.99	1.438	1.264	0.624
A_23_P333228	AB037820	AB037820	0.847	8	80%	0.338	0.277	0.441	0.219	0.741	0.54	-0.096	0.464	0.731	-0.009
A_23_P51339	NM_007034	DNAJB4	0.838	9	90%	0.496	0.93	0.054	0.811	0.124	-0.294	0.535	0.779	0.517	0.488
A_24_P122137	NM_002309	LIF	0.836	8	80%	0.25	0.591	-0.647	-0.015	0.256	0.036	0.229	0.091	0.152	0.038
A_23_P213102	NM_016081	NM_016081	0.835	8	80%	0.65	0.022	0.015	0.436	0.26	-0.004	-0.233	0.012	0.55	0.35
A_23_P119196	NM_016270	KLF2	0.834	8	80%	0.076	1.061	1.277	0.104	0.285	-1.174	-0.105	1.311	0.063	0.156
A_23_P13425	NM_004356	CD81	0.833	3	30%	0.567	-0.231	-1.082	0.052	-0.289	-0.197	0.065	-0.203	-0.025	-0.175
A_23_P95599	AK000400	AK000400	0.831	2	20%	0.273	-0.255	-0.088	-0.331	-0.341	-0.438	-0.057	0.133	-0.259	-0.101
A_23_P125624	NM_012332	NM_012332	0.83	10	100%	0.489	0.194	0.291	0.255	0.001	0.143	0.047	0.502	0.303	0.032
A_23_P141362	NM_001466	FZD2	0.83	4	40%	-0.118	0.259	-0.01	-0.528	-0.197	-0.147	0.737	0.466	-0.303	0.023
A_23_P27584	AK027693	AK027693	0.83	9	90%	0.044	-0.07	0.378	0.253	0.195	0.049	0.458	0.344	0.113	0.281
A_24_P272290	AK024828	AK024828	0.827	7	70%	0.77	0.316	0.257	0.386	0.098	-0.146	-0.082	0.198	-0.103	0.011
A_23_P100754	NM_022739	NM_022739	0.826	6	60%	1.872	1.324	0.163	0.615	-0.282	-0.413	-0.045	0.598	-0.186	0.055
A_23_P201619	I_1100665	I_1100665	0.825	7	70%	0.415	0.343	-0.404	0.795	0.305	-0.088	-0.304	0.402	0.317	0.078
A_23_P42514	AK022681	AK022681	0.823	0	0%	-0.005	-0.191	-0.36	-0.203	-0.047	-0.389	-0.344	-0.29	-0.202	-0.068
A_32_P28284	NM_003290	TPM4	0.822	10	100%	0.07	0.224	0.698	0.262	0.082	0.235	0.176	0.508	0.114	0.046
A_24_P402438	NM_003238	TGFB2	0.822	7	70%	1.322	0.344	0.777	0.469	0.208	0.215	-0.063	-0.157	0.039	-0.228
A_23_P209167	NM_005860	FSTL3	0.822	8	80%	0.647	0.247	0.981	0.723	0.226	-0.372	0.035	0.3	-0.128	0.005
A_32_P75284	THC1410410	THC1410410	0.821	10	100%	0.083	0.048	0.156	0.21	0.096	0.083	0.309	0.362	0.061	0.183
A_23_P215265	I_962833	I_962833	0.819	6	60%	0.623	0.303	-0.009	0.282	-0.084	0.134	0.137	-0.114	0.205	-0.252
A_24_P393958	NM_007034	DNAJB4	0.819	8	80%	0.255	1.014	0.304	0.409	0.394	-0.173	-0.015	0.613	0.55	0.226
A_32_P100338	I_1897926	I_1897926	0.818	9	90%	0.135	0.502	0.5	0.697	0.57	-0.72	0.065	1.157	0.676	0.288
A_23_P201386	NM_012137	DDAH1	0.817	9	90%	0.855	1.041	0.54	0.449	0.246	-0.761	0.377	1.375	0.38	0.133
A_23_P405761	NM_012250	RRAS2	0.817	8	80%	1.365	0.479	-0.055	0.263	0.34	-0.062	0.19	0.65	0.379	0.576
A_24_P734308	AK001164	AK001164	0.817	7	70%	0.068	-0.075	0.297	0.433	0.289	-0.105	0.321	-0.057	0.342	0.215
A_23_P76159	BC041930	BC041930	0.815	6	60%	0.224	-0.017	-0.058	0.02	0.034	-0.247	-0.137	0.43	0.438	0
A_23_P90172	NM_014330	PPP1R15A	0.814	7	70%	0.402	0.614	0.056	0.156	-0.005	-0.046	0.134	0.343	0.358	-0.199
A_23_P103110	NM_012323	MAFF	0.814	7	70%	-0.133	0.266	0.315	0.504	0.238	0.058	0.09	-0.131	0.41	-0.098
A_23_P156101	NM_002270	KPNB2	0.813	7	70%	0.762	0.264	-0.154	0.563	0.143	-0.04	0.244	0.211	0.836	-0.662
A_23_P151415	NM_032116	NM_032116	0.812	9	90%	0.172	0.067	0.206	0.057	0.391	-0.157	0.474	0.27	0.299	0.605
A_32_P89755	NM_003144	SSR1	0.811	5	50%	0.767	0.605	-0.68	0.573	0.393	-0.051	-0.068	-0.262	0.904	-0.217
A_24_P519146	AK056047	AK056047	0.811	7	70%	0.008	0.126	0.027	-0.04	0.048	0.145	-0.038	-0.063	0.192	0.196
A_32_P125687	BE877371	BE877371	0.811	6	60%	0.056	-0.08	0.247	0.304	0.237	-0.704	-0.018	0.12	0.871	-0.31
