U95 chip	Probe	Genbank	Gene Symbol	Gene Name	T:BM	ABI assay ID
A	38800_at	D45352	STMN2	Stathmin-like 2	449	Hs00199796_m1
A	33426_at	Y00064	CHGB	Chromogranin B (secretogranin 1)	287	Hs00174956_m1
A	39297_at	U38810	MAB21L1	Mab-21-like 1 (C. elegans)	263	Hs00366575_s1
A	36149_at	D78014	DPYSL3	Dihydropyrimidinase-like 3	240	Hs00181665_m1
A	36990_at	X04741	UCHL1	Ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)	222	Hs00188233_m1
A	35778_at	AB011103	KIF5C	Kinesin family member 5C	203	Hs00189672_m1
A	37714_at	M25667	GAP43	Growth associated protein 43	182	Hs00176645_m1
B	47939_at	AA102788	ELAVL4	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D)	175	Hs00222634_m1
A	40272_at	D78012	CRMP1	Collapsin response mediator protein 1	140	Hs00609714_m1
A	38551_at	U52112	L1CAM	L1 cell adhesion molecule	110	Hs00544069_m1
A	36924_r_at	M25756	SCG2	Secretogranin II (chromogranin C)	104	Hs00185761_m1
C	64258_f_at	AW016235	MEG3	Maternally expressed 3	100	Hs00292028_m1
C	61320_g_at	AL037611	TACC2	Transforming, acidic coiled-coil containing protein 2	99	Hs00610617_m1
A	39990_at	U07559	ISL1	ISL LIM homeobox 1	93	Hs00158126_m1
A	35020_at	D82344	PHOX2B	Paired-like homeobox 2b	85	Hs00243679_m1
C	63848_s_at	AI199503	PCSK1N	Proprotein convertase subtilisin/kexin type 1 inhibitor	81	Hs00560041_m1
A	39178_at	L10333	RTN1	Reticulon 1	71	Hs00382515_m1
A	38418_at	X59798	CCND1	Cyclin D1	68	Hs00277039_m1
A	32650_at	Z78388	TAGLN3	Transgelin 3	66	Hs00203119_m1
D	73450_at	AI687064	GRIA2	Glutamate receptor, ionotropic, AMPA 2	59	Hs00181331_m1
A	41771_g_at	AA420624	MAOA	Monoamine oxidase A	55	Hs00165140_m1
B	43976_at	AI857856	KIF21A	Kinesin family member 21A	51	Hs00286908_m1
A	36941_at	U16954	MLLT11	Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 11	50	Hs00199111_m1
A	38604_at	AI198311	NPY	Neuropeptide Y	47	Hs00173470_m1
A	38634_at	M11433	RBP1	Retinol binding protein 1, cellular	47	Hs00161252_m1
E	91882_at	AI573279	SOX11	SRY (sex determining region Y)-box 11	47	Hs00846583_s1
A	40201_at	M76180	DDC	Dopa decarboxylase (aromatic L-amino acid decarboxylase)	47	Hs00168031_m1
E	73596_at	AI377558	CXXC4	CXXC finger 4	46	Hs00228693_m1
E	88926_at	AA029437	CNTFR	Ciliary neurotrophic factor receptor	45	Hs00181798_m1
B	54897_at	AA167714	MAP2	Microtubule-associated protein 2	44	Hs00159041_m1
A	33890_at	AB008109	RGS5	Regulator of G-protein signalling 5	43	Hs00186212_m1
B	52176_at	W21875	KIF1A	Kinesin family member 1A	41	Hs00188913_m1
A	38839_at	AL096719	PFN2	Profilin 2	40	Hs00160050_m1
C	63823_at	AL120032	GABRB3	Gamma-aminobutyric acid (GABA) A receptor, beta 3	39	Hs00241459_m1
A	32300_s_at	M17589	TH	Tyrosine hydroxylase	37	Hs00165941_m1
