Gene Name	GenBank Accession No.	UniGene Cluster ID	Function	Signal, AU
ADP-ribosyltransferase 4	N70349	Hs.13776	Protein amino acid ADP-ribosylation	0.34
Catechol-O-methyltransferase	R44202	Hs.240013	Catecholamine metabolism	0.35
N-deacetylase/N-sulfotransferase (heparin glucosaminyl) 2	AA428321	Hs.78473	Metabolism	0.35
Catalase	H15685	Hs.395771	Oxidative stress defense	0.35
DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 1	AA425687	Hs.78580	Protein synthesis in cell growth and proliferation	0.35
Mannosidase, alpha, class 1A, member 1	T91261	Hs.25253	Carbohydrate metabolism	0.36
Inhibitor of growth family, member 1	N33574	Hs.46700	Cell cycle/tumor suppressor	0.36
Hydroxyprostaglandin dehydrogenase 15-(NAD)	AA775223	Hs.77348	Prostaglandin metabolism	0.36
Protein phosphatase 2 (formerly 2A), catalytic subunit, beta isoform	AA490473	Hs.80350	Signal transduction	0.36
Cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)	AA284072	Hs.84113	Cell cycle/negative regulation	0.36
Phosphorylase kinase, alpha 2 (liver)	AA677340	Hs.54941	Signal transduction/carbohydrate metabolism	0.37
SMT3 (suppressor of mif two 3, yeast) homolog 2	AA775415	Hs.180139	Cellular localization of proteins	0.37
Human immunodeficiency virus type I enhancer-binding protein 2	AA683219	Hs.75063	Transcription regulation	0.37
Chromodomain helicase DNA binding protein 4	N34372	Hs.74441	Transcription regulation	0.37
Transcription termination factor, RNA polymerase I	AA709143	Hs.54780	Transcription termination	0.37
Accessory proteins BAP31/BAP29	AA625628	Hs.291904	Protein transport/apoptosis	0.38
Bone marrow stromal cell antigen 1	N27179	Hs.169998	Receptor/signal transduction/immune response	0.38
Sarcoma amplified sequence	R45413	Hs.50984	Cell cycle/proliferation	0.38
Superoxide dismutase 3, extracellular	AA454160	Hs.2420	Oxidative stress defense	0.38
Peptidase (mitochondrial processing) beta	N29844	Hs.184211	Mitochondrial protein processing	0.38
Nebulin	AA176957	Hs.83870	Cytoskeleton	0.38
3-hydroxy-3-methylglutaryl-CoA reductase	AA779417	Hs.11899	Lipid metabolism	0.38
ATP-binding cassette, subfamily C (CFTR/MRP), member 3	AA429895	Hs.108660	ABC transporter/multi-drug resistance	0.38
ATP-binding cassette, subfamily C (CFTR/MRP), member 5	N68159	Hs.108660	ABC transporter/multi-drug resistance	0.38
Polymerase (DNA directed), gamma	AA188761	Hs.80961	DNA replication	0.38
Interferon regulatory factor 5	N30372	Hs.334450	Transcription regulation/cell growth	0.38
Inositol 1,3,4-triphosphate 5/6 kinase	AA463931	Hs.6453	Signal transduction	0.38
Translin-associated factor X	AA477514	Hs.96247	Protein transport	0.39
v-ral simian leukemia viral oncogene homolog A (ras related)	H94892	Hs.6906	Signal transduction	0.39
Tryptophan 2,3-dioxygenase	T72398	Hs.183671	Tryptophan metabolism	0.39
TRK-fused gene (NOTE: nonstandard symbol and name)	R60847	Hs.250897	Signal transduction	0.39
Aldehyde dehydrogenase 5 family, member A1 (succinate-semialdehyde dehydrogenase)	H06676	Hs.5299	Metabolism	0.39
Cyclic nucleotide gated channel beta 1	H82536	Hs.93909	Small molecule transport/vision	0.4
ATP synthase, H+transporting, mitochondrial F1 complex, delta subunit	AA669314	Hs.89761	ATP biosynthesis	0.4
Ribosomal protein S6 kinase, 90 kDa, polypeptide 3	H55921	Hs.173965	Signal transduction	0.4
Rhesus blood group, D antigen	N53959	Hs.278994	Small molecule transport	0.4
Cytochrome c-1	AA447774	Hs.289271	Mitochondrial electron transport	0.4
Cytochrome c-1	T72604	Hs.289271	Mitochondrial electron transport	0.4
Ubiquitin specific protease 9, Y chromosome (fat facets-like Drosophila)	AA182680	Hs.193145	Ubiquitin specific protease	0.4
Rho/rac guanine nucleotide exchange factor (GEF) 2	AA464578	Hs.337774	Signal transduction	0.41
Integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide)	AA425451	Hs.851	Integrin-mediated signal transduction	0.41
Human glucose transporter pseudogene	H03954	Hs.453919	Unknown	0.41
Interleukin 18 receptor 1	AA482489	Hs.159301	Receptor-signal transduction/immune response	0.41
Bradykinin receptor B2	AA194043	Hs.250882	Signal transduction	0.41
Serine/threonine kinase 2	AA496013	Hs.1087	Signal transduction/mitosis	0.41
General transcription factor IIH, polypeptide 1 (62 kDa subunit)	AA455004	Hs.89578	Transcription regulation	0.41
Nucleolar protein p40	R45255	Hs.346868	Ribosome biosynthesis	0.41
HCGVIII-1 protein	AA701554	Hs.153618	Signal transduction	0.41
Polymerase (RNA) II (DNA directed) polypeptide F	AA418689	Hs.46405	Transcription from Pol II promoter	0.41
NOPE	R36958	Hs.20924	Cell adhesion/differentiation	1.1
