Number of patients	(Affy ID)	Probe sets in this study	Gene name
2	200008_s_at	GDI2	GDP dissociation inhibitor 2
2	201215_at	PLS3	plastin 3 (T isoform)
4	201427_s_at	SEPP1	selenoprotein P, plasma, 1
2	201650_at	KRT19	keratin 19
2	201693_s_at	EGR1	early growth response 1
3	201998_at	ST6GAL1	ST6 beta-galactosamide alpha-2,6-sialyltranferase 1
2	202026_at	SDHD	succinate dehydrogenase complex, subunit D, integral membrane protein
2	202266_at	TTRAP	TRAF and TNF receptor-associated protein
2	202504_at	TRIM29	tripartite motif-containing 29
2	202709_at	FMOD	fibromodulin
2	202718_at	IGFBP2	insulin-like growth factor-binding protein 2, 36 kDa
2	202747_s_at	ITM2A	integral membrane protein 2A
2	203153_at	IFIT1	interferon-induced protein with tetratricopeptide repeats 1
2	203196_at	ABCC4	ATP-binding cassette, sub-family C member 4
2	203438_at	STC2	stanniocalcin 2
2	203650_at	PROCR	protein C receptor, endothelial (EPCR)
2	203665_at	HMOX1	heme oxygenase (decycling) 1
3	203697_at	FRZB	frizzled-related protein
2	203698_s_at	FRZB	frizzled-related protein
2	203717_at	DPP4	dipeptidyl-peptidase 4 (CD26)
2	203822_s_at	ELF2	E74-like factor 2 (ets domain transcription factor)
2	204035_at	SCG2	secretogranin II (chromogranin C)
2	204612_at	PKIA	protein kinase inhibitor alpha
2	204670_x_at	HLA-DRB1	major histocompatibility complex class II, DR beta 1
2	204811_s_at	CACNA2D2	calcium channel, voltage-dependent, alpha 2/delta subunit 2
2	204855_at	SERPINB5	serpin peptidase inhibitor, clade B (ovalbumin), member 5
2	204920_at	CPS1	carbamoyl-phosphate synthetase 1, mitochondrial
2	205049_s_at	CD79A	CD79a molecule, immunoglobulin-associated alpha
2	205289_at	BMP2	bone morphogenetic protein 2
2	205328_at	CLDN10	claudin 10
2	205480_s_at	UGP2	UDP-glucose pyrophosphorylase 2
2	205498_at	GHR	growth hormone receptor
4	205554_s_at	DNASE1L3	deoxyribonuclease I-like 3
2	205569_at	LAMP3	lysosomal-associated membrane protein 3
2	205594_at	ZNF652	zinc finger protein 652
2	205765_at	CYP3A5	cytochrome P450, family 3, sub-family A
3	205997_at	ADAM28	ADAM metallopeptidase domain 28
2	206094_x_at	UGT1A6	UDP glucuronosyltransferase 1 family, polypeptide A6
2	206150_at	CD27	CD27 molecule
4	206268_at	LEFTY1	left-right determination factor 1
3	206354_at	SLCO1B3	solute carrier organic anion transporter family, member 1B3
2	206478_at	KIAA0125	KIAA0125
2	206631_at	PTGER2	prostaglandin E receptor 2 (subtype EP2), 53 kDa
2	207126_x_at	UGT1A4	UDP glucuronosyltransferase 1 family, polypeptide A4
3	207277_at	CD209	CD209 molecule
2	207367_at	ATP12A	ATPase, H+/K+ transporting, non-gastric, alpha polypeptide
2	207432_at	BEST2	bestrophin 2
2	208323_s_at	ANXA13	annexin A13
2	208451_s_at	C4A	complement component 4A (Rodgers blood group)
2	208498_s_at	AMY1A	amylase, alpha 1A (salivary)
2	208781_x_at	SNX3	sorting nexin 3
3	209436_at	SPON1	spondin 1, extracellular matrix protein
2	209641_s_at	ABCC3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3
2	209735_at	ABCG2	ATP-binding cassette, sub-family G, member 2
3	209772_s_at	CD24	CD24 molecule
3	210107_at	CLCA1	chloride channel, calcium-activated, member 1
2	210610_at	CEACAM1	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)
2	211116_at	SLC9A2	solute carrier family 9 (sodium/hydrogen exchanger), member 2
2	211316_x_at	CFLAR	CASP8 and FADD-like apoptosis regulator
2	211518_s_at	BMP4	bone morphogenetic protein 4
2	212022_s_at	MKI67	antigen identified by monoclonal antibody Ki-67
2	212224_at	ALDH1A1	aldehyde dehydrogenase 1 family, member A1
2	212789_at	NCAPD3	non-SMC condensin II complex, subunit D3
2	212848_s_at	C9orf3	chromosome 9 open reading frame 3
2	213425_at	WNT5A	wingless-type MMTV integration site family, member 5A
2	213624_at	SMPDL3A	sphingomyelin phosphodiesterase, acid-like 3A
2	213670_x_at	NSUN5B	NOL1/NOP2/Sun domain family, member 5B
2	213921_at	SST	somatostatin
3	213993_at	SPON1	spondin 1, extracellular matrix protein
2	214235_at	CYP3A5	cytochrome P450, family 3, sub-family A, polypeptide 5
2	214428_x_at	C4A	complement component 4A (Rodgers blood group), complement component 4B (Childo blood group)
2	214651_s_at	HOXA9	homeobox A9
2	214795_at	ZMYND8	zinc finger, MYND-type containing 8
2	214916_x_at	IGHA2	immunoglobulin heavy locus, heavy constant gamma 2 (G2m marker
2	215088_s_at	SDHC	succinate dehydrogenase complex, subunit C, integral membrane protein, 15 kDa
2	215204_at		CDNA FLJ14090 fis, clone MAMMA1000264
2	215672_s_at	KIAA0828	adenosylhomocysteinase 3
2	215894_at	PTGDR	prostaglandin D2 receptor (DP)
2	217281_x_at	IL8	interleukin-8
5	218002_s_at	CXCL14	chemokine (C-X-C motif) ligand 14
2	218698_at	APIP	APAF1-interacting protein
2	218876_at	TPPP3	tubulin polymerization-promoting protein family member 3
2	218986_s_at	FLJ20035	hypothetical protein FLJ20035
2	219093_at	PID1	phosphotyrosine interaction domain containing 1
2	219857_at	C10orf81	chromosome 10 open reading frame 81
2	220266_s_at	KLF4	Kruppel-like factor 4 (gut)
2	220376_at	LRRC19	leucine-rich repeat containing 19
3	220645_at	FAM55D	family with sequence similarity 55, member D
2	221691_x_at	NPM1	nucleophosmin (nucleolar phosphoprotein B23, numatrin)
3	222252_x_at	UBQLN4	ubiquilin 4
2	39248_at	AQP3	aquaporin 3 (Gill blood group)
2	41660_at	CELSR1	cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)
2	200008_s_at	GDI2	GDP dissociation inhibitor 2
2	201215_at	PLS3	plastin 3 (T isoform)
4	201427_s_at	SEPP1	selenoprotein P, plasma, 1
2	201650_at	KRT19	keratin 19
2	201693_s_at	EGR1	early growth response 1
3	201998_at	ST6GAL1	ST6 beta-galactosamide
2	202026_at	SDHD	succinate dehydrogenase complex, subunit D, integral membrane protein
2	202266_at	TTRAP	TRAF and TNF receptor-associated protein
2	202504_at	TRIM29	tripartite motif-containing 29
2	202709_at	FMOD	fibromodulin
2	202718_at	IGFBP2	insulin-like growth factor binding protein 2, 36 kDa
2	202747_s_at	ITM2A	integral membrane protein 2A
2	203153_at	IFIT1	interferon-induced protein with tetratricopeptide repeats 1
2	203196_at	ABCC4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4
2	203438_at	STC2	stanniocalcin 2
2	203650_at	PROCR	protein C receptor, endothelial (EPCR)
2	203665_at	HMOX1	heme oxygenase (decycling) 1
3	203697_at	FRZB	frizzled-related protein
2	203698_s_at	FRZB	frizzled-related protein
2	203717_at	DPP4	dipeptidyl-peptidase 4 (CD26, adenosine deaminase complexing protein 2)
2	203822_s_at	ELF2	E74-like factor 2 (ets domain transcription factor)
2	204035_at	SCG2	secretogranin II (chromogranin C)
2	204612_at	PKIA	protein kinase (cAMP-dependent, catalytic) inhibitor alpha
2	204670_x_at	HLA-DRB1	major histocompatibility complex, class II DR beta 1
2	204811_s_at	CACNA2D2	calcium channel, voltage-dependent, alpha 2/delta subunit 2
2	204855_at	SERPINB5	serpin peptidase inhibitor, clade B (ovalbumin), member 5
2	204920_at	CPS1	carbamoyl-phosphate synthetase 1, mitochondrial
2	205049_s_at	CD79A	CD79a molecule, immunoglobulin-associated alpha
2	205289_at	BMP2	bone morphogenetic protein 2
2	205328_at	CLDN10	claudin 10
2	205480_s_at	UGP2	UDP-glucose pyrophosphorylase 2
2	205498_at	GHR	growth hormone receptor
4	205554_s_at	DNASE1L3	deoxyribonuclease I-like 3
2	205569_at	LAMP3	lysosomal-associated membrane protein 3
2	205594_at	ZNF652	zinc finger protein 652
2	205765_at	CYP3A5	cytochrome P450, family 3, sub-family A, polypeptide 5
3	205997_at	ADAM28	ADAM metallopeptidase domain 28
2	206094_x_at	UGT1A6	UDP glucuronosyltransferase 1 family, polypeptide A6
2	206150_at	CD27	CD27 molecule
4	206268_at	LEFTY1	left-right determination factor 1
