ID	Gene Symbol	Gene Title	logFC	t	P.Value	adj.P.Val	B	Pathway	go biological process term	go molecular function term	go cellular component term
205569_at	LAMP3	lysosomal-associated membrane protein 3	-6.121865558	-26.80353673	0.00000166	0.001199985	6.148403084	---	cell proliferation	---	lysosome /// lysosomal membrane /// lysosomal membrane /// membrane /// integral to membrane
1555854_at	---	---	-5.759945657	-16.0085583	0.0000203	0.002947444	3.802516905	---	---	---	---
217187_at	MUC5AC	mucin 5AC, oligomeric mucus/gel-forming	-5.697541962	-7.544435046	0.000708064	0.014017357	-0.111325609	---	cell adhesion /// digestion /// fibril organization and biogenesis	extracellular matrix structural constituent /// extracellular matrix constituent, lubricant activity	extracellular region /// fibril
205830_at	CLGN	calmegin	-5.533044248	-15.73087085	0.0000221	0.003027235	3.715366087	---	protein folding /// single fertilization	calcium ion binding /// unfolded protein binding /// unfolded protein binding	endoplasmic reticulum /// endoplasmic reticulum /// endoplasmic reticulum membrane /// membrane /// integral to membrane
217967_s_at	FAM129A	family with sequence similarity 129, member A	-5.280040418	-25.05442938	0.00000231	0.001284311	5.871428672	---	---	---	---
217966_s_at	FAM129A	family with sequence similarity 129, member A	-5.265517654	-26.2717508	0.00000183	0.001202654	6.0672893	---	---	---	---
206199_at	CEACAM7	carcinoembryonic antigen-related cell adhesion molecule 7	-5.134821968	-15.89665779	0.000021	0.002949725	3.767623893	---	---	---	plasma membrane /// plasma membrane /// membrane /// integral to membrane /// anchored to membrane
226899_at	UNC5B	unc-5 homolog B (C. elegans)	-5.132521849	-15.52702967	0.0000235	0.003055714	3.650176758	---	apoptosis /// signal transduction /// multicellular organismal development	receptor activity /// protein binding	membrane /// integral to membrane
231771_at	GJB6	gap junction protein, beta 6, 30kDa	-4.983339935	-25.22690055	0.00000224	0.001283033	5.900076254	<a target=external href=http://www.wikipathways.org/index.php/Pathway:Homo_sapiens:Calcium_regulation_in_cardiac_cells>Calcium_regulation_in_cardiac_cells</a>	apoptosis /// cell communication /// sensory perception of sound /// sensory perception of sound /// negative regulation of cell proliferation /// ear morphogenesis /// inner ear development	protein binding	cytosol /// plasma membrane /// gap junction /// connexon complex /// membrane /// integral to membrane /// apical plasma membrane /// cell junction
201884_at	CEACAM5	carcinoembryonic antigen-related cell adhesion molecule 5	-4.822402942	-28.0230609	0.00000134	0.001177277	6.324957879	---	---	---	plasma membrane /// integral to plasma membrane /// membrane /// anchored to membrane
204567_s_at	ABCG1	ATP-binding cassette, sub-family G (WHITE), member 1	-4.633424497	-6.729601619	0.001188281	0.017828052	-0.705321593	---	transport /// lipid transport /// cholesterol metabolic process /// detection of hormone stimulus /// response to organic substance /// protein transport /// intracellular cholesterol transport /// cholesterol efflux /// phospholipid efflux /// cholestero	nucleotide binding /// ATP binding /// ATP binding /// ATP binding /// phospholipid binding /// phospholipid transporter activity /// protein transporter activity /// cholesterol binding /// ATPase activity /// nucleoside-triphosphatase activity /// chole	Golgi membrane /// endosome /// endoplasmic reticulum /// endoplasmic reticulum membrane /// Golgi apparatus /// Golgi apparatus /// plasma membrane /// integral to plasma membrane /// membrane /// integral to membrane
239370_at	---	---	-4.603189683	-27.15095514	0.00000156	0.001199985	6.200012155	---	---	---	---
206153_at	CYP4F11	cytochrome P450, family 4, subfamily F, polypeptide 11	-4.58522551	-50.85041413	7.29E-08	0.000617846	8.163010325	---	inflammatory response /// oxidation reduction /// oxidation reduction /// oxidation reduction	monooxygenase activity /// monooxygenase activity /// iron ion binding /// electron carrier activity /// oxidoreductase activity /// heme binding /// heme binding /// metal ion binding /// unspecific monooxygenase activity	endoplasmic reticulum /// endoplasmic reticulum membrane /// microsome /// membrane /// integral to membrane
223952_x_at	DHRS9	dehydrogenase/reductase (SDR family) member 9	-4.463030707	-18.78928381	0.00000935	0.002172833	4.581540135	---	metabolic process /// androgen metabolic process /// androgen metabolic process /// epithelial cell differentiation /// progesterone metabolic process /// retinol metabolic process /// 9-cis-retinoic acid biosynthetic process /// 9-cis-retinoic acid biosy	catalytic activity /// alcohol dehydrogenase activity /// alcohol dehydrogenase activity /// retinol dehydrogenase activity /// retinol dehydrogenase activity /// binding /// oxidoreductase activity /// racemase and epimerase activity /// 3-alpha(17-beta)	endoplasmic reticulum /// endoplasmic reticulum membrane /// microsome /// microsome /// microsome /// membrane /// integral to endoplasmic reticulum membrane /// integral to endoplasmic reticulum membrane
202376_at	SERPINA3	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	-4.395934197	-9.337462844	0.000264082	0.008968213	1.010679004	---	acute-phase response /// inflammatory response /// regulation of lipid metabolic process	DNA binding /// DNA binding /// endopeptidase inhibitor activity /// serine-type endopeptidase inhibitor activity /// serine-type endopeptidase inhibitor activity /// serine-type endopeptidase inhibitor activity /// protein binding /// chymotrypsin inhibi	extracellular region /// extracellular region /// intracellular /// nucleus
205869_at	PRSS1	protease, serine, 1 (trypsin 1)	-4.32164557	-16.536103	0.0000173	0.002751587	3.963021425	---	proteolysis /// digestion /// endothelial cell migration	catalytic activity /// serine-type endopeptidase activity /// calcium ion binding /// peptidase activity /// hydrolase activity /// metal ion binding	extracellular region /// extracellular region
224009_x_at	DHRS9	dehydrogenase/reductase (SDR family) member 9	-4.226102593	-10.81213299	0.00013246	0.006560666	1.783855939	---	metabolic process /// androgen metabolic process /// androgen metabolic process /// epithelial cell differentiation /// progesterone metabolic process /// retinol metabolic process /// 9-cis-retinoic acid biosynthetic process /// 9-cis-retinoic acid biosy	catalytic activity /// alcohol dehydrogenase activity /// alcohol dehydrogenase activity /// retinol dehydrogenase activity /// retinol dehydrogenase activity /// binding /// oxidoreductase activity /// racemase and epimerase activity /// 3-alpha(17-beta)	endoplasmic reticulum /// endoplasmic reticulum membrane /// microsome /// microsome /// microsome /// membrane /// integral to endoplasmic reticulum membrane /// integral to endoplasmic reticulum membrane
217626_at	AKR1C1	aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)	-4.193263165	-12.06182372	0.0000788	0.005226557	2.356775354	---	lipid metabolic process /// prostaglandin metabolic process /// xenobiotic metabolic process /// digestion /// steroid metabolic process /// steroid metabolic process /// bile acid metabolic process /// bile acid and bile salt transport /// cholesterol ab	aldo-keto reductase activity /// oxidoreductase activity /// carboxylic acid binding /// bile acid binding /// 20-alpha-hydroxysteroid dehydrogenase activity /// 3-alpha-hydroxysteroid dehydrogenase (A-specific) activity /// 3-alpha-hydroxysteroid dehydro	cytoplasm /// cytosol
