Agilent probe ID	Log2-fold change: E47-FD vs. Mock	Log2-fold change: E47 vs. Mock	Adjusted p-value: E47-FD vs. Mock	Adjusted p-value: E47 vs. Mock	Gene symbol
A_23_P74012	9.36	10.15	1.00E-06	0	SPRR1A
A_23_P93348	7.15	7.19	0	0	LTB
A_23_P104555	5.62	6.82	3.00E-06	0	ANKRD2
A_23_P200579	5.61	4.63	0	0	ELA3B
A_23_P428129	4.95	6.28	3.00E-06	0	CDKN1C
A_23_P34700	4.67	4.08	6.20E-05	4.50E-05	TNNT2
A_23_P112481	4.54	4.71	0	0	AQP3
A_32_P94444	4.5	2.01	0	0.04	PRSS2
A_23_P111766	4.4	1.95	0	0.04
A_24_P927304	4.38	3.79	5.60E-05	4.10E-05	TNNT2
A_23_P148737	4.28	5.18	0.01	0	MYBPH
A_23_P218047	4.18	4.92	3.30E-05	4.00E-06	KRT5
A_23_P27133	4.15	6.66	0.01	0	KRT15
A_23_P95213	4.05	5.1	0	9.00E-06	SFTPC
A_23_P132175	4.05	6.57	1.90E-05	0	RTN4R
A_23_P112482	3.95	4.06	0	0	AQP3
A_23_P106024	3.91	6.47	0	0	JAG2
A_23_P48088	3.9	4.06	1.90E-05	5.00E-06	CD27
A_23_P64051	3.9	6.19	2.00E-05	0	CDC42BPG
A_23_P1912	3.86	2.27	0	0.01	ZP1
A_32_P16315	3.68	2.85	0	0
A_23_P96158	3.55	5.01	0.02	0	KRT17
A_32_P103669	3.54	5.14	0	0	GOLGA8E
A_24_P257022	3.53	3.02	0	0	TNNT2
A_23_P115261	3.53	2.45	0	0.01	AGT
A_24_P610945	3.39	4.97	0.02	0
A_23_P17134	3.32	3.18	8.30E-05	3.50E-05	MAL
A_32_P59302	3.3	3.6	0	8.70E-05	HIVEP3
A_23_P140884	3.27	2.74	0.01	0.01	BC014971
A_23_P102113	3.2	2.58	3.00E-06	3.00E-06	WNT10A
A_32_P73507	3.15	2.85	1.00E-06	0	THC2647902
A_23_P332960	3.12	4.37	3.30E-05	1.00E-06	TMEM80
A_24_P177236	3.1	5.03	0	7.40E-05	CABP7
A_23_P250102	3.09	1.76	1.50E-05	0	CAND2
A_24_P887857	3.09	4.55	0.04	0	LOC650517
A_24_P62469	3.08	5.27	9.30E-05	1.00E-06	PLCH2
A_23_P39955	3.04	2.26	0	0	ACTG2
A_23_P363769	3.01	3.65	0.01	0	KRT86
A_24_P265346	2.95	4.56	0.04	0	KRT14
A_23_P500010	2.92	3.71	0.02	0	KLK12
A_23_P5845	2.91	3.52	3.00E-06	0	KHK
A_23_P372834	2.88	2.5	0	0	AQP1
A_23_P102117	2.88	2.27	1.30E-05	1.50E-05	WNT10A
A_23_P210482	2.88	2.76	1.00E-06	0	ADA
A_23_P421306	2.86	3.2	2.00E-06	0	SYT12
A_23_P163492	2.85	5.56	0	8.00E-06	BAIAP3
A_23_P304897	2.8	5.39	0	2.20E-05	BDKRB2
A_23_P210176	2.78	1.58	0	0.01	ITGA6
A_24_P8371	2.76	3.76	0	0	LOC124976
A_23_P69293	2.76	2.55	1.00E-06	1.00E-06	CHDH
A_23_P207345	2.76	3.52	6.00E-05	5.00E-06	ADAM11
A_23_P39925	2.71	3.86	0	5.00E-06	DYSF
A_24_P589028	2.7	4.08	0.01	0	AK026750
A_23_P348208	2.61	3.5	0	0	SPRR1A
A_23_P111860	2.6	4.75	0	6.00E-06	FLJ10324
A_23_P37702	2.54	5.24	0	6.00E-06	TPSAB1
A_23_P107401	2.51	1.41	0	0	TIMP2
A_23_P16252	2.5	3.28	0	7.70E-05	KLK1
A_23_P129695	2.49	2.96	0.04	0.01	VASN
A_23_P142878	2.49	2.31	0	0	ATOH8
A_23_P21495	2.46	5.15	3.30E-05	0	FCGBP
A_32_P38093	2.39	2.82	0	6.90E-05	THC2632909
A_23_P39931	2.36	3.39	3.50E-05	1.00E-06	DYSF
A_23_P64661	2.36	2.56	0	4.40E-05	ARHGAP9
A_24_P382579	2.35	2.89	0.01	0	OXT
A_23_P146554	2.35	2.91	0	0	PTGDS
A_23_P159237	2.35	3.93	0.02	0	GPR20
A_23_P41390	2.34	3.56	8.30E-05	2.00E-06	SH3TC1
A_23_P44335	2.31	2.69	1.20E-05	1.00E-06	ENTPD8
A_23_P22143	2.25	5.79	0	5.00E-06	PDE6B
A_23_P319583	2.25	3	0	4.40E-05	RIMS3
A_23_P163682	2.24	3.67	0.01	0	RHBDF1
A_23_P101392	2.22	3.09	0	3.10E-05	TMEM38A
A_24_P329795	2.22	2.28	0.04	0.01	C10orf10
A_23_P413641	2.2	2.78	9.70E-05	7.00E-06	PREX1
A_23_P112798	2.19	5.21	3.00E-06	0	CRIP2
A_23_P24104	2.19	2.05	0.01	0	PLAU
A_23_P33196	2.19	1.68	0	0	COL5A2
A_23_P112774	2.16	4.58	0	3.00E-06	PTP4A3
A_23_P161769	2.16	4.22	0	3.00E-06	FXYD2
A_23_P53257	2.14	3.18	0.01	0	AVIL
A_24_P295590	2.13	2.22	3.00E-06	1.00E-06	RASSF4
A_24_P357847	2.12	1.49	8.00E-06	1.80E-05	BC030813
A_23_P33511	2.09	4.29	0.01	3.50E-05	AX721087
A_32_P48825	2.08	2.27	0.01	0	KRT72
A_32_P39440	2.07	1.53	2.00E-06	3.00E-06	BC030813
A_24_P31165	2.07	1.78	0	0	GFAP
A_32_P159192	2.06	1.48	3.00E-06	6.00E-06
A_24_P142118	2.03	1.31	7.00E-06	3.00E-05	THBS1
A_24_P378019	2.02	3.48	0.03	0	IRF7
A_24_P364838	2.01	3.34	5.90E-05	1.00E-06	SLC9A3R2
A_32_P148118	2	1.51	1.90E-05	3.30E-05
A_23_P98786	1.99	3.93	0.03	0	MYO7A
A_32_P86763	1.99	3.54	0	1.70E-05	TGM2
A_23_P75260	1.98	2.08	5.90E-05	1.40E-05	RASSF4
A_23_P21382	1.95	5.56	0	0	LAMB2
A_32_P98072	1.95	2.17	0.04	0.01
A_24_P122921	1.93	2.28	8.00E-06	1.00E-06	BCL2L11
A_23_P206212	1.93	1.17	1.90E-05	0	THBS1
A_23_P357185	1.92	1.68	6.00E-06	4.00E-06	CHDH
A_24_P923251	1.91	3.18	0.01	0	TGM2
A_23_P147326	1.9	1.88	0.02	0.01	SERINC2
A_23_P360874	1.89	2.67	0	4.90E-05	DKFZp434K1815
A_24_P140608	1.88	1.58	0	0	HBEGF
A_23_P34804	1.88	1.53	3.50E-05	3.90E-05	NTRK1
A_23_P105562	1.86	3.54	0	2.10E-05	VWF
A_23_P258887	1.86	2.84	0	0	ALDH1L1
A_24_P303524	1.84	3.42	0.03	0	MICALL2
A_23_P138495	1.82	2.81	1.20E-05	0	PTPRE
A_24_P383609	1.82	2.61	0	0	NANOS1
A_23_P346093	1.81	2.52	0	4.10E-05	TMC8
A_23_P150547	1.8	0.81	0	0.02	PGA3
A_23_P217845	1.8	1.84	0.01	0	RGS16
A_23_P160800	1.8	1.25	0.02	0.04	NR0B2
A_24_P639701	1.8	1.25	1.30E-05	3.50E-05	AY062331
A_24_P943263	1.79	3.1	0	4.50E-05	RASA4
A_23_P61688	1.78	2.87	3.50E-05	1.00E-06	SLC12A7
A_24_P213494	1.78	3.08	0	3.60E-05	PTPRE
A_23_P320578	1.77	1.77	0	0	RGS16
A_23_P21800	1.75	1.21	6.50E-05	0	BC032451
A_24_P272146	1.75	1.31	3.00E-06	6.00E-06	IGKC
A_24_P32295	1.73	3.06	0	8.00E-06	C19orf36
A_24_P490109	1.73	1.34	2.70E-05	3.80E-05
A_23_P316612	1.73	4.44	0	6.00E-06	GLIS1
A_24_P265506	1.72	1.2	1.20E-05	2.90E-05	NTRK1
A_23_P429977	1.72	4.02	5.00E-06	0	KCNQ1
A_23_P17316	1.71	5.29	0	1.00E-06	C20orf58
A_23_P416581	1.71	4.69	0	0	GNAZ
A_23_P128230	1.69	2.99	0.02	0	NR4A1
A_23_P84596	1.69	1.53	0	0	MGC29506
A_23_P147822	1.69	2.46	0.01	0	EPS8L2
A_32_P46238	1.66	2.58	0	3.10E-05	LOC339240
A_24_P402510	1.66	2.91	0.02	0	SAMD11
A_24_P66578	1.65	1.21	0	0
A_24_P90349	1.65	2.55	0.01	0	TMEM80
A_23_P349966	1.65	2.16	0.01	0	TMEM130
A_24_P182461	1.64	1.55	0.02	0.01	IGSF3
A_23_P252306	1.63	1.06	0	0	ID1
A_23_P4962	1.61	2.82	0	1.70E-05	NLRP5
A_24_P924631	1.61	1.33	0	0	THC2500892
A_23_P413051	1.6	0.99	0.01	0.02	NOXO1
A_23_P360240	1.6	2.14	0	7.70E-05	MYEOV
A_23_P165778	1.59	1.18	0.02	0.03	MLPH
A_24_P823096	1.58	2.34	0.01	0	AL109708
A_24_P571824	1.58	2.85	0.01	0
A_23_P341860	1.56	3.53	0	1.00E-06	BC073815
A_24_P226008	1.56	1.94	0	0	MGLL
A_23_P126278	1.55	1.16	0	0	CHIT1
A_32_P42236	1.54	3.35	0	5.00E-06	BM461836
A_23_P61810	1.53	3.99	0.02	3.50E-05	BAIAP2
A_23_P371039	1.52	3.93	0.01	1.50E-05	NTSR1
A_23_P29282	1.51	2.24	0	7.00E-06	NPTXR
A_24_P196562	1.5	3.27	0	1.00E-06	FXYD2
A_23_P38630	1.5	0.96	0.01	0.03	SSTR2
A_23_P72330	1.5	1.13	0	0
A_24_P880000	1.49	1.22	1.50E-05	1.50E-05	AF088004
A_23_P319598	1.48	2.62	0.02	0	C4BPB
A_23_P159227	1.48	1.76	0.01	0	ADAM15
A_23_P143981	1.47	3.63	0.01	9.00E-06	FBLN2
A_23_P500741	1.47	4.65	0	1.00E-06	CBFA2T3
A_24_P35400	1.46	3.88	6.50E-05	0	SARDH
A_23_P35456	1.46	1.87	0	0	SH3PXD2A
A_23_P11787	1.46	4.16	0	0	WNT4
A_24_P331704	1.45	2.49	0	4.10E-05	KRT80
A_24_P395966	1.45	1.55	3.00E-05	6.00E-06	ZBP1
A_23_P50674	1.45	2.61	0.02	0	C19orf36
A_23_P35330	1.44	1.46	0	0	HIVEP3
A_23_P10559	1.44	2.65	0	1.00E-06	AATK
A_23_P66073	1.44	2.45	0.02	0	AF113013
A_23_P256158	1.43	2.95	0	2.00E-06	ADRA2C
A_23_P32500	1.43	4.1	0	3.00E-06	STAB1
A_23_P422851	1.42	1.37	0	0	CABLES1
A_23_P14769	1.42	0.66	0	0.01	FES
A_23_P170534	1.41	2.15	0	0	FUT7
A_23_P86599	1.41	3.58	0.01	1.80E-05	DMBT1
A_23_P500501	1.39	2.69	0	5.00E-06	FGFR3
A_23_P251855	1.38	2.56	0	6.00E-06	SLC12A7
A_24_P404245	1.37	2.61	0.01	7.60E-05	PCYT2
A_23_P10391	1.36	0.79	0	0	COL5A2
A_23_P147331	1.36	1.3	0	0	SERINC2
A_24_P206305	1.35	2.95	0.02	8.80E-05	MICALL2
A_23_P356004	1.35	2.42	1.90E-05	0	KCNIP3
A_23_P73023	1.34	1.19	0	0	TBC1D1
A_24_P687305	1.33	1.79	0.02	0	DKFZp434K191
A_24_P123601	1.33	2.19	0.01	0	DDR1
A_23_P51187	1.32	3.01	0.05	0	PRKCZ
A_23_P128993	1.32	1.06	5.90E-05	6.90E-05	GZMH
A_23_P93311	1.31	2.2	0	7.80E-05	DDR1
A_24_P188116	1.31	2.19	0.01	0	ANKRD2
A_23_P101193	1.3	1.19	0	0	MYO5B
A_23_P76749	1.28	0.73	0.01	0.03	GALNTL1
A_24_P623768	1.28	0.79	0.01	0.03	AF131813
A_24_P290751	1.28	1.74	0	0	DTX1
A_24_P48898	1.27	1.37	0.04	0.01	APOL2
A_24_P346431	1.27	2.7	0.04	0	TNS3
A_32_P35947	1.27	4.31	0	1.00E-06	LOC651758
A_23_P259141	1.27	1.28	5.90E-05	1.80E-05	ZBP1
A_23_P22723	1.26	1.14	0.04	0.02	ATP2B3
A_23_P47614	1.26	2.48	0.01	0	PHLDA2
A_23_P68786	1.26	2.92	0.01	3.20E-05	PRODH
A_24_P693986	1.26	1.54	0.01	0	LOC388610
A_24_P406132	1.26	1.39	0.02	0.01	MAPK13
A_32_P17182	1.25	0.67	0	0.01	N48043
A_24_P50890	1.25	3.39	2.00E-04	0	PVRL1
A_23_P168449	1.24	2.58	0.05	0	RASA4
A_23_P14508	1.23	1.24	0	0	TTC9
A_23_P137381	1.22	1.37	0.04	0.01	ID3
A_23_P49546	1.22	2.93	0	1.00E-06	GRIN2C
A_23_P417415	1.22	1.02	0	0	ACOT11
A_23_P42882	1.21	4.26	0	0	CAMK2B
A_23_P52286	1.21	1.19	0	0
A_24_P213503	1.2	2.2	0	5.00E-06	PTPRE
A_23_P161659	1.19	1.29	0	4.20E-05	SYT13
A_23_P165333	1.18	1.15	0	0	BIN1
A_23_P258088	1.17	0.79	0	0	PACSIN1
A_23_P53081	1.17	2.27	0.02	0	OSBPL5
A_23_P168388	1.16	1.25	0.01	0	GIMAP8
A_23_P95029	1.16	0.66	0	0.01	SNTB1
A_23_P354175	1.16	1.58	0.01	0	TMEM129
A_23_P213944	1.16	0.93	0	0	HBEGF
A_24_P677559	1.16	0.75	0	0	BC032451
A_23_P93641	1.15	1.71	0.02	0	AKR1B10
A_23_P54846	1.15	1.04	0.02	0.01	HERPUD1
A_23_P76538	1.14	1.9	0	6.30E-05	TESC
A_23_P431933	1.14	1.56	0.01	0	CAMKK1
A_23_P127781	1.13	1.68	0.01	0	SCGB1D1
A_23_P311912	1.13	3.7	0.01	4.00E-06	C14orf78
A_23_P145376	1.13	1.19	0.04	0.01	MAPK13
A_32_P149011	1.12	0.58	0	0.04	CN479126
A_23_P390984	1.12	2.38	0.02	0	KCNH6
A_23_P169137	1.12	1.48	0	6.60E-05	NINJ1
A_23_P502314	1.12	1.27	0.02	0	CD97
A_32_P5976	1.11	2.14	0.02	0	NUDT14
A_24_P91094	1.11	2.24	0	7.00E-06	RPIP8
A_23_P60990	1.11	3.69	0	1.00E-06	FLJ22671
A_24_P372913	1.11	1.63	0	1.50E-05	TCF1
A_23_P110569	1.1	1.43	0.03	0	TRIM36
A_23_P502312	1.1	1.16	0.01	0	CD97
A_24_P129341	1.1	1.64	0	0	AKR1B10
A_23_P123848	1.1	2.08	0	1.30E-05	DAB2IP
A_32_P201292	1.09	0.92	0	0	BU587941
A_24_P132383	1.09	1.25	0	0	GIMAP8
A_32_P9543	1.09	1.94	0.05	0	APOBEC3A
A_24_P83758	1.09	2.49	0	6.00E-06
A_24_P367289	1.08	1.8	0.01	0	DDR1
A_23_P76901	1.08	1.36	0	0	PLEKHG3
A_24_P156993	1.08	1.05	0.01	0	BIN1
A_23_P19894	1.07	0.91	0.01	0.01	AQP1
A_24_P152845	1.07	1.59	0	2.50E-05	LOC340888
A_23_P6746	1.07	1.99	0.01	4.80E-05	IQSEC1
A_23_P79978	1.05	0.84	0.05	0.04	SLC24A3
A_24_P145629	1.05	0.99	0.03	0.02	SERINC2
A_23_P67198	1.05	1.47	0	1.40E-05	CPAMD8
A_23_P157247	1.04	2	0	6.00E-06	MGC9712
A_23_P404667	1.04	2.36	0.03	0	BIK
A_23_P12463	1.04	0.79	0	0	QSCN6
A_23_P209799	1.03	1.58	0	0	MYO7B
A_23_P34537	1.03	1.62	0.02	0	EPHX1
A_23_P165840	1.03	1.32	0.01	0	ODC1
A_23_P214408	1.02	2.81	0	0	UNC93A
A_23_P395460	1.02	3.38	0.01	3.00E-06	KIF1A
