Gene bank	Short name	Name/description	RTV/Ct	IFN-? + RTV/RTV
Wnt signaling				
 NM_012242	DKK1	Dickkopf homolog 1	-32.05	2.42
 AF017987	SFRP1	Secreted frizzled-related protein 1	2.48	-2.41
 NM_003014	SFRP4	Secreted frizzled-related protein 4	2.42	-2.41
 AI927000	SOSTDC1	Sclerostin domain containing 1	-5.07	2.17
 NM_003882	WISP1	WNT1 inducible signaling pathway protein 1	-2.13	8.54
 NM 030775	WNT5B	WNT5B	4.29	-6.06
 AY009401	WNT6	WNT6	2.03	-5.98
 BE736994	WNT7B	WNT7B	10.01	-9.25
 NM_003393	WNT8	WNT8	-7.93	3.37
Nitric oxide				
 AF049656	iNOS	Inducible NO synthetase	-12.18	3.06
 U31466	NOS1	Nitric oxide synthase 1 (neuronal)	-9.52	6.98
 AI005066	AVP-R1A	Arginine-vasopressin receptor 1A	-2.2	2.49
Osteoclast-osteoblast coupling				
 BC000019	CDH6	"cadherin 6, type 2, K-cadherin"	8.21	-4.25
"Cytokines, growth factors and their receptors"				
 NM_006132	BMP-1	Bone morphogenetic protein 1	-2.86	3.1
 M60316	BMP-7	Bone morphogenetic protein 7	-3.01	8.11
 NM_016215	EGFL7	Epidermal growth factor-like 7	-2.33	2.03
 NM_023932	EGFL9	Epidermal growth factor-like 9	-3.02	2.99
 AF125253	EGFR	Epidermal growth factor receptor	-3.34	3.24
 NM_020996	FGF6	Fibroblast growth factor 6	-3.28	7.4
 NM_002010	FGF9	Fibroblast growth factor 9	-6.62	6.1
 M63889	FGFR1	Fibroblast growth factor receptor 1	-10.1	14.06
 AB030078	FGFR2	Fibroblast growth factor receptor 2	-5.88	2.24
 AI972496	IGF1	Insulin-like growth factor 1	-2.77	3.89
 NM_021803	IL-21	Interleukin 21	-2.06	2.74
 NM_000634	IL8RA	"Interleukin 8 receptor, ?"	-2.1	2.48
 NM_005092	TNFSF18	"TNF superfamily, member 18"	-3.53	2.11
 NM_003242	TGFBR2	"Transforming growth factor, ? receptor II"	-3.02	5.32
 AI986120	LTBP1	Latent transforming GF ? binding protein	-4.34	4.15
 NM_00031	PTH	Parathyroid hormone	4.1	-5.64
 NM_000564	IL5RA	"Interleukin 5 receptor, ?"	2.13	-8.77
 M11734	GM-CSF	Colony stimulating factor 2	3.93	-3.59
 NM_005448	BMP-15	Bone morphogenetic protein 15	19.67	-8.13
 NM_004113	FGF12	Fibroblast growth factor 12	2.96	-2.27
 NM_003868	FGF16	Fibroblast growth factor 16	8.73	-7.57
 NM_005247	FGF3	Fibroblast growth factor 3	3.64	-3.49
 NM_015883	IGF1R	Insulin-like growth factor 1 receptor	5.94	-8.92
 M22005	IL-2	Human interleukin 2 gene	7.73	-4.87
 NM_000879	IL-5	Interleukin 5	2.24	-2.61
 NM_006207	PDGFRL	Platelet-derived growth factor receptor-like	4.12	-5
 BE870509	HGF-R	Hepatocyte growth factor receptor	2.42	-2.7
Programmed cell death				
 NM_001459	FLT3LG	Fms-related tyrosine kinase 3 ligand	-2.25	7.41
 NM_013984	NRG2	Neuregulin 2	-10.49	12.08
 NM_016109	ANGPTL4	Angiopoietin-like 4	-10.88	7.11
 NM_003885	CDK5R1	Cyclin-dependent kinase 5	-5.02	12.45
 AK021882	ARHI	"Ras homolog gene family, member I"	-2.29	6.34
 NM_003841	TNFRSF10C	TRAIL decoy receptor TR1	5.48	-4.14
 AF021233	TNFRSF10D	TRAIL decoy receptor TR2	4.29	-4.76
 AF277724	CDC25C	Cell division cycle 25C	7.42	-3.03
 NM_002825	PTN	Pleiotrophin (heparin binding growth factor 8)	9.38	-3.67
 NM_015883	IGF1R	Insulin-like growth factor 1 receptor	5.94	-8.92
 AF069510	NBCN1	NaHCO3 co-transporter-1	2.27	-3.7
 U72398	BCL2L1	"Human Bcl-x ? (bcl-x) gene, complete"	2.79	-2.23
"RANKL, NF-?B signaling pathway"				
 AF006689	MKK7	Mitogen-activated protein kinase kinase 7	-8.4	13.8
 AW340333	IKBKE	Inhibitor of ? light chain enhancer	-4.27	5.18
 AF098518	FHL2	Four and a half LIM domains 1	-5.78	5.51
 U09609	NFKB2	Nuclear factor of ? B-2	8.52	-6.89
 U31601	JAK3	Janus kinase 3	7.88	-5.43
 NM_006613	GRAP	GRB2-related adaptor protein	7.63	-2.5
 L40992	RUNX2	Runt-related transcription factor 2	8.27	-4.15
