Sequence ID	Gene	Reference sequence ID	7 days p.i.	14 days p.i.	28 days p.i.	42 days p.i.
S00045630	AADAC	NM_001075791	0.83	0.45a	0.58	0.65
S00042890	ABCB4	XM_001251122	0.98	0.47a	0.89	1.03
S00038488	ABCC4	XM_610144	0.13c	0.86	1.13	0.69
S00019365	ABO	NM_001077926	0.92	0.79	0.76	0.42c
S00031144	ACOX2	NM_001102015	0.93	0.43a	0.74	0.73
S00036604	ADRA1B	XM_001250068	0.96	0.45a	0.45a	0.82
S00024510	ALDH8A1	NM_001075626	1.42	1.82	2.57	2.55a
S00021309	ALOX15	NM_174501	0.77	1.53	2.32a	1.14
S00021426	ALOX5	XM_613515	0.77	1.24	2.01a	1.63
S00020615	AMN	NM_001077041	1.23	0.48	0.67	0.40a
S00018801	ASB1	NM_001040445	1.1	2.11a	1.37	1.04
S00019902	ASPN	NM_001034309	1.41	1.22	2	2.12a
S00040188	AVIL	XM_599021	1.05	1.77	2.07c	1.44
S00029304	BCAS1	XM_001252931	0.73	1.68	1.82	2.12a
S00007942	BMPR1B	NM_001105328	1.59	1.09	2.17a	2.18a
S00039531	BVES	NM_007073	1.14	1.37	2.10a	1.45
S00028698	BZW1	XM_876130	0.93	2.35a	1.25	1.1
S00045253	BZW2	XM_584557	0.47	3.03a	0.71	0.7
S00003455	C1orf160	NM_001035451	0.48a	0.94	0.55	0.74
S00041335	C1RL	XM_584280	0.88	0.44a	0.7	0.61
S00019321	C20orf59	NM_001100378	0.83	2.00a	1.3	1.02
S00023831	C20orf70	NM_174803	0.79	0.37	0.07a	0.87
S00011367	C21orf45	NM_018944	1.01	1.98a	1.4	1.14
S00002913	C4B	NM_001002029	0.40a	0.53	0.73	0.62
S00034190	C9orf103	NM_001001551	0.91	0.36	0.69	0.72
S00031996	C9orf123	NM_033428	1.08	2.09b	1.66	1.4
S00022184	C9orf52	XM_585202	1.11	2.12a	1.32	1.19
S00017682	CA9	XM_866456	0.85	1.31	2.23b	1.4
S00028098	CAMLG	NM_001745	1.99b	0.94	1.06	1.16
S00044753	CAPN13	NM_001035360	0.92	1.68	3.55b	1.38
S00039707	CDH26	XM_869285	1.24	46.16b	157.19c	74.10a
S00039458	CEACAM1	NM_205788	0.72	0.48a	0.75	0.75
S00012717	CENPE	XR_027308	1.1	1.97	1.56	1.9
S00028535	CES3	XM_590749	0.9	0.38a	0.64	0.62
S00045347	CHGA	NM_001275	0.49b	0.78	0.47	0.74
S00013159	CIB2	XM_869807	1.39	1.77	3.33b	1.86
S00038125	CLCA3	NM_181018	1.1	1.74	2.27b	1.93
S00012875	CNN1	NM_001299	2.18	5.03	4.91a	1.1
S00002286	COL1A1	NM_000088	0.21a	1.1	0.34	0.66
S00033748	COL29A1	NR_022012	1.11	1.36	2.91a	2.26
