Rank	Statistic	Statistic	Statistic	Probe ID	Symbol	Description
1	0.0000012	0.042	2.054	222146_s_at	TCF4	transcription factor 4
3	0.0000023	0.042	1.623	209250_at	DEGS1	degenerative spermatocyte homologue 1, lipid desaturase (Drosophila)
4	0.0000064	0.075	1.795	212387_at	TCF4	transcription factor 4
5	0.0000069	0.075	2.173	203753_at	TCF4	transcription factor 4
7	0.0000142	0.111	2.165	226931_at	TMTC1	transmembrane and tetratricopeptide repeat containing 1
8	0.0000168	0.115	1.979	212382_at	TCF4	transcription factor 4
9	0.0000197	0.12	1.684	232304_at	PELI1	pellino homologue 1 (Drosophila)
10	0.0000221	0.121	1.391	1559249_at	ATXN1	ataxin 1
11	0.0000264	0.125	1.556	209281_s_at	ATP2B1	ATPase, Caþþ transporting, plasma membrane 1
12	0.0000318	0.125	1.473	221683_s_at	CEP290	centrosomal protein 290kDa
13	0.0000323	0.125	2.795	226084_at	MAP1B	microtubule-associated protein 1B
15	0.0000344	0.125	1.504	212509_s_at	MXRA7	matrix-remodelling associated 7
16	0.0000414	0.127	1.807	214724_at	DIXDC1	DIX domain containing 1
17	0.0000416	0.127	1.818	212386_at	TCF4	transcription factor 4
18	0.0000429	0.127	1.791	213891_s_at	TCF4	transcription factor 4
19	0.0000445	0.127	1.571	226546_at		Not available
20	0.0000483	0.127	1.672	226676_at	ZNF521	zinc finger protein 521
21	0.0000495	0.127	2.243	227812_at	TNFRSF19	tumor necrosis factor receptor superfamily, member 19
22	0.0000513	0.127	2.269	226322_at	TMTC1	transmembrane and tetratricopeptide repeat containing 1
23	0.0000562	0.134	2.047	225946_at	RASSF8	Ras association (RalGDS/AF-6) domain family 8
24	0.0000627	0.141	1.528	235834_at	CALD1	caldesmon 1
25	0.0000655	0.141	1.786	1554007_at	ZNF483	zinc finger protein 483
26	0.0000677	0.141	1.668	231869_at	ZNF451	zinc finger protein 451
28	0.0000738	0.141	1.369	207604_s_at	SLC4A7	solute carrier family 4, sodium bicarbo-nate cotransporter, member 7
29	0.0000748	0.141	2.051	235599_at	LOC339535	hypothetical protein LOC339535
30	0.0000792	0.143	1.382	202126_at	PRPF4B	PRP4 pre-mRNA processing factor 4 homologue B (yeast)
31	0.000081	0.143	1.704	235592_at	ELL2	elongation factor, RNA polymerase II, 2
32	0.0000849	0.145	1.516	208662_s_at	TTC3	tetratricopeptide repeat domain 3
34	0.0000913	0.147	1.674	209682_at	CBLB	Cas-Br-M (murine) ecotropic retroviral transforming sequence b
36	0.0000977	0.148	1.682	204466_s_at	SNCA	synuclein, alpha (non A4 component of amyloid precursor)
37	0.000104	0.154	1.249	206862_at	ZNF254	zinc finger protein 254
38	0.000114	0.161	1.384	202144_s_at	ADSL	adenylosuccinate lyase
