# Generate Mapping Tables Script: Version 4 11:07 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:07 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_133862|NM_133862	mgi_symbol|Fgg|Fgg
entrezgene|BC023498|72027	mgi_symbol|Slc39a4|Slc39a4
refseq_dna|NM_007607|NM_007607	mgi_symbol|Car4|Car4
entrezgene|AF380353|114479	mgi_symbol|Slc5a5|Slc5a5
entrezgene|AV304616|20423	mgi_symbol|Shh|Shh
entrezgene|AA792094|14718	mgi_symbol|Got1|Got1
entrezgene|BB183509|329274	mgi_symbol|Fam163a|Fam163a
entrezgene|AV290148|380924	mgi_symbol|Olfm4|Olfm4
entrezgene|X17502|12035	mgi_symbol|Bcat1|Bcat1
entrezgene|BB829749|212539	mgi_symbol|Gm266|Gm266
entrezgene|AI642021|235542	mgi_symbol|Ppp2r3a|Ppp2r3a
entrezgene|AV121839|77980	mgi_symbol|Sbf1|Sbf1
entrezgene|AV333667|26380	mgi_symbol|Esrrb|Esrrb
entrezgene|AF218265|140474	mgi_symbol|Muc4|Muc4
entrezgene|AI593864|14422	mgi_symbol|B4galnt2|B4galnt2
refseq_dna|NM_028982|NM_028982	mgi_symbol|8430419L09Rik|8430419L09Rik
refseq_dna|NM_133664|NM_133664	mgi_symbol|Lad1|Lad1
entrezgene|BM234253|73102	mgi_symbol|Slc22a23|Slc22a23
entrezgene|BB213578|71452	mgi_symbol|Ankrd40|Ankrd40
entrezgene|BC005718|54419	mgi_symbol|Cldn6|Cldn6
refseq_dna|NM_033648|NM_033648	mgi_symbol|Fxyd4|Fxyd4
refseq_dna|NM_025458|NM_025458	mgi_symbol|Tmed6|Tmed6
entrezgene|AI844677|16574	mgi_symbol|Kif5c|Kif5c
entrezgene|AK003783|73713	mgi_symbol|Rbm20|Rbm20
embl|BB494168|BB494168	mgi_symbol|Kdm6b|Kdm6b
refseq_dna|NM_025273|NM_025273	mgi_symbol|Pcbd1|Pcbd1
refseq_dna|NM_133214|NM_133214	mgi_symbol|BC017612|BC017612
embl|BE991175|BE991175	mgi_symbol|AI314604|AI314604
refseq_dna|NM_007576|NM_007576	mgi_symbol|C4bp|C4bp
entrezgene|AK009744|56405	mgi_symbol|Dusp14|Dusp14
entrezgene|BF608645|20917	mgi_symbol|Suclg2|Suclg2
embl|BB835597|BB835597	mgi_symbol|Slmo1|Slmo1
refseq_dna|NM_019926|NM_019926	mgi_symbol|Mtm1|Mtm1
