Gene name	Symbol	Acc. Number	Array cell	Fold change	SD	Cell cycle function
V-abl Abelson murine leukemia oncogene 1	Abl1	NM_009594	A01	21.91	1.74	Regulation
Cyclin B1	Ccnb1	NM_172301	A12	5.5	0.65	M phase and regulation
Antigen identified by monoclonal antibody Ki 67	Mki67	XM_133912	D09	4.23	0.41	S phase and DNA replication
Cyclin A2	Ccna2	NM_009828	A11	3.85	0.65	Regulation
G protein-coupled receptor 132	Gpr132	NM_019925	C11	3.73	0.82	G1 phase and G1/S transition
Checkpoint kinase 1 homolog	Chek1	NM_007691	C01	2.74	0.81	G2 phase and G2/M transition
Transformation related protein 63	Trp63	NM_011641	G10	2.53	0.06	Negative regulator
Cyclin-dependent kinase 2	Cdk2	NM_016756	B07	2.43	0.52	M phase
Calcium/calmodulin-dependent protein kinase II, beta	Camk2b	NM_007595	A08	2.41	0.1	G1 phase and G1/S transition
S-phase kinase-associated protein 2 (p45)	Skp2	NM_013787	F12	2.4	0.26	G1 phase and G1/S transition and regulation
Wee 1 homolog	Wee1	NM_009516	G12	2.33	0.02	M phase
Meiotic recombination 11 homolog A	Mre11a	NM_018736	D10	2.28	0.57	S phase and DNA replication
CDC28 protein kinase 1b	Cks1b	NM_016904	C02	2.23	0.49	Checkpoint and arrest and regulation
Breast cancer 2	Brca2	NM_009765	A06	2.23	0.63	M phase and regulation and checkpoint and arrest
Cyclin C	Ccnc	NM_016746	B02	2.07	0.12	regulation
Transcription factor Dp 1	Tfdp1	NM_009361	G07	2.07	0.06	Regulation
SMT3 suppressor of mif two 3 homolog 1	Sumo1	NM_009460	G04	2.04	0.13	S phase and DNA replication
Retinoblastoma-like 2	Rbl2	NM_011250	F08	2.01	0.25	Negative regulator
