Rank	GeneName	Genebank Accession	Description	Expression in precursor	Expression in iPS-MP	Fold change
1	Cd72	NM_007654	Mus musculus CD72 antigen (Cd72), mRNA [NM_007654]	0.963	259.9	269.8857736
2	Cd72	BC003824	Mus musculus CD72 antigen, mRNA (cDNA clone MGC:6220 IMAGE:3599554), complete cds. [BC003824]	1.358	325.3	239.5434462
3	Cd28	NM_007642	Mus musculus CD28 antigen (Cd28), mRNA [NM_007642]	0.869	101.8	117.146145
4	Ifi27	NM_029803	Mus musculus interferon, alpha-inducible protein 27 (Ifi27), mRNA [NM_029803]	31.9	3505	109.8746082
5	Cx3cr1	NM_009987	Mus musculus chemokine (C-X3-C) receptor 1 (Cx3cr1), mRNA [NM_009987]	1.508	152.3	100.994695
6	Ifi27	AK010014	Mus musculus adult male tongue cDNA, RIKEN full-length enriched library, clone:2310061N23 product:similar to ALPHA-INTERFERON INDUCIBLE PROTEIN (FRAGMENT) [Mesocricetus auratus], full insert sequence. [AK010014]	42.15	3473	82.39620403
7	Bmp2	NM_007553	Mus musculus bone morphogenetic protein 2 (Bmp2), mRNA [NM_007553]	0.853	69.53	81.5123095
8	Ifi27	NM_029803	Mus musculus interferon, alpha-inducible protein 27 (Ifi27), mRNA [NM_029803]	82.14	6625	80.6549793
9	Rasgrp3	NM_207246	Mus musculus RAS, guanyl releasing protein 3 (Rasgrp3), mRNA [NM_207246]	4.242	287.7	67.82178218
10	C030044C12Rik	AK030860	Mus musculus adult male thymus cDNA, RIKEN full-length enriched library, clone:5830432P16 product:unclassifiable, full insert sequence [AK030860]	2.257	131.2	58.13026141
11	Cyp2s1	NM_028775	Mus musculus cytochrome P450, family 2, subfamily s, polypeptide 1 (Cyp2s1), mRNA [NM_028775]	2.371	115.1	48.54491776
12	Msr2	NM_030707	Mus musculus macrophage scavenger receptor 2 (Msr2), mRNA [NM_030707]	11.69	495.2	42.3609923
13	2610203C22Rik	AK011866	Mus musculus 10 days embryo whole body cDNA, RIKEN full-length enriched library, clone:2610203C22 product:unclassifiable, full insert sequence. [AK011866]	1.118	46.81	41.86940966
14	Cd14	NM_009841	Mus musculus CD14 antigen (Cd14), mRNA [NM_009841]	78.89	3213	40.72759539
15	Msr2	NM_030707	Mus musculus macrophage scavenger receptor 2 (Msr2), mRNA [NM_030707]	14.46	568.3	39.30152144
16	Pltp	NM_011125	Mus musculus phospholipid transfer protein (Pltp), mRNA [NM_011125]	5.671	205.6	36.25462881
17	Cd36	NM_007643	Mus musculus CD36 antigen (Cd36), mRNA [NM_007643]	30.11	1087	36.10096314
18	Ifi44	NM_133871	Mus musculus interferon-induced protein 44 (Ifi44), mRNA [NM_133871]	2.487	80.85	32.50904704
19	Pde1c	NM_001025568	Mus musculus phosphodiesterase 1C (Pde1c), transcript variant 2, mRNA [NM_001025568]	0.732	23.68	32.34972678
20	Pcp4l1	AK002772	Mus musculus adult male kidney cDNA, RIKEN full-length enriched library, clone:0610037I05 product:hypothetical protein, full insert sequence. [AK002772]	26.89	782.9	29.11491261
21	Nrcam	AK122252	Mus musculus mRNA for mKIAA0343 protein. [AK122252]	0.661	18.28	27.65506808
22	2810022L02Rik	NM_144882	Mus musculus RIKEN cDNA 2810022L02 gene (2810022L02Rik), mRNA [NM_144882]	1.42	38.31	26.97887324
23	Cd36	L23108	Mus musculus CD36 antigen mRNA, complete cds. [L23108]	46.43	1237	26.64225716
24	Lpl	NM_008509	Mus musculus lipoprotein lipase (Lpl), mRNA [NM_008509]	172.9	4559	26.36784268
25	TC1637884	TC1637884	CTL2B_MOUSE (P12400) CTLA-2-beta protein precursor (Fragment), complete [TC1637884]	21.89	554.9	25.34947465
26	1810011O10Rik	AK003102	Mus musculus adult male heart cDNA, RIKEN full-length enriched library, clone:1010001B21 product:unclassifiable, full insert sequence. [AK003102]	0.995	24.74	24.86432161
27	Cfh	NM_009888	Mus musculus complement component factor h (Cfh), mRNA [NM_009888]	4.491	110.3	24.56023157
28	1810011O10Rik	NM_026931	Mus musculus RIKEN cDNA 1810011O10 gene (1810011O10Rik), mRNA [NM_026931]	5.779	141	24.39868489
29	NAP048198-1	NAP048198-1	Unknown	1.067	25.85	24.22680412
