Gene name	(GenBank accession #)
Actin beta	X00351
Actinin alpha 1	X15804
Actinin alpha 2	M86406
Actinin alpha 3	M86407
Activin A receptor type II-like 1	L17075
Activin A receptor type IB	U14722
Actvin A receptor type II	X77533
Alpha 1anti-trypsin	K01396
Alpha fetoproteinV	V51514
Alphav beta3 integrin	NM_002210
Alpha macroglobulin 1	M163959
Alpha macroglobulin 2	M11313
5alpha reductase	NM_000348
17 alpha hydroxylase	AH002665
Aminopeptidase A	L12468
Aminopeptidase N	NM_001935
Amphiregulin	L41352
Androgen receptor	M20132
Angiopoietin 1	U83508
Angiotensin receptor 1	M87290
Angiopoietin 2	NM_001147
Apolipoprotein E	M12529
Apolipoprotein J	NM_001831
Arachidonate 5-lipooxygenase	J03571
Aromatase P450	NM_00078
Autocrine motility factor receptor	L35233
AXL receptor tyrosine kinase	M76125
Basigin	AY942196
B-cell growth factor	M15530
Beta-catenin	AY436643
Betacellulin	BC011618
3beta hydroxysteroid dehydrogenase	M27137
17beta hydroxy steroid degydrogenase	BC020710
Bone morphogenetic protein 1	M22488
Bone morphogenetic protein 2	M22489
Bone morphogenetic protein 3	M22491
Bone morphogenetic protein 4	D30751
Bone morphogenetic protein 5	M60314
Bone morphogenetic protein 6	M60315
Bone morphogenetic protein 7	M60316
Bone morphogenetic protein 8	M97016
Bradykinin	NM_000623
Bradykinin beta2 receptor	M88714
Bystin	L36720
C3 complement	AY513239
Cdx 2	U51096
C-fos	U62538
C-jun	NM_002228
C-myc	V00568
CA 125	EF026424
Cadherin P	X63629
Calcitonin alpha	J00109
Calcitonin beta	BC093468
Calcitonin receptor	L00587
Cardiotrophin 1	U43030
Cathepsin B	M14221
Cathepsin D	M11233
Cathepsin L	X12451
CD10	Y00811
CD44	M59040
CD58	Y00636
CD63	NM_001780
Chemokine (C-C motif) receptor 1	D10925
Chemokine (C-C motif) receptor 2	U03882
Chemokine (C-X-C motif) receptor 4	D10924
Ciliary neurotrophic factor (CNTF)	A26792
Ciliary neurotrophic factor receptor	M73238
Collagen IV alpha 1	M11315
Collagen IV alpha 2	X05610
Collagen IV alpha 3	M92993
Collagen IV alpha 4	D17391
Collagen IV alpha 5	M31115
Collagen IV alpha 6	D21337
Collagen VI alpha 1	M20776
Collagen VI alpha 2	M34570
Coagulation factor II receptor	M62424
Collagenase	X05231
Colony stimulating factor (CSF) 1	NM_000757
CSF 2	M11220
CSF 3	X03438
CSF 1receptor (c-fms)	M33208
CSF 2 receptor A	X17648
CSF 2 receptor B	M59941
CSF 3 receptor	M59818
COX 1	HSU63846
COX 2	U04636
CRH	V00571
CRH receptor 1	X500
C-sre kinase	NM_004064
Cyclin 4 inhibitor	NM_004064
Cyclin B1	M25753
Cyclin D2	D13639
Cystatin C	X05607
17,20- desmolase	U14953
DDEF2	NM_003887
Dickkopf 1	AB020315
Dkk 1	NM_012242
DLX4	NM_138281
E cadherin	Z13009
EGF	X04571
EGF receptor	X00588
Elongation factor 1 alpha	AF458103
Endoglin	J05481
Endothelin 1	Y00749
Endothelin 2	M65199
Endothelin 3	J05081
Endothelin receptor type A	L06622
Endothelin receptor type B	D90402
Enigma	BC067806
Epiregulin	D30783
ErbB1	U71126
ErbB2	NM_100586
ErbB3	NM_00198
ErbB4	AF060555
Estrogen receptor A	M12674
Estrogen receptor B	AF074599
FGF acidic FGF1	X51943
FGF basic FGF2	M27968
FGF R1	M34641
FGF R2	U11814
FGF R3	M58051
Fibronectin	X02761
Flt 1	NM_002019
Flt 4	NM_182925
Follistatin-like1	M19481
Frizzled 1	AB017363
Frizzled 2	L37882
Frizzled 3	AY005130
Frizzled 4	BC114622
Frizzled 5	U43318
Frizzled 6	AB012911
Frizzled 7	AB017365
Frizzled 8	AB043703
Frizzled 9	U82169
FSH	NM_181446
FSH receptor	M65085
G3PDH	X01677
GnRH1	BC176437
GRO1	NM_001511
GRO2	NM_002089
Glycoprotein Ib platelet beta	L20860
Gp 130	EF064722
Glycogen synthetase kinase 3 beta	BC000251
Haptoglobin	X00637
Human chorionic gonadotropin (HCG)	AY083664
HCG alpha	BC010957
HSP 27	X54079
HSP 60	M34664
HSP 70	M11717
Heparan sulphate proteoglycan	M85289
HB- EGF like growth factor	L36024
Heregulin 1	AF009227
hFAT	X87241
HGF	M60718
HGF receptor	NM_004712
Histone H2A	U90551
Histone H2B	AJ223352
Histone H3	AF531274
Histone H4	AF525682
Histone deacetylase A	NM_058177
Histone deacetylase 1	D50405
Histone deacetylase 2	U31814
Histone deacetylase 3	AF005482
Histone deacetylase 6	NM_006044
HOX 7	M97676
HOX A9	U41813
HOX A10	L08757
HOX A11	AF039307
HOX A13	U82827
HPRT	NM_000194
Hydroxyprostaglandin dehydrogenase	NM_000860
ICAM 1	J03132
ICAM 2	AF340052
IGF 1	M27544
IGF 2	M29645
IGF1 R	X04434
IGF2 R	Y00285
IGFBP 1	M31145
IGFBP 2	M35410
IGFBP 3	M31159
IGFBP 4	M62403
IGFBP 5	M65062
Inhibin alpha	M13981
Inhibin beta A	J03634
Inhibin beta B	M31669
Inhibin beta C	X82540
Insulin receptor	M10051
IL1 converting enzyme	NM_033293
IL1 receptor antagonist IL 1 alpha	M63099
IL 1beta	K02770
IL 1Rt1	M27492
IL 1Rt2	X59770
IL 8	Y00787
IL 11	M57765
IL 15	U14407
IL 11R	B4298
IL 3	M14743
IL 6	X04602
IL 8	RM20566
IL 8Ralpha	M68932
IL 8Rbeta	M94582
IL 4 STAT v1	NM_000589
Integrin alpha 2	M28249
Integrin alpha 3	M59911
Integrin alpha 4	L12002
Integrin alpha 5	X06256
Integrin alpha 6	X53586
Integrin alpha 8	L36531
Integrin alphaV	M14648
Integrin beta 1	X07979
Integrin beta 2	M15395
Integrin beta 3	J02703
Integrin beta 4	X53587
Integrin beta 5	J05633
Interferron alpha	J000207
Interferron gamma (IFN G)	X01992
IFNG R1	NM_000416
IFNGR2	NM_005534
IRF1	BC009483
JAK 1	M35203
JAK 2A	AF005216
JAK 3	U09607
JunB	M29039
KDR	NM_002253
Keratan sulphotranferase 1	AF219990
Keratin 8	M34225
Keratinocyte growth factor (KGF)	M60828
KGFR	U11814
Lactoferrin	NM_002343
Laminin alpha2	Z26653
Laminin alpha3	L34155
Laminin beta1	M61916
Laminin beta2	S77512
Laminin beta3	L25541
Laminin gamma1	J03202
Laminin gamma2	Z15009
Lef-1	AY129650
Leptin	U43415
Leptin receptor	U43168
LH	M63108
LH receptor	M63108
LIF	X13967
LIF receptor	X61615
Macroglobulin 1	NM_144670
Metallothionin 2	S52379
Metallothionin 3	D13365
MIF	NM_002415
MIP 1alpha	U97575
MIP 1 beta	AF457195
MMP 1	X05231
MMP 2	J03210
MMP 3	X05232
MMP 7	X07819
MMP 9	J05070
MMP 10	X07820
MMP 11	X57766
MMP 12	L23808
MMP 13	X75308
MMP 14	D26512
MMP 15	Z48482
MMP 16	D83646
MMP 17	X89576
MMP 19	X92521
MMP 21	NM_147191
Mucin 1	NM_182741
Mucin 2	L21998
Mucin 4	NM_018406
Mucin 5AC	AJ001402
Mucin 5B	U78551
Mucin 6	NM_005961
NCAM (CD56)	BC029119
NF?B	BC093004
NkX5-1 (Hmx 3)	AY882602
N-myc (STAT) interactor	U32849
NOS 1	NM_000620
NOS 2	NM_000625
NOS 3	NM_000603
Oncostatin M	M27288
Oncostatin M receptor	U60805
Osteopontin	J04765
Oxytocin	BC101843
Oxytocin receptor	X64878
PAF acetylhydroxylase alpha	XM_112738
PAF acetylhydroxylase gamma	D63391
PAF receptor	D10202
PAI-1	NM_000602
PAI-2	BC096217
PAI-3	NM_002638
Pappalysin 1	NM_002581
PDGF A	X06374
PDGF B	X02811
PDGF A receptor	M21574
PDGF B receptor	M21616
PECAM 1	NM_00042
Phospholipase A2 cytoplasmic	AF064594
Phospholipase C alpha	D16234
Pleiotrophin	BC005916
PLGF	S72960
POMC	CR541826
PP14	J04129
PGE2 alpha R EP1	L22647
PGE2 alpha R EP2	U19487
PGE2 alpha R EP3	S69200
PGE2 alpha R EP4	L25124
PGF2 alpha	AF004021
PGF receptor	L24470
PGF2 receptor	AFO004021
PGD synthase	NM_000954
PGI2 synthase	D38145
PGI 2 receptor	D25418
P450 aromatase	NM_031226
Profinin	NM_022752
Progesterone receptor A	AF279335
Progesterone receptor B	AY382152
Prolactin	NM_000948
Prolactin receptor	S78505
Prolactin releasing peptide	AB048946
Proline-serine-threonine phospsphatase interacting protein-1	NM_003978
Protein kinase C	NM_005400
Protein kinase C alpha	M22199
PSG 11	U25987
PAPPA	U28727
Pregnancy zone protein	NM_002864
RANTES	AF043341
Ras p21	BC007353
Ras p21 protein activator	M23379
Relaxin	BC126415
Retoinic acid binding protein CRABP1	NM_004378
Retoinic acid binding protein CRABP	S74445
Retenoid RAR A	BC008727
Retenoid RAR B	AY501390
Retenoid RAR G	M24857
Retenoid RXR B	M84820
Retinol binding protein RBP1	NM_002899
Retinol binding protein RBP2	BC069513
Ribosomal protein S7	BC061901
Ribosomal protein S9	U14971
Selectin E	M30640
Selectin L	M25280
Selectin P	M25322
Sfrp-1	BC036503
Sfrp-2	BC008666
Sfrp-4	BC058911
SOCS2	BC010399
SOCS3	NM_003955
SOCS4	BC060790
SOCS5	BC032862
SOD1	NM_000454
Sp1 transcription factor	NM_138473
Splicing factor SC35	M90104
STAT 1	M97935
STAT 2	M97934
STAT 3	L29277
STAT 4	L78440
STAT 5A	U43185
STAT PIAS?	AF077952
STAT X	AF077954
Sulphotransferase estrogen-preferring	U08098
Tastin	U04810
TCF 1	M57732
Tenacin C	X78565
Tenacin R	X98085
Tenacin X	NM_019105
TGF alpha	K03222
TGf beta1	X02812
TGF beta2	M19154
TGF beta3	J03241
TGF beta 4	NM_004612
TGF beta receptor 2	D50683
TGF receptor beta 3	L07594
Thioredoxin	J04026
Tissue factor (thromboplastin)	NM_001993
Transglutaminase 2	BC003551
Thrombin receptor	BT007279
Thromboxane synthase	M80646
TIE 1	BC038239
TIE 2	X71425
TIMP 1	X03124
TIMP2	J05593
TIMP3	Z30183
TNF alpha	X02910
TNF beta	X02911
TNF R1	NM_001065
TNF R2	NM_147187
TPA	X13097
Transthyretin	K02091
Tumor suppressor p21	AF040707
Tyrosin kinase 2	NM_003328
Ubiquitin C	M26880
UPA	NM_002658
Urocortin	BC104471
Urotensin II	AF140630
Uteroferrin	M30284
Uteroglobin	X59875
VACM 1	M60335
VEGF A	AF486837
VEGF B	U48801
VEGF C	U43142
Vimentin	X56134
Von Willebrand factor	NM_000552
Wif	AY358344
Wisp 1	AF100779
Wisp 2	AF100780
Wisp 3	AF100786
Wnt 2	NM_003391
Wnt 5a	L20861
Wnt 6	AA807187
Wnt 10a	BC052234
Wnt 11	BC074790
