Affymetrix probe set ID	Gene name	Gene symbol	Biological function	Fold changes in microarray
1449034_at	Cytochrome P450, family 4, subfamily v, polypeptide 3 kallikrein B, plasma 1	Cyp4v3	Blood coagulation	10
1449034_at	Cytochrome P450, family 4, subfamily v, polypeptide 3 kallikrein B, plasma 2	Klkb1	Inflammatory response Negative regulation of blood coagulation	10
1418992_at	Coagulation factor X	F10	Blood coagulation Proteolysis and peptidolysis	45
1451788_at	Coagulation factor XI	F11	Blood coagulation Proteolysis and peptidolysis	4
1418897_at	Coagulation factor II	F2	Acute-phase response Blood coagulation	128
1418907_at	Coagulation factor V	F5	Blood coagulation Cell adhesion	5
1419321_at	Coagulation factor VII	F7	Blood coagulation Metabolism	49
1427393_at	Coagulation factor IX	F9	Blood coagulation	169
1428079_at	Fibrinogen, B beta polypeptide	Fgb	Blood coagulation	478
1416025_at	Fibrinogen, gamma polypeptide	Fgg	Blood coagulation	60
1416676_at	kininogen 1	Kng1	Blood coagulation Inflammatory response Regulation of blood pressure	4
1418267_at	Macrophage stimulating 1 (hepatocyte growth factor-like)	Mst1	Blood coagulation Embryo implantation Proteolysis and peptidolysis	5
1416729_at	Plasminogen	Plg	Induction of apoptosis Myogenesis Negative regulation of angiogenesis Negative regulation of blood coagulation	446
1431721_a_at	Protein Z, vitamin K-dependent plasma glycoprotein	Proz	Blood coagulation Proteolysis and peptidolysis	6
1417909_at	Serine (or cysteine) proteinase inhibitor, clade C (antithrombin), member 1	Serpinc1	Blood coagulation	74
1418680_at	Serine (or cysteine) proteinase inhibitor, clade D, member 1	Serpind1	Blood coagulation	23
1416625_at	Serine (or cysteine) proteinase inhibitor, clade G, member 1	Serping1	Blood coagulation Complement activation Complement activation, classical pathway	4
