Entrez gene	Gene name	Description	HepaRG 0.5 mM	HepaRG 1 mM	HepaRG 2 mM	HepaRG 3.2 mM	HepaRG 6 mM	HepaRG 8 mM	Primary human hepatocytes 1 mM	Primary human hepatocytes 3.2 mM
5243	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1	2.7	2.5	2.2	2.7	3.4	4.1	1.9	2.2
1244	ABCC2	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	2.2	2.3	2.3	2.2	2.3	2.2	2	1.9
9429	ABCG2	ATP-binding cassette, sub-family G (WHITE), member 2	2	2.9	2.9	3.8	4.1	4.3	1.4	1.7
171586	ABHD3	Abhydrolase domain containing 3	1.4	1.9	2	3.9	3.5	3.8	1.1	1.6
125	ADH1B	Alcohol dehydrogenase IB (class I), beta polypeptide	-1.6	-1.9	-2.5	-6.1	-6.7	-3.1	-2.4	-9.5
231	AKR1B1	Aldo-keto reductase family 1, member B1 (aldose reductase)	2.4	2.9	2.7	1.8	-2.3	-1.7	5.2	2.6
57016	AKR1B10	Aldo-keto reductase family 1, member B10 (aldose reductase)	2.5	3.1	2.8	1.8	-2.4	-1.7	7.4	3.3
6718	AKR1D1	Aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)	9	8.9	5.3	1.1	1	1.7	2.8	1.9
211	ALAS1	Aminolevulinate, delta-, synthase 1	2.1	2.3	1.5	2	2.7	2.2	2.7	2.6
196394	AMN1	Antagonist of mitotic exit network 1 homolog (S. cerevisiae)	1.5	2	2.2	3	1.4	2.3	1.1	1.4
397	ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta	-1.4	-1.9	-2.1	-2.1	-1.7	-1.9	-5.4	-2.2
623	BDKRB1	Bradykinin receptor B1	1.7	2.2	2	4	26.8	31.1	1.1	1.9
642	BLMH	Bleomycin hydrolase	-1.6	-2	-2.7	-2.6	-2.4	-3	-1	1.1
735	C9	Complement component 9	-2	-2	-2.2	1	-2.1	-6.7	-1.2	-1.9
771	CA12	Carbonic anhydrase XII	1.6	1.8	2	2.5	1.1	-1.1	2	2.9
133690	CAPSL	Calcyphosine-like	-1.2	-1.9	-1.8	-4.6	-4.3	-2.6	-1	1
164592	CCDC116	Coiled-coil domain containing 116	1.5	2.1	2.3	2.4	13.5	14.1	1.4	1.3
1236	CCR7	Chemokine (C-C motif) receptor 7	-1.4	-1.9	-2.3	-3.9	-5.6	-4.1	-10.5	1.1
929	CD14	CD14 molecule	1.9	2.1	2.4	1.9	1.2	1.4	1.9	2.2
374286	CDRT1	CMT1A duplicated region transcript 1	2.4	3	2.7	3.9	5.1	3.6	1	1
57530	CGN	Cingulin	-1.4	-1.9	-2.2	-4.1	-5.7	-2.6	-1.3	-2
1264	CNN1	Calponin 1, basic, smooth muscle	-2.2	-3.2	-3.7	1	21.3	39.3	-2.8	-3
1286	COL4A4	Collagen, type IV, alpha 4	-1.2	-2.2	-2.2	-2.6	1.2	-2	-1.4	1
1490	CTGF	Connective tissue growth factor	-1.4	-2.6	-3.8	-7.8	-1.5	2.1	-2	-2
29119	CTNNA3	Catenin (cadherin-associated protein), alpha 3	-1.4	-1.9	-2.4	-1.9	-2.5	-2.6	1.7	-2.3
83992	CTTNBP2	Cortactin binding protein 2	-2.1	-2.5	-5.3	-24.4	-20.3	-7	-2	-1.5
1524	CX3CR1	Chemokine (C-X3-C motif) receptor 1	2	3	4	2.7	1.9	1.2	1.5	-1.3
