# Generate Mapping Tables Script: Version 4 11:07 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:07 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_029422|NM_029422	mgi_symbol|Tm7sf4|Tm7sf4
refseq_dna|NM_010766|NM_010766	mgi_symbol|Marco|Marco
refseq_dna|NM_011332|NM_011332	mgi_symbol|Ccl17|Ccl17
refseq_dna|NM_033321|NM_033321	mgi_symbol|P2rx5|P2rx5
refseq_dna|NM_026334|NM_026334	mgi_symbol|Lipf|Lipf
refseq_dna|NM_012022|NM_012022	mgi_symbol|Ppnr|Ppnr
refseq_dna|NM_007654|NM_007654	mgi_symbol|Cd72|Cd72
refseq_dna|NM_029612|NM_029612	mgi_symbol|Slamf9|Slamf9
refseq_dna|NM_010381|NM_010381	mgi_symbol|H2-Ea|H2-Ea
entrezgene|BC003824|12517	mgi_symbol|Cd72|Cd72
embl|AK005018|AK005018	mgi_symbol|AK005018|AK005018
refseq_dna|NM_170597|NM_170597	mgi_symbol|Creg2|Creg2
embl|AK042310|AK042310	mgi_symbol|A630081D01Rik|A630081D01Rik
embl|AK018133|AK018133	mgi_symbol|6330407A03Rik|6330407A03Rik
entrezgene|AK139527|217122	mgi_symbol|A430060F13Rik|A430060F13Rik
refseq_dna|NM_021475|NM_021475	mgi_symbol|Adamdec1|Adamdec1
refseq_dna|NM_027961|NM_027961	mgi_symbol|Wfdc3|Wfdc3
refseq_dna|NM_008521|NM_008521	mgi_symbol|Ltc4s|Ltc4s
refseq_dna|NM_146102|NM_146102	mgi_symbol|Afap1l2|Afap1l2
entrezgene|AK011866|76187	mgi_symbol|2610203C22Rik|2610203C22Rik
refseq_dna|NM_133661|NM_133661	mgi_symbol|Slc6a12|Slc6a12
refseq_dna|NM_175437|NM_175437	mgi_symbol|A530088I07Rik|A530088I07Rik
embl|AK038228|AK038228	mgi_symbol|AK038228|AK038228
entrezgene|X52641|14969	mgi_symbol|H2-Eb1|H2-Eb1
refseq_dna|NM_029021|NM_029021	mgi_symbol|4833422F24Rik|4833422F24Rik
refseq_dna|NM_207105|NM_207105	mgi_symbol|H2-Ab1|H2-Ab1
refseq_dna|NM_010650|NM_010650	mgi_symbol|Klra8|Klra8
refseq_dna|NM_029639|NM_029639	mgi_symbol|1600029D21Rik|1600029D21Rik
embl|AK038867|AK038867	mgi_symbol|ENSMUSG00000056615|ENSMUSG00000056615
refseq_dna|NM_007807|NM_007807	mgi_symbol|Cybb|Cybb
refseq_dna|NM_207105|NM_207105	mgi_symbol|H2-Ab1|H2-Ab1
entrezgene|BC010322|14961	mgi_symbol|H2-Ab1|H2-Ab1
refseq_dna|NM_207105|NM_207105	mgi_symbol|H2-Ab1|H2-Ab1
refseq_dna|NM_027960|NM_027960	mgi_symbol|Dpep3|Dpep3
refseq_dna|NM_177649|NM_177649	mgi_symbol|BC034076|BC034076
refseq_dna|NM_008607|NM_008607	mgi_symbol|Mmp13|Mmp13
