Gene Name	Accesion No.	Symbol	Log (base 2)	FDR
1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta)	NM_133406	Agpat4	-0.948	0.035
5-3 exoribonuclease 1	XM_217233	Xrn1	-1.074	0.036
adipose differentiation related protein	NM_001007144	Adfp	-0.746	0.039
AFG3(ATPase family gene 3)-like 2 (yeast)	XM_225866	Afg3l2	-0.768	0.035
aldehyde dehydrogenase 3 family, member B2	CB545830	Aldh3b2	-1.028	0.037
amyloid beta (A4) precursor protein-binding, family B, member 3	NM_053957	Apbb3	-0.62	0.046
ankyrin repeat and sterile alpha motif domain containing 3	NM_001009676	Anks3	-0.81	0.037
arylsulfatase A	XM_235566	Arsa	-0.68	0.044
ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	CB545338	Atp5c1	-1.313	0.038
bone marrow stromal cell antigen 2	NM_198134	Bst2	-0.854	0.035
brain-specific angiogenesis inhibitor 3	XM_217367	Bai3	-0.695	0.037
brix domain containing 1	XM_215404	Bxdc1	-0.858	0.035
bromodomain and WD repeat domain containing 2	XM_219377	Brwd2	-1.657	0.035
bromodomain containing 2	NM_212495	Brd2	-0.981	0.035
BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, (Mot1 homolog, S. cerevisiae)	XM_347206	Btaf1	-0.626	0.046
calpain 1	U53858	Capn1	-0.944	0.048
calpain 6	NM_031808	Capn6	-1.265	0.047
carbohydrate (keratan sulfate Gal-6) sulfotransferase 1	NM_001011955	Chst1	-1.21	0.035
casein kappa	NM_031562	Csn3	-1.827	0.05
cathepsin Z	NM_183330	Ctsz	-1.014	0.035
CDC5 cell division cycle 5-like (S. pombe)	NM_053527	Cdc5l	-0.975	0.035
CDK5 regulatory subunit associated protein 1-like 1	XM_341524	Cdkal1	-1.208	0.035
CDP-diacylglycerol synthase 1	NM_031242	Cds1	-0.948	0.035
CDP-diacylglycerol--inositol 3-phosphatidyltransferase (phosphatidylinositol synthase)	NM_138899	Cdipt	-0.818	0.035
centaurin, delta 2	BC088328	Centd2	-0.719	0.044
CGRP receptor component	NM_053670	Crcp	-0.752	0.048
chemokine (C-X-C motif) ligand 16	NM_001017478	Cxcl16	-0.753	0.039
claudin 3	NM_031700	Cldn3	-0.926	0.035
cleavage stimulation factor, 3 pre-RNA subunit 2, tau	AW917690	Cstf2t	-0.98	0.035
