Probe Set ID	Gene Title	Gene Symbol	Chromosomal Location
203381_s_at	apolipoprotein E	APOE	19q13.2
203382_s_at	apolipoprotein E	APOE	19q13.2
206339_at	cocaine- and amphetamine-regulated transcript	CART	5q13.2
203984_s_at	caspase 9, apoptosis-related cysteine peptidase	CASP9	1p36.3-p36.1
209560_s_at	delta-like 1 homolog (Drosophila)	DLK1	14q32
206404_at	fibroblast growth factor 9 (glia-activating factor)	FGF9	13q11-q12
218469_at	gremlin 1, cysteine knot superfamily, homolog (Xenopus laevis)	GREM1	15q13-q15
202410_x_at	insulin-like growth factor 2 (somatomedin A)	IGF2	11p15.5
212079_s_at	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)	MLL	11q23
212185_x_at	metallothionein 2A	MT2A	16q13
206645_s_at	nuclear receptor subfamily 0, group B, member 1	NR0B1	Xp21.3-p21.2
214250_at	nuclear mitotic apparatus protein 1	NUMA1	11q13
209318_x_at	pleiomorphic adenoma gene-like 1	PLAGL1	6q24-q25
210479_s_at	RAR-related orphan receptor A	RORA	15q21-q22
201819_at	scavenger receptor class B, member 1	SCARB1	12q24.31
212382_at	Transcription factor 4	TCF4	18q21.1
206286_s_at	teratocarcinoma-derived growth factor 1	TDGF1	3p21.31
214451_at	transcription factor AP-2 beta (activating enhancer binding protein 2 beta)	TFAP2B	6p21-p12
204731_at	transforming growth factor, beta receptor III (betaglycan, 300kDa)	TGFBR3	1p33-p32
208291_s_at	tyrosine hydroxylase	TH	11p15.5
212701_at	Talin 2	TLN2	15q15-q21
201294_s_at	WD repeat and SOCS box-containing 1	WSB1	17q11.1
210230_at	Hypothetical LOC388388	RNU2	17p13.3
AFFX-HUMRGE/M10098_5_at
AFFX-HUMRGE/M10098_M_at
AFFX-r2-Hs18SrRNA-5_at
AFFX-r2-Hs18SrRNA-M_x_at
221217_s_at	ataxin 2-binding protein 1	A2BP1	16p13.3
49452_at	acetyl-Coenzyme A carboxylase beta	ACACB	12q24.11
204450_x_at	apolipoprotein A-I /// similar to Apolipoprotein A-I precursor (Apo-AI)	APOA1 /// LOC440837	11q23-q24 /// 22p13
217073_x_at	apolipoprotein A-I /// similar to Apolipoprotein A-I precursor (Apo-AI)	APOA1 /// LOC440837	11q23-q24 /// 22p13
205198_s_at	ATPase, Cu++ transporting, alpha polypeptide (Menkes syndrome)	ATP7A	Xq13.2-q13.3
218631_at	arginine vasopressin-induced 1	AVPI1	10q24.2
208451_s_at	complement component 4A /// complement component 4B /// complement component 4B, telomeric	C4A /// C4B	6p21.3
214428_x_at	complement component 4A /// complement component 4B /// complement component 4B, telomeric	C4A /// C4B	6p21.3
202992_at	complement component 7	C7	5p13
219714_s_at	calcium channel, voltage-dependent, alpha 2/delta 3 subunit	CACNA2D3	3p21.1
