Entrez Gene	Gene Symbol	Gene Name	Chromosome	RefSeq	ENSEMBL	logFC (TamR v.s. TamS)	AveExpr	t	P.Value	adj.P.Val
51015	ISOC1	isochorismatase domain containing 1	5	NM_016048, NP_057132	ENSG00000066583	0.522879247	7.360012088	3.051602596	0.002621342	0.039268981
55872	PBK	PDZ binding kinase	8	NM_018492, NP_060962	ENSG00000168078	0.505001417	4.827095001	3.656179586	0.000336001	0.014954479
6790	AURKA	aurora kinase A	20	NM_003600, NM_198433, NM_198434, NM_198435, NM_198436, NM_198437, NP_003591, NP_940835, NP_940836, NP_940837, NP_940838, NP_940839	ENSG00000087586	0.504077023	6.02670804	4.541070763	1.0231E-05	0.004168448
891	CCNB1	cyclin B1	5	NM_031966, NP_114172	ENSG00000134057	0.47873449	6.445899517	3.66489631	0.000325535	0.01470173
80223	RAB11FIP1	RAB11 family interacting protein 1 (class I)	8	NM_001002233, NM_001002814, NM_025151, NP_001002233, NP_001002814, NP_079427	ENSG00000156675	0.470748605	7.715898327	3.089701861	0.002322256	0.038791642
79682	MLF1IP	MLF1 interacting protein	4	NM_024629, NP_078905	ENSG00000151725	0.466565421	7.153038532	2.978342924	0.003298404	0.043073327
7153	TOP2A	topoisomerase (DNA) II alpha 170kDa	17	NM_001067, NP_001058	ENSG00000131747	0.46464299	6.584412732	3.052035418	0.002617753	0.039268981
4072	EPCAM	epithelial cell adhesion molecule	2	NM_002354, NP_002345	ENSG00000119888	0.463932609	8.627283672	4.451572116	1.49309E-05	0.004168448
55353	LAPTM4B	lysosomal protein transmembrane 4 beta	8	NM_018407, NP_060877	ENSG00000104341	0.462643111	9.409612193	3.344548177	0.001003191	0.026513779
6713	SQLE	squalene epoxidase	8	NM_003129, NP_003120	ENSG00000104549	0.452537966	7.504799528	4.56339047	9.30273E-06	0.004168448
9055	PRC1	protein regulator of cytokinesis 1	15	NM_003981, NM_199413, NM_199414, NP_003972, NP_955445, NP_955446	ENSG00000198901	0.449067704	6.691158121	3.473375927	0.000643971	0.021687332
178	AGL	amylo-1, 6-glucosidase, 4-alpha-glucanotransferase	1	NM_000028, NM_000642, NM_000643, NM_000644, NM_000645, NM_000646, NP_000019, NP_000633, NP_000634, NP_000635, NP_000636, NP_000637	ENSG00000162688	0.440745525	7.493208935	2.909987007	0.004071465	0.047723164
664	BNIP3	BCL2/adenovirus E1B 19kDa interacting protein 3	10	NM_004052, NP_004043	ENSG00000176171	0.435599168	7.68578164	4.359081636	2.19415E-05	0.00555553
2201	FBN2	fibrillin 2	5	NM_001999, NP_001990	ENSG00000138829	0.429032819	4.757583524	3.178567461	0.001742926	0.033651874
9319	TRIP13	thyroid hormone receptor interactor 13	5	NM_004237, NP_004228	ENSG00000071539	0.426565362	6.776615085	3.840540211	0.00017001	0.011602271
2258	FGF13	fibroblast growth factor 13	X	NM_001139498, NM_001139500, NM_001139501, NM_001139502, NM_004114, NM_033642, NP_001132970, NP_001132972, NP_001132973, NP_001132974, NP_004105, NP_378668	ENSG00000129682	0.425047114	7.082413809	3.333683326	0.001040802	0.026513779
4085	MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)	4	NM_002358, NP_002349	ENSG00000164109	0.412626008	5.037397692	3.988790078	9.65467E-05	0.009108777
65265	C8orf33	chromosome 8 open reading frame 33	8	NM_023080, NP_075568	ENSG00000182307	0.41009406	6.860505001	3.231654894	0.001464045	0.03037894
91298	C12orf29	chromosome 12 open reading frame 29	12	NM_001009894, NP_001009894	ENSG00000133641	0.40605117	7.031430661	4.138367791	5.36851E-05	0.007739814
10576	CCT2	chaperonin containing TCP1, subunit 2 (beta)	12	NM_006431, NP_006422	ENSG00000166226	0.399817696	8.939635072	3.623456716	0.000378193	0.015909995
28998	MRPL13	mitochondrial ribosomal protein L13	8	NM_014078, NP_054797	ENSG00000172172	0.390179714	6.696895493	2.888711319	0.004343965	0.048930157
29127	RACGAP1	Rac GTPase activating protein 1	12	NM_001126103, NM_001126104, NM_013277, NP_001119575, NP_001119576, NP_037409	ENSG00000161800	0.386386753	8.782185571	3.292395407	0.001196063	0.028219777
