Genbank ID	Description	Gene name	Fold change (S1-S10)
D13720.1	IL2-inducible T-cell kinase	ITK	3.64
AF288571.1	Lymphoid enhancer factor-1	LEF1	3.63
NM_005356.1	Lymphocyte-specific protein tyrosine kinase	LCK	3.2
NM_003151.1	Signal transducer and activator of transcription 4	STAT4	3.14
BG435404	ADP-ribosylation factor-like 7	ARL7	2.99
J04132.1	T cell receptor zeta-chain	CD3Z	2.96
BG532690	Alpha 4 subunit of VLA-4 receptor	ITGA4	2.91
NM_001838.1	Chemokine (C-C motif) receptor 7	CCR7	2.83
AI743792	Sialyltransferase 1	SIAT1	2.71
NM_001558.1	Interleukin 10 receptor, alpha	IL10RA	2.71
BF669455	Sialomucin	CD164	2.58
NM_000733.1	Epsilon polypeptide of CD3	CD3E	2.58
AI073984	Interferon consensus sequence binding protein 1	ICSBP1	2.48
NM_005475.1	Lymphocyte adaptor protein	LNK	2.38
AB014560.	Ras-GTPase activating protein SH3 domain-binding protein 2	G3BP2	2.31
NM_004757.1	Small inducible cytokine subfamily E, member 1	SCYE1	2.19
