Gene	Description	Expression units, in vivo	Expression units, in vitro 3D7
Hs.155376	haemoglobin, beta	757266	101307
Hs.36977	haemoglobin, delta EST, similar to tctp human translationally controlled tumor protein H. sapiens	395849	12265
Hs.203820		241506	6932
Hs.21295	EST, Weakly similar to KIAA0902 protein H. sapiens	190454	9321
Hs.247921	haemoglobin, theta 1	188961	4528
Hs.87246	Bcl-2 binding component 3	187575	5688
Hs.256047	ESTs, similar to B24264 proline-rich protein MP3 -M. musculus	160290	5681
Hs.14587	ESTs, similar to AF1 51 859_1 CGI-101 protein H. sapiens	155768	6389
Hs.117848	haemoglobin, epsilon 1	150921	5903
Hs.168073	DKFZP727M231 protein	147492	6615
Hs.24545	hypothetical protein FLJ11137	146324	6292
Hs.6318	peroxisomal short-chain alcohol dehydrogenase	145846	5136
Hs.155833	ESTs, similar to spliceosomal protein SAP 155 H. sapiens Homo sapiens mRNA; cDNA DKFZp434H0820 (from clone DKFZp434H0820); partial cds	140563	5508
Hs.109857		138856	7397
Hs.248677	ESTs, similar to A48018 mucin 7 precursor, salivary – H. sapiens	136390	5253
Hs.4205	hypothetical protein FLJ20124 ATPase, H+ transporting, lysosomal (vacuolar proton pump), member D	132244	4050
Hs.106876		127582	3930
Hs.172914	retinol dehydrogenase 5 (11-cisand 9-cis)	125310	4560
Hs.23898	paraneoplastic antigen	124648	5631
