Entrez	Gene Symbol	Gene Name	Chromosome	RefSeq	ENSEMBL	logFC (TamR v.s. TamS)	AveExpr	t	P.Value	adj.P.Val
18	ABAT	4-aminobutyrate aminotransferase	16	NM_000663, NM_001127448, NM_020686, NP_000654, NP_001120920, NP_065737	ENSG00000183044	-0.994714106	7.638703211	-4.303855017	2.84623E-05	0.010939328
115	ADCY9	adenylate cyclase 9	16	NM_001116, NP_001107	ENSG00000162104	-0.459530339	6.619263238	-3.37332943	0.000922364	0.043852565
4329	ALDH6A1	aldehyde dehydrogenase 6 family, member A1	14	NM_005589, NP_005580	ENSG00000119711	-0.51043572	8.250537785	-3.641052605	0.000361469	0.029618995
262	AMD1	adenosylmethionine decarboxylase 1	6	NM_001033059, NM_001634, NP_001028231, NP_001625	ENSG00000123505	0.500047407	7.71644246	3.343236636	0.001021358	0.045059372
54443	ANLN	anillin, actin binding protein	7	NM_018685, NP_061155	ENSG00000011426	0.769978253	5.968030889	3.51213319	0.000571296	0.034441497
8853	ASAP2	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2	2	NM_001135191, NM_003887, NP_001128663, NP_003878	ENSG00000151693	0.44796996	7.890721631	3.475814002	0.000648486	0.036925989
440	ASNS	asparagine synthetase	7	NM_001673, NM_133436, NM_183356, NP_001664, NP_597680, NP_899199	ENSG00000070669	0.634137882	8.127987505	3.628595015	0.000378018	0.029662844
563	AZGP1	alpha-2-glycoprotein 1, zinc-binding	7	NM_001185, NP_001176	ENSG00000160862	-1.355216783	11.71145921	-4.576115762	9.18095E-06	0.00619544
594	BCKDHB	branched chain keto acid dehydrogenase E1, beta polypeptide	6	NM_000056, NM_183050, NP_000047, NP_898871	ENSG00000083123	-0.407920656	6.01014128	-3.434506625	0.000748135	0.039379009
701	BUB1B	budding uninhibited by benzimidazoles 1 homolog beta (yeast)	15	NM_001211, NP_001202	ENSG00000156970	0.855988368	7.027669541	4.470069602	1.43488E-05	0.006387811
400566	C17orf97	chromosome 17 open reading frame 97	17	NM_001013672, NP_001013694	ENSG00000187624	-0.537289226	7.137975214	-3.67322715	0.000321833	0.029618995
51093	C1orf66	chromosome 1 open reading frame 66	1	NM_001142560, NM_015997, NP_001136032, NP_057081	ENSG00000143303	-0.416275536	6.357643755	-3.353206107	0.000987513	0.04477638
60526	C2orf43	chromosome 2 open reading frame 43	2	NM_021925, NP_068744	ENSG00000118961	0.498420931	6.159956134	3.655011352	0.000343739	0.029618995
84933	C8orf76	chromosome 8 open reading frame 76	8	NM_032847, NP_116236	ENSG00000189376	0.640297867	6.239293662	3.367115414	0.00094204	0.043934931
91768	CABLES1	Cdk5 and Abl enzyme substrate 1	18	NM_001100619, NM_138375, NP_001094089, NP_612384, NR_023359	ENSG00000134508	-0.492923111	7.7859949	-4.058685541	7.55404E-05	0.017139096
