Currated Gene Symbol	UniGene ID	Symbol	Name	Tag per million	Cytoband
SCAND1	Hs.274411	SCAND1	SCAN domain containing 1	185	20q11.1-q11.23
HM13	Hs.386538	HM13	histocompatibility (minor) 13	133	20q11.21
CHMP4B	Hs.352579	C20orf178	chromosome 20 open reading frame 178	107	20q11.22
PXMP4	Hs.241205	PXMP4	peroxisomal membrane protein 4, 24 kDa	78	20q11.22
ROMO1	Hs.401703	C20orf52	chromosome 20 open reading frame 52	224	20q11.23
SLA2	Hs.334489	SLA2	Src-like-adaptor 2	107	20q11.23
DLGAP4	Hs.177425	DAP4	KIAA0964 protein	107	20q11.23
TRPC4AP	Hs.168073	C20orf188	chromosome 20 open reading frame 188	35	20q11.23
BLCAP	Hs.5300	BLCAP	bladder cancer associated protein	46	20q11.2-q12
MAFB	Hs.169487	MAFB	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	349	20q11.2-q13.1
NCOA3	Hs.225977	NCOA3	nuclear receptor coactivator 3	175	20q12
SDC4	Hs.252189	SDC4	syndecan 4 (amphiglycan, ryudocan)	160	20q12
PKIG	Hs.3407	PKIG	protein kinase (cAMP-dependent, catalytic) inhibitor gamma	160	20q12-q13.1
RPN2	Hs.406532	RPN2	ribophorin II	107	20q12-q13.1
YWHAB	Hs.182238	YWHAB	GW128 protein	107	20q13.1
SERINC3	Hs.272168	TDE1	tumor differentially expressed 1	46	20q13.1–13.3
RNF114	Hs.10590	ZNF313	zinc finger protein 313	320	20q13.13
ADNP	Hs.3657	ADNP	activity-dependent neuroprotector	107	20q13.13
GNAS	Hs.374523	GNAS	GNAS complex locus	1282	20q13.2-q13.3
EEF1A2	Hs.2642	EEF1A2	eukaryotic translation elongation factor 1 alpha 2	46	20q13.3
C20orf43	Hs.182281	C20orf43	chromosome 20 open reading frame 43	160	20q13.31
FAM210B	Hs.352413	C20orf108	chromosome 20 open reading frame 108	46	20q13.31
APCDD1L	Hs.119286	FLJ90166	hypothetical protein FLJ90166	46	20q13.32
DNAJC5	Hs.165563	DNAJC5	DnaJ (Hsp40) homolog, subfamily C, member 5	320	20q13.33
PRPF6	Hs.31334	C20orf14	chromosome 20 open reading frame 14	160	20q13.33
UCKL1	Hs.39850	URKL1	uridine kinase-like 1	107	20q13.33
PSMA7	Hs.233952	PSMA7	proteasome (prosome, macropain) subunit, alpha type, 7	42	20q13.33
