GenBank Accession No.	Description	Ratio of expression level (infected mice/uninfected mice) Liver	Ratio of expression level (infected mice/uninfected mice) Spleen	Gene Function
BC015283	Protein kinase, AMP-activated, gamma 2 non-catalytic subunit	0.4		Protein biosynthesis
BF581023 Ribosomal protein 21		2.56		Protein biosynthesis
NM_008061	Glucose-6-phosphatase, catalytic	0.4		Protein biosynthesis
BC022110	Aminolevulinic acid synthase 1	7.76		Protein biosynthesis
AF093775	Actinin alpha 3	0.35	0.16	Cytoskeleton and structural elements
BC085256	Tubulin, alpha 1	0.44	0.31	Cytoskeleton and structural elements
NM_011655	Tubulin, beta 5	0.47	0.34	Cytoskeleton and structural elements
AF083929	Programmed cell death protein 7		0.2	Cell death
M13226	Granzyme A		2.51	Cell death
NM_009810	Caspase 3	2.19		Cell death
NM_009741	B-cell leukemia/lymphoma 2 (Bcl2)	2.53		Cell death
NM_007527	Bcl2-associated X protein (Bax)	2.85		Cell death
AK052220	Periostin, osteoblast specific factor		0.27	Cell adhesion and extracellular matrix
NM_008524	Lumican		0.28	Cell adhesion and extracellular matrix
AB009993	Procollagen, type V, alpha 1		0.47	Cell adhesion and extracellular matrix
U34691	Uroporphyrinogen decarboxylase		0.31	Metabolism
BF118738	Lysozyme	2.35	0.34	Metabolism
AK010166	Carbonic anhydrase 13		0.39	Metabolism
NM_178396	Carbonic anyhydrase 12		0.4	Metabolism
BC056644	Acyl-CoA synthetase long-chain family member 1		0.45	Metabolism
XM_203999	Rap guanine nucleotide exchange factor		0.22	Signal transduction
NM_010338	G protein-coupled receptor 37		0.33	Signal transduction
BC088989	Latrophilin 3	0.4	0.39	Signal transduction
NM_027180	Centaurin, delta 2	0.48		Signal transduction
NM_007387	Acid phosphatase 2, lysosomal	0.48	2.08	Protein amino acid phosphorylation and dephosphorylation
NM_007431	Alkaline phosphatase 2, liver	0.46	2.14	Protein amino acid phosphorylation and dephosphorylation
NM_007388	Acid phosphatase 5, tartrate resistant	0.45	2.03	Protein amino acid phosphorylation and dephosphorylation
NM_008247	Phosphatidic acid phosphatase 2a		2.15	Protein amino acid phosphorylation and dephosphorylation
AK083315	Cathepsin E	0.37	0.33	Ubiquitination and proteolysis
NM_009430	Protease, serine, 2		0.41	Ubiquitination and proteolysis
BC053429	Solute carrier family 4 (anion exchanger), member 1		0.19	Transport
NM_030054	Solute carrier family 25, member 37		0.21	Transport
BC079840	ATP-binding cassette, sub-family D (ALD), member 1		0.27	Transport
BC054793	ATP-binding cassette, sub-family B (MDR/TAP), member 10		0.41	Transport
BC008996	Cytochrome P450, family 4, sub-family b, polypeptide 1		0.48	Transport
NM_007815	Cytochrome P450, family 2, sub-family c, polypeptide 29	0.35		Transport
AK033425	Solute carrier family 5 (sodium/glucose cotransporter), member 9	0.44		Transport
NM_009320	Solute carrier family 6 (neurotransmitter transporter, taurine), member 6	0.48		Transport
BG917714	Lipocalin 2	7.05		Transport
BC026702	CD24a antigen		0.39	Cell surface markers and membrane proteins
BC027633	CD79A antigen		0.42	Cell surface markers and membrane proteins
NM_010545	CD74 antigen	4.1		Cell surface markers and membrane proteins
AK077456	Protein arginine N-methyltransferase 2		0.32	RNA processing
BC021485	Exosome component 2		2.19	RNA processing
AA880654	Chemokine (C-C motif) ligand 21b		0.081	Immune and inflammatory response
BF142314	Chemokine (C-C motif) ligand 7	2.05	4	Immune and inflammatory response
AK042480	Chemokine (C-X-C motif) ligand 9	10.36	9.72	Immune and inflammatory response
NM_031165	Heat shock 70kD protein 8	2.08	2.01	Stress response
BE984092	Heat shock protein 1(chaperonin 10)		2.37	Stress response
BC049124	Heat shock protein 90 kDa alpha (cytosolic), class A member 1		2.67	Stress response
BC052707		0.23		Cell differentiation and development
BC065091	Phospholipase C, gamma 1	0.3	0.45	Cell differentiation and development
AK049384	Zinc finger protein 410	2.07	0.35	Transcription factors and nucleic acid binding proteins
AK034723	Proliferating cell nuclear antigen	0.42	3.12	Transcription factors and nucleic acid binding proteins
BC040811	RNA binding motif protein 28	2.29		Transcription factors and nucleic acid binding proteins
NM_172563	Hepatic leukemia factor	2.38		Transcription factors and nucleic acid binding proteins
AK076122	Cyclin B2		0.26	Cell cycle and mitosis
AK128957	Cyclin G1	0.4	0.26	Cell cycle and mitosis
AK008622	Gastrokine 1		0.32	Other
