Affymetrix ID	Gene symbol	Entrez gene name	P
206506_s_at	SUPT3H (includes EG:8464)	Suppressor of Ty 3 homolog (S. cerevisiae)	0.0019
214473_x_at	PMS2L3	Postmeiotic segregation increased 2-like 3	0.0008
211558_s_at	DHPS	Deoxyhypusine synthase	0.0009
202120_x_at	AP2S1a	Adaptor-related protein complex 2, sigma 1 subunit	0.0002
201765_s_at	HEXA	hexosaminidase A (á polypeptide)	0.0003
216032_s_at	ERGIC3	ERGIC and golgi 3	0.0005
216903_s_at	CBARA1	Calcium binding atopy-related autoantigen 1	0.0027
204985_s_at	TRAPPC6A	Trafficking protein particle complex 6A	0.0002
204601_at	N4BP1	NEDD4 binding protein 1	0.0003
201600_at	PHB2	Prohibitin 2	0.0002
212782_x_at	POLR2J	Polymerase (RNA) II (DNA directed) polypeptide J, 13.3 kDa	0.0016
202387_at	BAG1	BCL2-associated athanogene	0.0003
214277_at	COX11	COX11 cytochrome c oxidase assembly homolog (yeast)	0.0004
218679_s_at	VPS28	Vacuolar protein sorting 28 homolog (S. cerevisiae)	0.0004
220089_at	L2HGDH	L-2-hydroxyglutarate dehydrogenase	0.0001
218345_at	TMEM176A	Transmembrane protein 176A	0.0001
210927_x_at	JTB	Jumping translocation breakpoint	0.0003
213550_s_at	NDUFA2	NADH dehydrogenase (ubiquinone) 1 á subcomplex, 2, 8 kDa	0.0002
220532_s_at	TMEM176B	Transmembrane protein 176B	<0.0001
203927_at	NFKBIE	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon	0.0002
201119_s_at	COX8A	Cytochrome c oxidase subunit VIIIA (ubiquitous)	0.0003
221488_s_at	CUTA	cutA divalent cation tolerance homolog (E. coli)	0.0002
213540_at	HSD17B8	Hydroxysteroid (17-beta) dehydrogenase 8	0.0003
202283_at	SERPINF1	Serpin peptidase inhibitor, clade F (á-2 antiplasmin, pigment epithelium derived factor), member 1	0.0002
215084_s_at	LRRC42	Leucine rich repeat containing 42	0.0003
203024_s_at	C5ORF15	Chromosome 5 open reading frame 15	0.0002
219345_at	BOLA1	bolA homolog 1 (E. coli)	0.0005
209208_at	MPDU1	Mannose-P-dolichol utilization defect 1	0.0003
207157_s_at	GNG5	Guanine nucleotide binding protein (G protein), ã 5	0.0001
1861_at	BAD	BCL2-associated agonist of cell death	0.0003
48825_at	ING4	Inhibitor of growth family, member 4	0.0004
203478_at	NDUFC1	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 1, 6 kDa	0.0001
218309_at	CAMK2N1	Calcium/calmodulin-dependent protein kinase II inhibitor 1	0.0001
208074_s_at	AP2S1a	Adaptor-related protein complex 2, sigma 1 subunit	0.0001
203857_s_at	PDIA5	Protein disulfide isomerase family A, member 5	0.0003
201023_at	TAF7	TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 55 kDa	0.0005
201812_s_at	TOMM7	Translocase of outer mitochondrial membrane 7 homolog (yeast)	0.0006
203781_at	MRPL33	Mitochondrial ribosomal protein L33	0.0002
201560_at	CLIC4	Chloride intracellular channel 4	0.0014
211732_x_at	HNMT	Histamine N-methyltransferase	0.0022
204559_s_at	LSM7	LSM7 homolog, U6 small nuclear RNA associated (S. cerevisiae)	0.0005
204880_at	MGMT	O-6-methylguanine-DNA methyltransferase	<0.0001
204034_at	ETHE1	Ethylmalonic encephalopathy 1	<0.0001
220016_at	AHNAK	AHNAK nucleoprotein	0.0001
205750_at	BPHL	Biphenyl hydrolase-like (serine hydrolase)	0.0004
220942_x_at	FAM162A	Family with sequence similarity 162, member A	0.0001
219479_at	KDELC1	KDEL (Lys-Asp-Glu-Leu) containing 1	0.0003
201028_s_at	CD99 (includes, for example, 4267)	CD99 molecule	0.0001
217963_s_at	NGFRAP1	Nerve growth factor receptor (TNFRSF16) associated protein 1	0.0003
217289_s_at	SLC37A4	Solute carrier family 37 (glucose-6-phosphate transporter), member 4	0.0003
206262_at	ADH1C (includes, for example, 126)	Alcohol dehydrogenase 1C (class I), ƒÁ polypeptide	0.0025
212282_at	TMEM97	Transmembrane protein 97	0.0002
218459_at	TOR3A	Torsin family 3, member A	0.0001
202427_s_at	BRP44	Brain protein 44	0.0003
207621_s_at	PEMT	Phosphatidylethanolamine N-methyltransferase	0.0001
201316_at	PSMA2	Proteasome (prosome, macropain) subunit, ƒ¿ type, 2	0.0005
204284_at	PPP1R3C	Protein phosphatase 1, regulatory (inhibitor) subunit 3C	0.0001
220445_s_at	CSAG2	CSAG family, member 2	0.0003
207097_s_at	SLC17A2	Solute carrier family 17 (sodium phosphate), member 2	0.0001
210797_s_at	OASL	2Œ-5Œ-Oligoadenylate synthetase-like	0.0004
203946_s_at	ARG2a	Arginase type II	<0.0001
219230_at	TMEM100	Transmembrane protein 100	0.0001
205968_at	KCNS3	Potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3	0.0006
208241_at	NRG1	Neuregulin 1	0.0007
211743_s_at	PRG2	Proteoglycan 2, bone marrow (natural killer cell activator, eosinophil granule major basic protein)	0.0001
204076_at	ENTPD4	Ectonucleoside triphosphate diphosphohydrolase 4	0.0002
203168_at	ATF6B	Activating transcription factor 6 beta	<0.0001
202106_at	GOLGA3	Golgin A3	0.0005
219944_at	CLIP4	CAP-GLY domain containing linker protein family, member 4	0.0003
37986_at	EPOR	Erythropoietin receptor	0.0004
218792_s_at	BSPRY	B-box and SPRY domain containing	0.0002
203945_at	ARG2a	Arginase type II	0.0001
221854_at	PKP1	Plakophilin 1 (ectodermal dysplasia/skin fragility syndrome)	0.0007
