Symbol	Synonym(s)	Entrez Gene Name	Affymetrix
BAG1	BAG1L, Bag1s, RAP46	BCL2-associated athanogene	202387_at
CCDC28A	1700009P13Rik, AI480677, C6ORF80, CCRL1AP, DKFZP586D0623, MGC116395, MGC131913, MGC19351, RGD1310326	coiled-coil domain containing 28A	209479_at
CEACAM1	bb-1, BGP, BGP1, BGPA, Bgpd, BGPI, BGPR, C-CAM, C-CAM1, CCAM105, CD66, CD66A, Cea-1, Cea-7, CEACAM1-4L, ECTO ATPASE, HV2, mCEA1, Mhv-1, MHVR, MHVR1, mmCGM1, mmCGM1a, mmCGM2, Pp120	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)	211883_x_at
CHRNB4	Acrb-4, NACHR BETA4	cholinergic receptor, nicotinic, beta 4	207516_at
EIF1	A121, EIF1A, ISO1, MGC101938, MGC6503, SUI1, SUI1-RS1	eukaryotic translation initiation factor 1	212130_x_at
EPOR	EP-R, ERYTHROPOIETIN RECEPTOR, MGC108723, MGC138358	erythropoietin receptor	215054_at
FBLN1	FBLN, FIBULIN 1	fibulin 1	207834_at
GBP1 (includes EG:2633)	5830475C06, GBP1, GBPI, IFI67-K, MAG-1, MGC124334, Mpa-1	guanylate binding protein 1, interferon-inducible, 67kDa	202270_at
GHR	AA986417, GHBP, GHR/BP, GROWTH HORMONE RECEPTOR, MGC124963, MGC156665	growth hormone receptor	205498_at
GPC3	DGSX, Glypican 3, GTR2-2, MGC93606, OCI-5, SDYS, SGB, SGBS, SGBS1	glypican 3	209220_at
GPS2	AI505953, AMF-1, MGC104294, MGC119287, MGC119288, MGC119289	G protein pathway suppressor 2	209350_s_at
IMPDH2	ENSMUSG00000071041, Imp dehydrogenase 2, IMPD, IMPD2, Impdh, IMPDH-II, inosine 59-phosphate dehydrogenase 2, MGC72938, OTTMUSG00000019498	IMP (inosine monophosphate) dehydrogenase 2	201892_s_at
ING4	D6Wsu147e, D6Xrf92, MGC12557, MGC156688, my036, p29ING4, p33ING1 ISOLOG	inhibitor of growth family, member 4	218234_at
ITGB4	AA407042, C230078O20, CD104, INTEGRIN-BETA 4	integrin, beta 4	204990_s_at
KLF5	4930520J07Rik, BTEB2, CKLF, IKLF, Kruppel-like factor 5, mBTEB2	Kruppel-like factor 5 (intestinal)	209211_at
MAP3K12	DLK, MUK, PK, ZPK, ZPKP1	mitogen-activated protein kinase kinase kinase 12	205447_s_at
MFAP3L	4933428A15RIK, 5430405D20Rik, AI461995, AW125052, KIAA0626, mKIAA0626, NYD-sp9	microfibrillar-associated protein 3-like	210493_s_at
NCOR1	5730405M06RIK, A230020K14RIK, hCIT529I10, hN-CoR, KIAA1047, MGC104216, MGC116328, mKIAA1047, N-COR, RIP13, Rxrip13, TRAC1	nuclear receptor co-repressor 1	200854_at
PA2G4	38kDa, AA672939, EBP1, HG4-1, Itaf45, MGC94070, p38-2G4, Plfap, PROLIFERATION ASSOCIATED 2G4, Proliveration-associated protein 1	proliferation-associated 2G4, 38kDa	214794_at
PCNA	MGC8367, Pcna/cyclin, PCNAR	proliferating cell nuclear antigen	217400_at
PLA2G16	ADPLA, C78643, H-REV107-1, HRASLS3, HREV107, HREV107-3, MGC118754	phospholipase A2, group XVI	209581_at
PLD1	AA536939, C85393, Pc-Plc, Phospholipase D1, PLD1A, PLD1B, Plda, Pldb	phospholipase D1, phosphatidylcholine-specific	215723_s_at
PTPN14	C130080N23RIK, MGC126803, OTTMUSG00000022087, PEZ, PTP36, PTPD2	protein tyrosine phosphatase, non-receptor type 14	205503_at
SCGB1D2	BU101, LIPB, LIPOPHILIN B, LPHB	secretoglobin, family 1D, member 2	206799_at
SEL1L	AW493766, IBD2, KIAA4137, mKIAA4137, PRO1063, SEL1, SEL1-LIKE, SEL1H	sel-1 suppressor of lin-12-like (C. elegans)	202063_s_at
SERPINA6	AI265318, AV104445, CBG, MGC112780	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 6	206325_at
SMC4	2500002A22Rik, C79747, CAP-C, DKFZP434F205, HCAP-C, MGC125078, SMC4L1	structural maintenance of chromosomes 4	215623_x_at
SPAM1 (includes EG:6677)	4933439A12Rik, HYA1, HYAL1, HYAL3, HYAL5, MGC108951, MGC26532, PH-20, SPAG15,SPAM1,TESTICULAR HYALURONIDASE	sperm adhesion molecule 1 (PH-20 hyaluronidase, zona pellucida binding)	210536_s_at
TCF3	A1, AA408400, ALF2, AW209082, bHLHb21, E12, E12/E47, E2-5, E2A, E47, ITF1,ME2,MGC129647, MGC129648,PAN1, Pan2, Tcfe2a, TRANSCRIPTION FACTOR 3, VDIR	transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)	213730_x_at
TGFA	RATTGFAA, TFGA, TGF ALPHA, TGFAA, wa-1	transforming growth factor, alpha	211258_s_at
TNFRSF11A	CD265, FEO, LOH18CR1, Ly109, MGC112793, mRANK, ODAR, ODFR, OFE, OPGL receptor, OPTB7, OSTS, PDB2, RANK, RGD1563614, TRANCE-R	tumor necrosis factor receptor superfamily, member 11a, NFKB activator	207037_at
TNFSF12	APO3L, DR3L, DR3LG, MGC129581, MGC20669, TWEAK	tumor necrosis factor (ligand) superfamily, member 12	205611_at
USP7	2210010O09Rik, AA409944, AA617399, AU019296, AW548146, C80752, HAUSP, TEF1	ubiquitin specific peptidase 7 (herpes virus-associated)	222032_s_at
