Curated Gene Symbol	GO at level 3 and biological process	Genes (pool: ratio>3 and int>25% or confirmed; separated samples: ratio>2 and in most samples; Colorflip verified)	UniGene	Ratio	Gene Symbol	Gene Description
CCL18	Extracellular signals	CCL18: Chemokine (C?C motif) ligand 18 (pulmonary and activation-regulated)	Hs.16530	6	CCL18	6
IGFBP1	Extracellular signals	IGFBP1: Insulin-like growth factor binding protein 1	Hs.102122	3.8	IGFBP1	7
NPR3	Receptors	NPR3: Natriuretic peptide receptor C/guanylate cyclase C (atrionatriuretic peptide receptor C)	Hs.123655	3.3	NPR3	5
FGFR3	Receptors	FGFR3: Fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)	Hs.1420	3.9	FGFR3	6
CDH2	Cell?cell communication	CDH2: Cadherin 2, type 1, N-cadherin (neuronal)	Hs.161	13	CDH2	5
GJA4	Cell?cell communication	GJA4: Gap junction protein, alpha 4, 37 kDa (connexin 37)	Hs.296310	3.3	GJA4	5
PDE7B	Intracellular signal proteins	PDE7B: Phosphodiesterase 7B	Hs.283016	3.3	PDE7B	6
DUSP9	Intracellular signal proteins	DUSP9: Dual-specificity phosphatase 9	Hs.144879	3.7	DUSP9	6
PRKCB	Intracellular signal proteins	PRKCB1: Protein kinase C, beta 1	Hs.77202	3.5	PRKCB1	7
GNAO1	Intracellular signal proteins	GNAO1: Guanine nucleotide-binding protein (G protein), alpha activity polypeptide O	Hs.296184	4.6	GNAO1	6
WNK2	Intracellular signal proteins	PRKWNK2: Protein kinase, lysine-deficient 2 (SDCCAG43: serologically defined colon cancer antigen 43)	Hs.232116	3.5	PRKWNK2	8
VWF	Cell communication	VWF: Von Willebrand factor	Hs.110802	3	VWF	4
FLRT1	Cell communication	FLRT1: Fibronectin leucine-rich transmembrane protein 1	Hs.12523	3.2	FLRT1	6
TIAM2	Cell communication	TIAM2: T-cell lymphoma invasion and metastasis 2	Hs.529559	7.4	TIAM2	6
DLG4	Cell communication	DLG4: Discs, large homolog 4 (Drosophila)	Hs.23731	3.3	DLG4	5
ANKH	Locomotory behavior	ANKH: Ankylosis, progressive homolog (mouse)	Hs.168640	3.4	ANKH	5
MT1H	Metabolism	MT1H: Metallothioneine 1 H	Hs.2667	3.6	MT1H	5
QPRT	Metabolism	QPRT: Quinolinate phosphoribosyltransferase (nicotinate-nucleotide pyrophosphorylase (carboxylating))	Hs.8935	4.2	QPRT	5
SLC27A4	Metabolism	SLC27A4: Solute carrier family 27 (fatty acid transporter), member 4	Hs.248953	4.7	SLC27A4	8
NMNAT2	Metabolism	NMNAT2: Nicotinamide nucleotide adenylyltransferase 2=C1orf15	Hs.158244	4	NMNAT2	7
CYP27B1	Metabolism	CYP27B1: Cytochrome P450, family 27, subfamily B, polypeptide 1	Hs.199270	3.5	CYP27B1	8
CILP	Metabolism	CILP: Cartilage intermediate layer protein, nucleotide pyrophosphohydrolase	Hs.151407	4.5	CILP	5
ST6GAL1	Metabolism	SIAT1: Sialyltransferase 1 (beta-galactoside alpha-2,6-sialyltransferase)	Hs.2554	8.6	SIAT1	6
CKMT2	Metabolism	CKMT2: Creatine kinase, mitochondrial 2 (sarcomeric)	Hs.80691	3.4	CKMT2	6
DIO1	Metabolism	DIO1: Deiodinase, iodothyronine, type I	Hs.251415	4.5	DIO1	5
