Curated Gene Symbol	Agilent Human Microarray Probe Name	Probe Chromosomal Coordinates (hg19)	Gene Symbol	Gene Accession	Gene Name	GO Annotation	Sex-bias	Male/Female normalized ratio	Male/Female Fold-change	p-value	Microarray Signal Intensity1 (female)	Miccroarray Signal Intensity2 (male)	Composite array score
SV2B	A_23_P100022	chr15:91838329-91838388	SV2B	NM_014848	Synaptic vesicle glycoprotein 2B	molecular function|protein binding|IEA|GO:0005515|GOA|na//molecular function|transporter activity|IEA|GO:0005215|GOA|na//biological process|neurotransmitter transport|IEA|GO:0006836|GOA|na//biological process|regulation of protein metabolic process|IEA|GO:0051246|GOA|na//biological process|transmembrane transport|IEA|GO:0055085|GOA|na//cellular component|acrosomal vesicle|IEA|GO:0001669|GOA|na//cellular component|cell junction|IEA|GO:0030054|GOA|na//cellular component|cytoplasmic vesicle|IEA|GO:0031410|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|synapse|IEA|GO:0045202|GOA|na//cellular component|synaptic vesicle membrane|IEA|GO:0030672|GOA|na	M	1.5519	1.5519	2.72E-06	76.6945	118.521	13
CASC5	A_23_P100127	chr15:40917525-40917584	CASC5	NM_170589	Cancer susceptibility candidate 5	molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x2f43894)//biological process|acrosome assembly|NAS|GO:0001675|GOA|15579588//biological process|attachment of spindle microtubules to kinetochore|IDA|GO:0008608|GOA|17981135//biological process|cell cycle|IEA|GO:0007049|GOA|na//biological process|cell division|IEA|GO:0051301|GOA|na//biological process|chromosome segregation|IEA|GO:0007059|GOA|na//biological process|mitosis|IEA|GO:0007067|GOA|na//biological process|spindle assembly checkpoint|IDA|GO:0071173|GOA|17981135//cellular component|acrosomal vesicle|IDA|GO:0001669|GOA|15579588//cellular component|condensed chromosome kinetochore|IEA|GO:0000777|GOA|na//cellular component|nucleus|IDA|GO:0005634|GOA|10980622	F	0.7977	-1.2536	3.66E-06	14.7236	11.7203	13
UNKL	A_23_P100141	chr16:1415286-1415345	UNKL	NM_023076	Unkempt homolog (Drosophila)-like	molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na	F	0.7994	-1.2509	0.0002	120.0142	95.0374	13
MGAT4C	A_23_P10062	chr12:86373213-86373272	MGAT4C	NM_013244	Mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme C (putative)	molecular function|alpha-1,3-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity|IEA|GO:0008454|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|transferase activity, transferring hexosyl groups|IEA|GO:0016758|GOA|na//biological process|carbohydrate metabolic process|IEA|GO:0005975|GOA|na//cellular component|Golgi apparatus|IEA|GO:0005794|GOA|na//cellular component|Golgi membrane|IEA|GO:0000139|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	F	0.6363	-1.5715	0.0006	15.1737	9.7019	13
ZFP3	A_23_P100959	chr17:4995628-4995687	ZFP3	NM_153018	Zinc finger protein 3 homolog (mouse)	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|molecular_function|ND|GO:0003674|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|biological_process|ND|GO:0008150|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|cellular_component|ND|GO:0005575|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	M	1.2462	1.2462	0.0004	15.9244	19.9089	13
NOTUM	A_23_P101007	chr17:79913363-79913420	NOTUM	NM_178493	Notum pectinacetylesterase homolog (Drosophila)	molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//cellular component|extracellular region|IEA|GO:0005576|GOA|na	M	1.1526	1.1526	5.12E-07	53.7003	61.5281	13
VSIG10L	A_23_P101246	chr19:51834959-51835018	VSIG10L	NM_001163922	V-set and immunoglobulin domain containing 10 like		M	1.1521	1.1521	0.0005	211.7041	244.3198	12
ZNF446	A_23_P101272	chr19:58992465-58992524	ZNF446	NM_017908	Zinc finger protein 446	molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	M	1.1504	1.1504	0.0001	324.2979	372.0395	12
FUT5	A_23_P101759	chr19:5866260-5866319	FUT5	NM_002034	Fucosyltransferase 5 (alpha (1,3) fucosyltransferase)	molecular function|3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase activity|IEA|GO:0017060|GOA|na//molecular function|alpha(1,3)-fucosyltransferase activity|TAS|GO:0046920|GOA|11698403//molecular function|fucosyltransferase activity|TAS|GO:0008417|GOA|1339443//molecular function|transferase activity, transferring glycosyl groups|IEA|GO:0016757|GOA|na//biological process|L-fucose catabolic process|NAS|GO:0042355|GOA|11698403//biological process|carbohydrate metabolic process|TAS|GO:0005975|GOA|1339443//biological process|protein amino acid glycosylation|TAS|GO:0006486|GOA|11698403//cellular component|Golgi apparatus|TAS|GO:0005794|GOA|11698403//cellular component|Golgi cisterna membrane|IEA|GO:0032580|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	M	1.1711	1.1711	4.47E-06	108.0938	126.4908	12
	A_23_P102331	chr2:167260695-167260754					F	0.8333	-1.2	3.63E-06	181.5957	150.6959	12
