Probe Set ID	Gene Symbol	Gene name
203002_at	AMOTL2	Angiomotin like 2
206632_s_at	APOBEC3B	Apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B
208750_s_at	ARF1	ADP-ribosylation factor 1
201096_s_at	ARF4	ADP-ribosylation factor 4
216266_s_at	ARFGEF1	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)
219918_s_at	ASPM	Asp (abnormal spindle)-like, microcephaly associated (Drosophila)
202095_s_at	BIRC5	Baculoviral IAP repeat-containing 5 (survivin)
209642_at	BUB1	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)
203755_at	BUB1B	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)
201457_x_at	BUB3	BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast)
218542_at	C10orf3	Chromosome 10 open reading frame 3
212914_at	CBX7	Chromobox homolog 7
214710_s_at	CCNB1	Cyclin B1
202705_at	CCNB2	Cyclin B2
205034_at	CCNE2	Cyclin E2
203213_at	CDC2	Cell division cycle 2, G1 to S and G2 to M
203214_x_at	CDC2	Cell division cycle 2, G1 to S and G2 to M
210559_s_at	CDC2	Cell division cycle 2, G1 to S and G2 to M
202870_s_at	CDC20	CDC20 cell division cycle 20 homolog (S.cerevisiae)
213348_at	CDKN1C	Cyclin-dependent kinase inhibitor 1C (p57, Kip2)
209714_s_at	CDKN3	Cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)
204962_s_at	CENPA	Centromere protein A, 17kda
207828_s_at	CENPF	Centromere protein F, 350/400ka (mitosin)
209763_at	CHRDL1	Chordin-like 1
218252_at	CKAP2	Cytoskeleton associated protein 2
204170_s_at	CKS2	CDC28 protein kinase regulatory subunit 2
205538_at	CORO2A	Coronin, actin binding protein, 2A
202613_at	CTPS	CTP synthase
218726_at	DKFZp762E1312	Hypothetical protein dkfzp762e1312
203764_at	DLG7	Discs, large homolog 7 (Drosophila)
221677_s_at	DONSON	Downstream neighbor of SON
218567_x_at	DPP3	Dipeptidylpeptidase 3
204455_at	DST	Dystonin
218585_s_at	DTL	Denticleless homolog (Drosophila)
219061_s_at	DXS9879E	DNA segment on chromosome X (unique) 9879 expressed sequence
206101_at	ECM2	Extracellular matrix protein 2, female organ and  adipocyte specific
219787_s_at	ECT2	Epithelial cell transforming sequence 2 oncogene
203358_s_at	EZH2	Enhancer of zeste homolog 2 (Drosophila)
204363_at	F3	Coagulation factor III (thromboplastin, tissue factor)
213007_at	FLJ10719	Hypothetical protein FLJ10719
202580_x_at	FOXM1	Forkhead box M1
209220_at	GPC3	Glypican 3
204793_at	GPRASP1	G protein-coupled receptor associated sorting  protein 1
205436_s_at	H2AFX	H2A histone family, member X
200853_at	H2AFZ	H2A histone family, member Z
213911_s_at	H2AFZ	H2A histone family, member Z
218663_at	HCAP-G	Chromosome condensation protein G
208490_x_at	HIST1H2BF	Histone 1, h2bf
203744_at	HMGB3	High-mobility group box 3
207165_at	HMMR	Hyaluronan-mediated motility receptor (RHAMM)
217755_at	HN1	Hematological and neurological expressed 1
202503_s_at	KIAA0101	Kiaa0101
204444_at	KIF11	Kinesin family member 11
218755_at	KIF20A	Kinesin family member 20A
204709_s_at	KIF23	Kinesin family member 23
218355_at	KIF4A	Kinesin family member 4A
204162_at	KNTC2	Kinetochore associated 2
211762_s_at	KPNA2	Karyopherin alpha 2 (RAG cohort 1, importin alpha 1) /// karyopherin alpha 2 (RAG cohort 1, importin alpha 1)
209894_at	LEPR	Leptin receptor
209737_at	MAGI2	Membrane associated guanylate kinase, WW and PDZ domain containing 2
210058_at	MAPK13	Mitogen-activated protein kinase 13
202107_s_at	MCM2	MCM2 minichromosome maintenance deficient 2, mitotin (S. Cerevisiae)
212141_at	MCM4	MCM4 minichromosome maintenance deficient 4  (S. Cerevisiae)
222036_s_at	MCM4	MCM4 minichromosome maintenance deficient 4  (S. Cerevisiae)
204825_at	MELK	Maternal embryonic leucine zipper kinase
218883_s_at	MLF1IP	MLF1 interacting protein
201298_s_at	MOBK1B	MOB1, Mps One Binder kinase activator-like 1B (yeast)
217919_s_at	MRPL42	Mitochondrial ribosomal protein L42
217546_at	MT1M	Metallothionein 1M
209520_s_at	NCBP1	Nuclear cap binding protein subunit 1, 80kda
204641_at	NEK2	NIMA (never in mitosis gene a)-related kinase 2
201577_at	NME1	Non-metastatic cells 1, protein (NM23A) expressed in
212316_at	NUP210	Nucleoporin 210kda
218039_at	NUSAP1	Nucleolar and spindle associated protein 1
