Probeset_ID	Distance	Symbol	Description
207849_at	0	IL2	interleukin 2
207906_at	8.445036278	IL3	interleukin 3 (colony-stimulating factor, multiple)
209959_at	9.337948526	NR4A3	nuclear receptor subfamily 4, group A, member 3
210164_at	9.992041148	GZMB	granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)
207978_s_at	10.13191619	NR4A3	nuclear receptor subfamily 4, group A, member 3
235042_at	10.24172486	XIRP1	xin actin-binding repeat containing 1
214228_x_at	10.6356117	TNFRSF4	tumor necrosis factor receptor superfamily, member 4
206914_at	11.37140034	CRTAM	cytotoxic and regulatory T cell molecule
237753_at	11.97095581	NA	NA
211269_s_at	11.97778694	IL2RA	interleukin 2 receptor, alpha
203045_at	12.18445445	NINJ1	ninjurin 1
221658_s_at	12.3856756	IL21R	interleukin 21 receptor
206341_at	12.53605987	IL2RA	interleukin 2 receptor, alpha
209457_at	12.88970681	DUSP5	dual specificity phosphatase 5
210354_at	13.03693939	IFNG	interferon, gamma
207907_at	13.09070592	TNFSF14	tumor necrosis factor (ligand) superfamily, member 14
205681_at	13.13275521	BCL2A1	BCL2-related protein A1
1555765_a_at	13.273528	GNG4	guanine nucleotide binding protein (G protein), gamma 4
205184_at	13.32184099	GNG4	guanine nucleotide binding protein (G protein), gamma 4
242873_at	13.49199561	NA	NA
206365_at	14.02434361	XCL1	chemokine (C motif) ligand 1
205249_at	14.05162217	EGR2	early growth response 2 (Krox-20 homolog, Drosophila)
202340_x_at	14.36309394	NR4A1	nuclear receptor subfamily 4, group A, member 1
207201_s_at	14.49997065	SLC22A1	solute carrier family 22 (organic cation transporter), member 1
206632_s_at	14.52326846	APOBEC3B	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B
202748_at	14.78185984	GBP2	guanylate binding protein 2, interferon-inducible
242907_at	14.78347375	NA	NA
204714_s_at	14.82051974	F5	coagulation factor V (proaccelerin, labile factor)
204057_at	14.93683113	IRF8	interferon regulatory factor 8
210538_s_at	14.9541998	BIRC3	baculoviral IAP repeat-containing 3
205599_at	15.00017775	TRAF1	TNF receptor-associated factor 1
215037_s_at	15.02556643	BCL2L1	BCL2-like 1
217996_at	15.03245606	PHLDA1	pleckstrin homology-like domain, family A, member 1
224917_at	15.13811155	TMEM49	transmembrane protein 49
204637_at	15.13852529	CGA	glycoprotein hormones, alpha polypeptide
201565_s_at	15.14462325	ID2	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
1569003_at	15.17156474	TMEM49	transmembrane protein 49
1558143_a_at	15.21306378	BCL2L11	BCL2-like 11 (apoptosis facilitator)
201502_s_at	15.22356214	NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha
