# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_001159|NM_001159	hgnc_symbol|AOX1|AOX1
refseq_dna|NM_005141|NM_005141	hgnc_symbol|FGB|FGB
refseq_dna|NM_001935|NM_001935	hgnc_symbol|DPP4|DPP4
refseq_dna|NM_004170|NM_004170	hgnc_symbol|SLC1A1|SLC1A1
embl|ENST00000381298|ENST00000381298	hgnc_symbol|ENST00000381298|ENST00000381298
refseq_dna|NM_001884|NM_001884	hgnc_symbol|HAPLN1|HAPLN1
refseq_dna|NM_002849|NM_002849	hgnc_symbol|PTPRR|PTPRR
refseq_dna|NM_144669|NM_144669	hgnc_symbol|GLT1D1|GLT1D1
refseq_dna|NM_002888|NM_002888	hgnc_symbol|RARRES1|RARRES1
refseq_dna|NM_004132|NM_004132	hgnc_symbol|HABP2|HABP2
refseq_dna|NM_014214|NM_014214	hgnc_symbol|IMPA2|IMPA2
refseq_dna|NM_002404|NM_002404	hgnc_symbol|MFAP4|MFAP4
refseq_dna|NM_013322|NM_013322	hgnc_symbol|SNX10|SNX10
refseq_dna|NM_000569|NM_000569	hgnc_symbol|FCGR3A|FCGR3A
refseq_dna|NM_003260|NM_003260	hgnc_symbol|TLE2|TLE2
refseq_dna|NM_000948|NM_000948	hgnc_symbol|PRL|PRL
refseq_dna|NM_002298|NM_002298	hgnc_symbol|LCP1|LCP1
refseq_dna|NM_198951|NM_198951	hgnc_symbol|TGM2|TGM2
refseq_dna|NM_005168|NM_005168	hgnc_symbol|RND3|RND3
embl|ENST00000339446|ENST00000339446	hgnc_symbol|LOC387763|LOC387763
refseq_dna|NM_002290|NM_002290	hgnc_symbol|LAMA4|LAMA4
embl|ENST00000383706|ENST00000383706	hgnc_symbol|ENST00000383706|ENST00000383706
refseq_dna|NM_024101|NM_024101	hgnc_symbol|MLPH|MLPH
refseq_dna|NM_001141|NM_001141	hgnc_symbol|ALOX15B|ALOX15B
refseq_dna|NM_004139|NM_004139	hgnc_symbol|LBP|LBP
refseq_dna|NM_002345|NM_002345	hgnc_symbol|LUM|LUM
refseq_dna|NM_004753|NM_004753	hgnc_symbol|DHRS3|DHRS3
refseq_dna|NM_005257|NM_005257	hgnc_symbol|GATA6|GATA6
refseq_dna|NM_018413|NM_018413	hgnc_symbol|CHST11|CHST11
refseq_dna|NM_000621|NM_000621	hgnc_symbol|HTR2A|HTR2A
