Fold Change	Direction in Sod2+/+	Adjusted pvalue	Gene ID	Gene Name	Gene Identifier	UG Cluster
20.11	Up	0.0008	Ift140	Intraflagellar transport 140 homolog	NM_134126	Mm.32802
4.46	Up	0.0493	Slc15a2	Solute carrier family 15 (H+/peptide transporter) member 2	NM_021301	Mm.281804
3.96	Up	0.0397		Transcribed locus	AW493533	Mm.441111
3.54	Up	0.0129	Unkl	Unkemptlike	AK004898	Mm.267353
3.23	Up	0.0297	Aldh1a7	Aldehyde dehydrogenase family 1, subfamily A7	NM_011921	Mm.14609
3.04	Up	0.0379		murine leukemia retrovirus	BG297038
2.71	Up	0.042		2,3cyclic nucleotide 3 phosphodiesterase	BB251922
2.7	Up	0.0347	Cd79a	CD79A antigen	NM_007655	Mm.1355
2.55	Up	0.044	Cdk4	Cyclindependent kinase 4	NM_009870	Mm.6839
2.54	Up	0.0391	Spib	Ets transcription factor SpiB	BM244106	Mm.8012
2.4	Up	0.0411	Selenbp2	Selenium binding protein 2	NM_019414	Mm.225405
2.37	Up	0.0241	Scd1	Strain BALB/c stearoylcoenzyme A desaturase 1	NM_009127	Mm.267377
2.33	Up	0.0493	Cd79b	CD79B antigen	NM_008339	Mm.2987
2.26	Up	0.017	Tgtp	Tcell specific GTPase	NM_011579	Mm.15793
2.25	Up	0.0428		Transcribed locus	BB534670	Mm.406799
2.13	Up	0.017	Cnp	2,3cyclic nucleotide 3 phosphodiesterase	M58045	Mm.15711
2.13	Up	0.017	Hmgn1	High mobility group nucleosomal binding domain 1	NM_008251	Mm.2756
2.1	Up	0.0347	Msh6	MutS homolog 6	U42190	Mm.18210
2.08	Up	0.0396	Car1	Carbonic anhydrase 1	BC011223	Mm.273195
2.07	Up	0.0315	Ifit1	Interferoninduced protein with tetratricopeptide repeats 1	NM_008331	Mm.439751
2.07	Up	0.0428	2900010J23Rik	RIKEN cDNA 2900010J23	BI144310	Mm.27344
2.06	Up	0.0493	Tmem179b	Transmembrane protein 179B	NM_026325	Mm.45155
2.06	Up	0.017	Lgals9	Lectin, galactose binding, soluble 9	NM_010708	Mm.341434
2.05	Up	0.0347	C1qbp	Complement component 1, q subcomponent binding protein	NM_007573	Mm.30049
2.05	Up	0.0347	Fam132a	Family with sequence similarity 132, member A	NM_026125	Mm.29140
2.02	Up	0.0312	Hspb6	Heat shock protein, alphacrystallinrelated, B6 (Hspb6)	BB755506	Mm.34885
2	Up	0.0241	Hn1l	Hematological and neurological expressed 1like	AV116987	Mm.371601
