f	Descriptor	HEV-EST accession #	Match accession #	Chromosome localization
147	Alpha-2-macroglobulin	BM955098-237	M11313	12p13.31
100	Hevin	BM955238-247	X82157	4q22.1
50	S100 calcium-binding protein A8 (calgranulin A, MRP-8)	BM955338-387	X06234	1q22
43	Autotaxin t	BM955388-425	L46720	8q24.12
33	DVS27-related protein “up-regulated in cerebral vasospasm”	BM955426-456	AB024518	9p24.1
17	Small proline-rich protein 3 (cornifin 3)	BM955457-473	AJ243667	1q22
19	Repetitive DNA	BM955474-492	AF060511	ambiguous
13	Mitochondrial 16S rRNA	BM955493-505	J01415	mitochondrion
11	Cystatin A (Stefin 1)	BM955506-515	X05978	3q21.1
11	Mitochondrial cytochrome oxidase, subunit II	BM955516-523	J01415	mitochondrion
10	E-Selectin	BM955524-533	M30640	1q24.2
10	Prolylcarboxypeptidase (angiotensinase C)	BM955534-542	L13977	11q14.1
9	cDNA FLJ11341 (1634 bp) encoding a hypothetical protein MGC20702 (428 aa) with a C-terminal SH3 domain	BM955543-549	AK002203	2q24.3
9	ESTs transcribed from intron #4 of E-selectin gene—no long open-reading frame (ORF)	BM955550-556	AL021940	1q24.2
8	Chemokine Exodus 1 (MIP-3a, LARC)	BM955557-562	U77035	2q36.3
8	Phosphatidylserine-specific phospholipase A1a (PS-PLA1)	BM955563-569	AF035268	3q13.33
7	Complement protein component C7	BM955570-576	J03507	5p12
6	Intracellular chloride channel 2 (CLIC2)	BM955577-582	Y12696	Xq28
6	Serine protease inhibitor, Kazal-type, 5 (SPINK5)	BM955583-587	AJ228139	5q32
6	Vascular endothelial junction-associated molecule (VE-JAM, JAM-2)	BM955588-592	AF255910	21q21.3
6	EST-contig transcribed from chr 5p12 encoding a hyp. 130 aa protein with no homology to known proteins	BM955593-598	BF678902	5p12
6	Transposon Tn10; IS10 transposase	BM955599-604	J01829	various
5	Beta-2-microglobulin	BM955605-608	M17987	15q15.3
5	Platelet endothelial cell adhesion molecule-1 (PECAM-1)	BM955609-613	M28526	17q24.2
5	Proline-rich C4b-binding protein	BM955614-617	M31452	1q32.2
5	Protein tyrosine phosphatase CL100	BM955618-622	X68277	5q35.1
5	Mitochondrial 12S rRNA	BM955623-626	J01415	mitochondrion
5	Mitochondrial ATP synthase/ATPase subunit 6	BM955627-631	J01415	mitochondrion
4	B cell activation protein BL34 (regulator of G-protein signaling)	BM955632-634	S59049	1q31.2
4	Complement factor H	BM955638-641	Y00716	1q31.3
4	FOAP-11 protein similar to a NADH-ubiquinone oxidoreductase MLRQ	BM955642-645	AB026707	15q21.1
4	Maspin [serine (or cysteine) proteinase inhibitor SERPIN B5]	BM955646-649	U04313	18q21.33
4	MHC class II HLA-DR alpha	BM955650-653	K01171	6p21.3
4	Small nuclear U2 RNA	BM955658-660	M19204	17q21.31
4	T cell acute lymphoblastic leukemia-associated antigen 1 (TALLA-1)	BM955654-657	D29808	Xp11.4
