# Generate Mapping Tables Script: Version 4 11:05 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:05 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_016369|NM_016369	hgnc_symbol|CLDN18|CLDN18
refseq_dna|NM_198391|NM_198391	hgnc_symbol|FLRT3|FLRT3
refseq_dna|NM_001553|NM_001553	hgnc_symbol|IGFBP7|IGFBP7
refseq_dna|NM_001627|NM_001627	hgnc_symbol|ALCAM|ALCAM
refseq_dna|NM_201630|NM_201630	hgnc_symbol|LRRN2|LRRN2
refseq_dna|NM_002840|NM_002840	hgnc_symbol|PTPRF|PTPRF
refseq_dna|NM_006307|NM_006307	hgnc_symbol|SRPX|SRPX
entrezgene|BC017572|25945	hgnc_symbol|PVRL3|PVRL3
refseq_dna|NM_015480|NM_015480	hgnc_symbol|PVRL3|PVRL3
refseq_dna|NM_020770|NM_020770	hgnc_symbol|CGN|CGN
entrezgene|BC017572|25945	hgnc_symbol|PVRL3|PVRL3
refseq_dna|NM_000130|NM_000130	hgnc_symbol|F5|F5
refseq_dna|NM_001014796|NM_001014796	hgnc_symbol|DDR2|DDR2
refseq_dna|NM_018534|NM_018534	hgnc_symbol|NRP2|NRP2
refseq_dna|NM_000211|NM_000211	hgnc_symbol|ITGB2|ITGB2
refseq_dna|NM_201266|NM_201266	hgnc_symbol|NRP2|NRP2
refseq_dna|NM_015136|NM_015136	hgnc_symbol|STAB1|STAB1
refseq_dna|NM_020859|NM_020859	hgnc_symbol|SHROOM3|SHROOM3
refseq_dna|NM_004822|NM_004822	hgnc_symbol|NTN1|NTN1
refseq_dna|NM_182507|NM_182507	hgnc_symbol|KRT80|KRT80
refseq_dna|NM_003018|NM_003018	hgnc_symbol|SFTPC|SFTPC
refseq_dna|NM_003019|NM_003019	hgnc_symbol|SFTPD|SFTPD
refseq_dna|NM_004484|NM_004484	hgnc_symbol|GPC3|GPC3
refseq_dna|NM_001276|NM_001276	hgnc_symbol|CHI3L1|CHI3L1
refseq_dna|NM_000091|NM_000091	hgnc_symbol|COL4A3|COL4A3
refseq_dna|NM_000358|NM_000358	hgnc_symbol|TGFBI|TGFBI
entrezgene|Z74615|1277	hgnc_symbol|COL1A1|COL1A1
refseq_dna|NM_021073|NM_021073	hgnc_symbol|BMP5|BMP5
refseq_dna|NM_001874|NM_001874	hgnc_symbol|CPM|CPM
refseq_dna|NM_030583|NM_030583	hgnc_symbol|MATN2|MATN2
refseq_dna|NM_004385|NM_004385	hgnc_symbol|VCAN|VCAN
refseq_dna|NM_000612|NM_000612	hgnc_symbol|IGF2|IGF2
refseq_dna|NM_153026|NM_153026	hgnc_symbol|PRICKLE1|PRICKLE1
refseq_dna|NM_001062|NM_001062	hgnc_symbol|TCN1|TCN1
refseq_dna|NM_004345|NM_004345	hgnc_symbol|CAMP|CAMP
refseq_dna|NM_145753|NM_145753	hgnc_symbol|PHLDB2|PHLDB2
refseq_dna|NM_021229|NM_021229	hgnc_symbol|NTN4|NTN4
