MicroRNA	Parametric Pvalue	Fold change	Chromosomal location	Expression
hsa-miR-181C	<1e-07	2.27E+01	19p13.13	Up-regulated
hsa-miR-181A	<1e-07	2.00E+01	19q33.3	Up-regulated
hsa-miR-181B	2.00E-07	1.43E+01	1q32.1	Up-regulated
hsa-miR-181D	<1e-07	1.39E+01	19p13.13	Up-regulated
hsa-miR-221	4.00E-07	1.21E+01	Xp11.3	Up-regulated
hsa-miR-376B	0.024925	4.99E+00	14q32.31	Up-regulated
hsa-miR-125B	9.00E-07	4.27E+00	11q24.1	Up-regulated
hsa-miR-155	0.000131	3.62E+00	21q21.3	Up-regulated
hsa-miR-130A	0.000675	2.80E+00	11q12.1	Up-regulated
hsa-miR-486-5P	0.005686	1.40E-01	8p11.21	Down-regulated
