Gene Symbol	Reference Sequence	Probe Name	Log2 Fold Change	P value
Zbtb12	NM_198886	A_51_P200610	-1.19	3.13 x 10-7
Nfkbil1	NM_010909	A_51_P169567	-0.84	4.45 x 10-7
Tspan33	NM_146173	A_52_P398158	-0.91	1.40 x 10-6
Reg2	NM_009043	A_51_P333549	-2.4	1.80 x 10-6
Zfyve9	XM_131643	A_52_P120233	-1.09	2.35 x 10-6
2310047B19Rik	XM_150151	A_51_P210300	-0.7	2.93 x 10-6
Clptm1	NM_019649	A_51_P332799	-0.75	4.62 x 10-6
Ick	AK173068	A_52_P562054	-0.73	5.54 x 10-6
Aldh2	NM_009656	A_52_P116134	-1.4	7.34 x 10-6
D1Bwg0212e	NM_028043	A_52_P585362	-1.05	8.15 x 10-6
Yap1	NM_009534	A_51_P152946	-1.25	8.71 x 10-6
Lsm14b	NM_177727	A_51_P269953	-1.51	1.10 x 10-5
Tmem9	NM_025439	A_52_P305748	-0.57	1.18 x 10-5
Trpc2	BC067003	A_52_P94454	-1.04	1.29 x 10-5
Ak2	NM_016895	A_51_P258179	-0.79	1.42 x 10-5
TC1421055	TC1421055	A_52_P302147	0.37	1.58 x 10-5
Klf16	NM_078477	A_51_P215097	-0.62	1.75 x 10-5
Tdrd3	AK078326	A_52_P124440	-0.43	1.79 x 10-5
Tspan33	NM_146173	A_51_P367240	-0.78	1.86 x 10-5
Pdrg1	NM_178939	A_51_P173961	-0.53	1.94 x 10-5
Cel	NM_009885	A_51_P242205	-1.74	2.16 x 10-5
Egln1	NM_053207	A_52_P172619	-0.47	2.22 x 10-5
D10Jhu81e	NM_138601	A_51_P118320	-1.09	2.31 x 10-5
Akt1s1	NM_026270	A_51_P478326	-1.69	2.63 x 10-5
Zc3h7b	XM_001001617	A_52_P283501	-0.63	2.70 x 10-5
Fuz	BC045601	A_52_P198019	-1.22	3.06 x 10-5
Limk1	NM_010717	A_51_P484030	-0.56	3.15 x 10-5
Npal2	NM_145469	A_51_P339055	0.7	3.43 x 10-5
Mapbpip	NM_031248	A_51_P125385	-0.52	3.44 x 10-5
Igsf4c	NM_153112	A_51_P477716	-0.82	3.54 x 10-5
Tnxb	NM_031176	A_51_P505530	-0.75	3.63 x 10-5
Hoxb9	AK078860	A_52_P973575	-1.75	3.93 x 10-5
Ctrb1	NM_025583	A_51_P205761	-1.08	4.00 x 10-5
Krtap6-1	D86419	A_51_P182876	0.36	4.26 x 10-5
Hnrpa0	AK019388	A_52_P625431	-1.76	4.36 x 10-5
Brd2	NM_010238	A_51_P295652	-0.61	5.02 x 10-5
Zfp462	NM_172867	A_51_P387138	-0.87	5.28 x 10-5
BC024868	BC070402	A_51_P127456	-1.95	5.31 x 10-5
Hnrpa0	AK019388	A_51_P517423	-0.65	6.12 x 10-5
Crim1	AK053197	A_51_P496640	-0.68	6.35 x 10-5
Dynll2	NM_026556	A_52_P429909	-1.46	6.35 x 10-5
Ela2a	NM_007919	A_51_P504538	-1.4	6.37 x 10-5
Ercc2	NM_007949	A_52_P75281	-0.98	6.68 x 10-5
Cx3cl1	AB030188	A_51_P205129	-0.64	7.06 x 10-5
Pdap1	NM_001033313	A_51_P202430	-0.54	7.24 x 10-5
Rab13	NM_026677	A_51_P387473	-1	7.25 x 10-5
BC024868	NM_199149	A_51_P127464	-1.47	7.35 x 10-5
Tbn	NM_022015	A_51_P203710	-0.49	7.36 x 10-5
Cdc7	NM_009863	A_51_P206616	0.48	7.49 x 10-5
Vdac1	NM_011694	A_52_P909310	-0.85	7.70 x 10-5
Prpf19	NM_134129	A_51_P113784	-1.84	7.79 x 10-5
Mmp15	NM_008609	A_51_P220062	-0.63	8.82 x 10-5
Gpr124	NM_054044	A_51_P282523	-0.83	9.29 x 10-5
8430406M14Rik	AK033366	A_51_P175354	-0.88	9.58 x 10-5
Ube2h	NM_009459	A_51_P224054	0.46	9.67 x 10-5
Fus	NM_139149	A_52_P320032	-2.49	9.84 x 10-5
Bat2	NM_020027	A_51_P485479	-1.59	9.85 x 10-5
1700054N08Rik	BC036300	A_51_P357094	0.61	0.0001
1810049H19Rik	NM_001003405	A_51_P276486	-2.86	0.0001
Jph2	NM_021566	A_51_P218653	-1.26	0.0001
Rad18	AK028505	A_52_P413805	0.59	0.0001
D10Jhu81e	NM_138601	A_52_P498167	-1.24	0.0001
Zfp236	XM_484752	A_52_P9295	-0.72	0.0001
Ptprr	NM_011217	A_52_P628445	0.61	0.0001
Dynll2	NM_026556	A_51_P437144	-1.13	0.0001
Uhrf1	NM_010931	A_52_P314705	0.6	0.0001
BC029127	BC029127	A_51_P486251	-0.6	0.0001
Rasgrp2	AK034683	A_52_P453814	-0.52	0.0001
D430042O09Rik	BC030902	A_52_P108023	-0.71	0.0001
Tcf25	NM_025804	A_52_P196077	-0.37	0.0001
C130006E23	AK081329	A_52_P75975	-1.25	0.0001
Aftph	AK035265	A_51_P197038	-0.58	0.0001
Sesn2	AK170547	A_52_P154710	-0.83	0.0001
Tbc1d10a	NM_134023	A_51_P222386	-0.52	0.0001
Cbx4	NM_007625	A_51_P133582	-0.39	0.0001
Npm3	NM_008723	A_51_P499201	-1.28	0.0001
C030034I22Rik	AK147961	A_52_P778544	-0.73	0.0001
Fbxl19	NM_172748	A_52_P364386	-0.68	0.0001
Atp1a2	NM_178405	A_52_P227267	-1.36	0.0001
Igsf4b	NM_053199	A_52_P553013	-0.84	0.0001
Gda	NM_010266	A_52_P116006	0.79	0.0001
Taok1	BC019960	A_51_P350806	0.45	0.0001
Dus4l	NM_028002	A_51_P487162	-0.79	0.0001
AK078446	AK078446	A_52_P432715	-0.32	0.0001
Tcfap4	NM_031182	A_51_P391367	-0.44	0.0002
LOC668978	XR_002277	A_52_P458524	-0.61	0.0002
Lphn1	AK147455	A_52_P364350	-1.09	0.0002
Smg6	AK032934	A_52_P445723	-0.5	0.0002
Fbxl19	NM_172748	A_51_P128371	-1.08	0.0002
Tmcc1	AK173022	A_51_P237834	-0.5	0.0002
2310047M10Rik	AK009886	A_51_P518926	-1.21	0.0002
Prss2	NM_009430	A_51_P418901	-2.38	0.0002
LOC329575	NM_001024849	A_52_P520429	-0.56	0.0002
Cbx6	NM_028763	A_51_P221428	-0.54	0.0002
Lypla3	NM_133792	A_52_P516091	-0.51	0.0002
Ccdc71	NM_133744	A_51_P371882	-0.72	0.0002
Akap2	NM_001035533	A_52_P35895	-1.56	0.0002
Gas6	NM_019521	A_51_P172054	-0.65	0.0002
Btbd9	AK029907	A_52_P488612	-0.56	0.0002
Pck1	NM_011044	A_51_P250217	-0.75	0.0002
Jph2	AK157145	A_52_P142143	-0.82	0.0002
Perq1	NM_031408	A_51_P375926	-0.42	0.0002
Enpp5	NM_032003	A_51_P362104	-0.67	0.0002
