Gene description	Accession number	Number of tags	Function
alpha2-Macroglobulin	M11313	1.48E+02	Proteases/protease inhibitors
Cystatin A	X05978	1.10E+01	Proteases/protease inhibitors
Prolylcarboxypeptidase	L13977	1.00E+01	Proteases/protease inhibitors
Kazal-type serine protease inhibitor SPINK5	AJ228139	6.00E+00	Proteases/protease inhibitors
Maspin	U04313	4.00E+00	Proteases/protease inhibitors
Esophagus cancer-related gene-2 (putative Kazal-type serine protease inhibitor)	AF268198	3.00E+00	Proteases/protease inhibitors
Cathepsin O	U13665	3.00E+00	Proteases/protease inhibitors
Unknown protein fragment with C-terminal protease inhibitor domain	AA151535	3.00E+00	Proteases/protease inhibitors
Unknown protein fragment with WDMN-like protease inhibitor domain	AA151535	2.00E+00	Proteases/protease inhibitors
ADAM-like disintegrin protease decysin 1	Y13323	2.00E+00	Proteases/protease inhibitors
ADAMTS-9 reprolysin domain (immature transcript or pseudogene)	AB037733	2.00E+00	Proteases/protease inhibitors
Hevin	X82157	1.01E+02	Adhesion
E-Selectin	M30640	1.00E+01	Adhesion
Platelet endothelial cell adhesion molecule-1 (PECAM-1)	M28526	5.00E+00	Adhesion
VE-JAM (JAM-2)	AF255910	6.00E+00	Adhesion
VCAM-1	M30257	4.00E+00	Adhesion
Insulin-like growth factor-binding protein 7 (MAC-25)	S75725	2.00E+00	Adhesion
Claudin-10 (OSP-like protein localized to tight junctions)	U89916	1.00E+00	Adhesion
S100 calcium-binding protein A8 (calgranulin A, MRP-8)	X06234	5.00E+01	Cytokines/chemokines/motility factors
Autotaxin-t	L46720	4.30E+01	Cytokines/chemokines/motility factors
Exodus-1, MIP-3?, LARC	U77035	8.00E+00	Cytokines/chemokines/motility factors
CXC chemokine IP-10	X02530	3.00E+00	Cytokines/chemokines/motility factors
Pre-B cell colony-enhancing factor	U02020	2.00E+00	Cytokines/chemokines/motility factors
Interleukin 6	M57230	1.00E+00	Cytokines/chemokines/motility factors
Interleukin 7	J04156	1.00E+00	Cytokines/chemokines/motility factors
Interleukin 8	M28130	2.00E+00	Cytokines/chemokines/motility factors
Complement protein component C7	J03507	7.00E+00	Defense
?2-Microglobulin	M17987	5.00E+00	Defense
Complement control protein factor I (C3b/C4b inactivator)	Y00318	2.00E+00	Defense
Proline-rich C4b-binding protein	M31452	5.00E+00	Defense
Complement factor H	Y00716	4.00E+00	Defense
MHC class II HLA-DR?	K01171	3.00E+00	Defense
Phosphatidylserine-specific phospholipase A1? (PS-PLA1)	AF035268	8.00E+00	Homeostasis/metabolism/intracellular transport
Intracellular chloride channel CLIC4	Y12696	6.00E+00	Homeostasis/metabolism/intracellular transport
Intracellular chloride channel CLIC2	AL117424	3.00E+00	Homeostasis/metabolism/intracellular transport
ADP-ribosylation factor-like protein 4	U73960	2.00E+00	Homeostasis/metabolism/intracellular transport
90-kDa Heat-shock protein (hsp90)	X15183	3.00E+00	Homeostasis/metabolism/intracellular transport
Decorin	L01131	3.00E+00	Extracellular matrix
Cornifin 3, small proline-rich protein 3	AJ243667	1.70E+01	Cytoskeletal-related proteins/structure
Sciellin, a LIM domain protein of the keratinocyte-cornified envelope	AF045941	2.00E+00	Cytoskeletal-related proteins/structure
Cytokeratin 4	X07695	2.00E+00	Cytoskeletal-related proteins/structure
TALLA-1	D29808	4.00E+00	Signaling
Protein tyrosine phosphatase CL100	X68277	5.00E+00	Signaling
B cell activation protein BL34 (regulator of G-protein signaling)	S59049	4.00E+00	Signaling
NCK adaptor protein 1 (NCK1)	X17576	2	Signaling
Protein tyrosine phosphatase PTPCAAX1	U48296	2	Signaling
Early activation antigen CD69 (C-type lectin)	L07555	2	Signaling
U2 small nuclear RNA	U57614	4	Transcription/translation/RNA processing
ETS-family transcription factor EHF	AF203977	3	Transcription/translation/RNA processing
Aryl hydrocarbon receptor	L19872	2	Transcription/translation/RNA processing
Translational initiation factor 2, ?-subunit (eIF-2?)	J02645	1	Transcription/translation/RNA processing
Translational initiation factor 2, ?-subunit (eIF-2?)	M29536	1	Transcription/translation/RNA processing
RNA polymerase II (140 kDa subunit)	X63563	2	Transcription/translation/RNA processing
DEAD/H box putative helicase 1 (DDX1)	X70649	2	Transcription/translation/RNA processing
Proto-oncogene c-fos	V01512	2	Transcription/translation/RNA processing
Mitochondrial 16S rRNA	J01415	13	Mitochondrial
Mitochondrial cytochrome oxidase, subunit II	J01415	11	Mitochondrial
Mitochondrial 12S rRNA	J01415	5	Mitochondrial
Mitochondrial ATP synthase/ATPase subunit 6	J01415	5	Mitochondrial
Mitochondrial cytochrome oxidase subunit I	J01415	4	Mitochondrial
		20	Repetitive DNA
