Probe Set ID	Unigene(Avadis)	Gene Title	Gene Symbol	Fold change	p-value
204614_at	Hs.514913	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 2	SERPINB2	86.93191	0.026731161
240287_at	Hs.160789	similar to immune-responsive gene 1	LOC341720	74.96078	0.014157836
206157_at	Hs.546280	pentaxin-related gene, rapidly induced by IL-1 beta	PTX3	66.8817	0.007735734
205207_at	Hs.512234	interleukin 6 (interferon, beta 2)	IL6	60.583405	0.001204672
205476_at	Hs.75498	chemokine (C-C motif) ligand 20	CCL20	55.5276	0.0234739
1552496_a_at	Hs.99141	cordon-bleu homolog (mouse)	COBL	52.4636	0.000995725
209774_x_at	Hs.75765	chemokine (C-X-C motif) ligand 2	CXCL2	49.97688	0.000557721
207850_at	Hs.89690	chemokine (C-X-C motif) ligand 3	CXCL3	46.059456	0.002199154
204748_at	Hs.196384	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	PTGS2	43.482006	0.013888936
201668_x_at	Hs.519909	myristoylated alanine-rich protein kinase C substrate	MARCKS	36.012455	0.03412061
235737_at	Hs.389874	thymic stromal lymphopoietin	TSLP	32.82463	0.007406191
227099_s_at	Hs.530443	hypothetical LOC387763	LOC387763	31.198643	0.041249637
244725_at	Hs.371976	DMRT-like family A1	DMRTA1	28.84681	0.002192776
220054_at	Hs.98309	interleukin 23, alpha subunit p19	IL23A	27.61909	0.008442856
207113_s_at	Hs.241570	tumor necrosis factor (TNF superfamily, member 2)	TNF	24.32814	0.02533005
210118_s_at	Hs.1722	interleukin 1, alpha	IL1A	22.846401	0.023903023
229316_at	Hs.369785	hypothetical protein MGC2749	MGC2749	22.274464	0.005361549
205067_at	Hs.126256	interleukin 1, beta	IL1B	21.21142	0.009935404
205818_at	Hs.532316	deleted in bladder cancer 1	DBC1	20.365486	0.003386655
242271_at	Hs.164073	solute carrier family 26, member 9	SLC26A9	18.690018	0.010214965
204470_at	Hs.789	chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)	CXCL1	18.612436	6.27105E-05
209437_s_at	Hs.445818	spondin 1, extracellular matrix protein	SPON1	17.770983	0.005460979
209211_at	Hs.508234	Kruppel-like factor 5 (intestinal)	KLF5	15.557604	0.00640736
1554911_at	Hs.335891	ATP-binding cassette, sub-family C (CFTR/MRP), member 11	ABCC11	15.317824	0.00220127
204533_at	Hs.413924	chemokine (C-X-C motif) ligand 10	CXCL10	14.231135	0.007705201
219106_s_at	Hs.50550	kelch repeat and BTB (POZ) domain containing 10	KBTBD10	12.590983	0.023223856
227180_at	Hs.274256	ELOVL family member 7, elongation of long chain fatty acids (yeast)	ELOVL7	12.3514185	0.010843577
218810_at	Hs.471918	hypothetical protein FLJ23231	FLJ23231	12.115619	0.015502724
219085_s_at	Hs.466919	gem (nuclear organelle) associated protein 7	GEMIN7	11.896409	0.011747997
1554675_a_at	Hs.501586	chromosome 10 open reading frame 94	C10orf94	11.315145	0.011294656
214576_at	Hs.248189	keratin, hair, acidic, 6	KRTHA6	11.101832	0.007708043
242041_at	Hs.370147	hypothetical protein FLJ22490	FLJ22490	10.969597	0.047963653
231524_at	Hs.157818	potassium voltage-gated channel, shaker-related subfamily, beta member 1	KCNAB1	10.935834	0.02518732
225316_at	Hs.75668	hypothetical protein FLJ14490	FLJ14490	10.889195	0.010523377
206596_s_at	Hs.89606	neural retina leucine zipper	NRL	10.817201	0.005297188
218995_s_at	Hs.506423	endothelin 1	EDN1	10.7148695	0.002232585
237687_at	Hs.31795	hypothetical protein LOC283737	LOC283737	9.72555	0.003805067
229158_at	Hs.105448	WNK lysine deficient protein kinase 4	WNK4	9.492269	0.009889033
201631_s_at	Hs.76095	immediate early response 3	IER3	9.454309	0.00014047
238567_at	Hs.210043	sphingosine-1-phosphate phosphotase 2	SGPP2	9.418198	0.006778716
207901_at	Hs.674	interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)	IL12B	9.328321	0.029140031
220804_s_at	Hs.192132	tumor protein p73	TP73	9.291771	0.018749395
225934_at	Hs.515698	hypothetical protein LOC148413 /// similar to hypothetical protein LOC148413	LOC148413 /// LOC440746	8.851318	0.001468892
210390_s_at	Hs.272493	chemokine (C-C motif) ligand 14 /// chemokine (C-C motif) ligand 15	CCL14 /// CCL15	8.770173	0.005316081
1556066_at	Hs.103915	jumonji domain containing 3	JMJD3	8.710769	0.012403492
213524_s_at	Hs.432132	putative lymphocyte G0/G1 switch gene	G0S2	8.534772	0.019328067
