Order	Parametric p-value	FDR	Geom mean of intensities in class 1 (1.25 Gy)	Geom mean of intensities in class 2 (Control)	Fold-change	Unique id	Description	Gene symbol
1	< 1e-07	< 1e-07	22121.00987	1698.06938	13.0271531	A_23_P38154	Homo sapiens ferredoxin reductase (FDXR), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA [NM_004110]	FDXR
2	< 1e-07	< 1e-07	668.5298021	51.8862581	12.8845252	A_23_P62959	Homo sapiens pleckstrin homology-like domain, family A, member 3 (PHLDA3), mRNA [NM_012396]	PHLDA3
3	< 1e-07	< 1e-07	10722.56288	1967.403357	5.4501091	A_23_P52610	Homo sapiens damage-specific DNA binding protein 2, 48kDa (DDB2), mRNA [NM_000107]	DDB2
4	< 1e-07	< 1e-07	2814.306518	631.7556341	4.4547391	A_32_P85230	BE646426 7e86f01.x1 NCI_CGAP_CLL1 Homo sapiens cDNA clone IMAGE:3292057 3, mRNA sequence [BE646426]	BE646426
5	< 1e-07	< 1e-07	409.3059743	99.8362204	4.0997743	A_23_P206077	Homo sapiens interferon stimulated exonuclease gene 20kDa-like 1 (ISG20L1), mRNA [NM_022767]	ISG20L1
6	< 1e-07	< 1e-07	5579.011824	1501.485782	3.7156608	A_23_P28886	Homo sapiens proliferating cell nuclear antigen (PCNA), transcript variant 1, mRNA [NM_002592]	PCNA
7	< 1e-07	< 1e-07	1635.268271	448.2857239	3.6478259	A_24_P127462	PREDICTED: Homo sapiens similar to Proliferating cell nuclear antigen (PCNA) (Cyclin) (LOC392454), mRNA [XR_018314]	LOC392454
8	< 1e-07	< 1e-07	63.3317368	9.9951187	6.3362666	A_24_P89457	Homo sapiens cyclin-dependent kinase inhibitor 1A (p21, Cip1) (CDKN1A), transcript variant 2, mRNA [NM_078467]	CDKN1A
9	< 1e-07	< 1e-07	774.1066605	267.4131517	2.8947965	A_24_P180424	Homo sapiens transmembrane protein 30A (TMEM30A), mRNA [NM_018247]	TMEM30A
10	< 1e-07	< 1e-07	516.3327439	170.5526939	3.0274089	A_23_P139895	Homo sapiens hypothetical protein MGC5370, mRNA (cDNA clone IMAGE:3049213), partial cds. [BC006795]	MGC5370
11	< 1e-07	< 1e-07	635.1875443	220.3585557	2.8825182	A_23_P70290	Homo sapiens transmembrane protein 30A (TMEM30A), mRNA [NM_018247]	TMEM30A
12	< 1e-07	< 1e-07	108.7125196	21.6216409	5.0279496	A_23_P31681	Homo sapiens cDNA FLJ23887 fis, clone LNG14332. [AK074467]	AK074467
13	< 1e-07	< 1e-07	322.1940932	57.3494411	5.618086	A_23_P30254	Homo sapiens polo-like kinase 2 (Drosophila) (PLK2), mRNA [NM_006622]	PLK2
14	< 1e-07	< 1e-07	3097.307368	792.7915399	3.9068371	A_23_P59210	Homo sapiens cyclin-dependent kinase inhibitor 1A (p21, Cip1) (CDKN1A), transcript variant 1, mRNA [NM_000389]	CDKN1A
15	< 1e-07	< 1e-07	983.7260637	278.9058308	3.5270903	A_23_P128408	Homo sapiens TP53 regulated inhibitor of apoptosis 1 (TRIAP1), mRNA [NM_016399]	TRIAP1
16	< 1e-07	< 1e-07	107.0727508	27.1778823	3.9397018	A_23_P46618	Homo sapiens plexin A2 (PLXNA2), mRNA [NM_025179]	PLXNA2
17	< 1e-07	< 1e-07	1185.927412	461.8413411	2.5678243	A_23_P23221	Homo sapiens growth arrest and DNA-damage-inducible, alpha (GADD45A), mRNA [NM_001924]	GADD45A
18	< 1e-07	< 1e-07	163.2895598	52.4359531	3.1140763	A_23_P357936	Homo sapiens astrotactin 2 (ASTN2), transcript variant 1, mRNA [NM_014010]	ASTN2
19	< 1e-07	< 1e-07	12859.19593	4932.887838	2.6068292	A_23_P382775	Homo sapiens BCL2 binding component 3 (BBC3), mRNA [NM_014417]	BBC3
20	< 1e-07	< 1e-07	3068.150223	1477.507065	2.0765723	A_23_P81770	Homo sapiens protein tyrosine phosphatase type IVA, member 1 (PTP4A1), mRNA [NM_003463]	PTP4A1
21	< 1e-07	< 1e-07	292.0067014	102.675494	2.8439766	A_32_P170664	Homo sapiens cDNA: FLJ21245 fis, clone COL01184. [AK024898]	AK024898
22	< 1e-07	< 1e-07	781.3136198	402.4518703	1.941384	A_32_P150030	Homo sapiens protein phosphatase 1D magnesium-dependent, delta isoform (PPM1D), mRNA [NM_003620]	PPM1D
23	< 1e-07	< 1e-07	308.3934313	110.9859336	2.7786713	A_32_P69492	Homo sapiens cDNA: FLJ21978 fis, clone HEP06046, highly similar to AF158185 Homo sapiens xeroderma pigmentosum variant RAD30 (RAD30) mRNA. [AK025631]	POLH
24	< 1e-07	< 1e-07	626.8395844	225.2069899	2.7833931	A_32_P96692	Q9BX12_HUMAN (Q9BX12) GTP binding protein 2 (Fragment), partial (26%) [THC2532504]	THC2532504
25	< 1e-07	< 1e-07	32.5243856	13.0572722	2.490902	A_23_P46673	PREDICTED: Homo sapiens similar to protein tyrosine phosphatase 4a1 (LOC731989), mRNA [XM_001134097]	LOC731989
26	< 1e-07	< 1e-07	4422.111461	2141.656916	2.0648085	A_24_P218265	Homo sapiens tumor necrosis factor receptor superfamily, member 10b (TNFRSF10B), transcript variant 1, mRNA [NM_003842]	TNFRSF10B
27	< 1e-07	< 1e-07	1316.898166	702.1968479	1.8753974	A_23_P128486	Homo sapiens chromosome 12 open reading frame 5 (C12orf5), mRNA [NM_020375]	C12orf5
28	< 1e-07	< 1e-07	807.7268229	432.1533849	1.8690744	A_23_P58606	Homo sapiens cyclin G1 (CCNG1), transcript variant 1, mRNA [NM_004060]	CCNG1
29	< 1e-07	< 1e-07	498.1612089	227.4406075	2.1902914	A_24_P783122	Homo sapiens cDNA FLJ41728 fis, clone HLUNG2015617. [AK123722]	IL10RB
30	< 1e-07	< 1e-07	83.9744494	34.5556103	2.4301249	A_24_P252043	Homo sapiens protein tyrosine phosphatase type IVA, member 1 (PTP4A1), mRNA [NM_003463]	PTP4A1
31	< 1e-07	< 1e-07	4872.082224	2496.694586	1.951413	A_23_P83192	Homo sapiens phosphohistidine phosphatase 1 (PHPT1), mRNA [NM_014172]	PHPT1
32	< 1e-07	< 1e-07	8533.839721	3401.709982	2.5086911	A_23_P208706	Homo sapiens BCL2-associated X protein (BAX), transcript variant epsilon, mRNA [NM_138764]	BAX
33	< 1e-07	< 1e-07	212.196707	106.8254911	1.9863864	A_23_P352435	Homo sapiens regulator of G-protein signalling 12 (RGS12), transcript variant 2, mRNA [NM_002926]	RGS12
34	< 1e-07	< 1e-07	192.575568	95.8781804	2.0085443	A_23_P303763	Homo sapiens zinc finger protein 79 (ZNF79), mRNA [NM_007135]	ZNF79
35	< 1e-07	< 1e-07	549.3426118	225.1924838	2.4394358	A_23_P93562	Homo sapiens sestrin 1 (SESN1), mRNA [NM_014454]	SESN1
36	< 1e-07	< 1e-07	148.4210047	54.353041	2.7306845	A_23_P169030	Homo sapiens tumor necrosis factor receptor superfamily, member 10b (TNFRSF10B), transcript variant 1, mRNA [NM_003842]	TNFRSF10B
37	< 1e-07	< 1e-07	253.4827219	120.9137026	2.0963937	A_23_P208768	Homo sapiens Fc fragment of IgA, receptor for (FCAR), transcript variant 1, mRNA [NM_002000]	FCAR
38	< 1e-07	< 1e-07	91.3744121	21.0633773	4.3380703	A_32_P140501	Unknown	A_32_P140501
39	< 1e-07	< 1e-07	1271.064022	292.2933425	4.3485904	A_23_P119202	Homo sapiens CD70 molecule (CD70), mRNA [NM_001252]	CD70
40	< 1e-07	< 1e-07	710.3021322	220.0172681	3.2283927	A_24_P925664	Unknown	THC2545454
41	< 1e-07	< 1e-07	988.9304173	453.1763471	2.1822198	A_23_P406616	Homo sapiens hypothetical protein FLJ36031 (FLJ36031), mRNA [NM_175884]	FLJ36031
42	< 1e-07	< 1e-07	4899.322274	2727.765305	1.7960938	A_23_P51646	Homo sapiens polo-like kinase 3 (Drosophila) (PLK3), mRNA [NM_004073]	PLK3
43	< 1e-07	< 1e-07	283.7283038	156.4200407	1.8138872	A_23_P35082	Homo sapiens sestrin 2 (SESN2), mRNA [NM_031459]	SESN2
44	< 1e-07	< 1e-07	463.5919758	129.3779274	3.5832385	A_24_P592871	UI-CF-FN0-age-k-21-0-UI.s1 UI-CF-FN0 Homo sapiens cDNA clone UI-CF-FN0-age-k-21-0-UI 3, mRNA sequence [CB250445]	CB250445
45	< 1e-07	< 1e-07	1198.192054	760.234471	1.5760822	A_23_P37535	Homo sapiens RAB8B, member RAS oncogene family (RAB8B), mRNA [NM_016530]	RAB8B
46	< 1e-07	< 1e-07	336.9725004	177.6998862	1.8963012	A_24_P88921	Homo sapiens xeroderma pigmentosum, complementation group C (XPC), mRNA [NM_004628]	XPC
47	< 1e-07	< 1e-07	208.7690678	107.9047198	1.9347538	A_24_P128312	Homo sapiens zinc finger protein 79 (ZNF79), mRNA [NM_007135]	ZNF79
48	< 1e-07	< 1e-07	708.9138345	311.9615379	2.2724399	A_23_P346311	Homo sapiens BCL2-associated X protein (BAX), transcript variant sigma, mRNA [NM_138765]	BAX
49	< 1e-07	< 1e-07	7058.91271	3809.295228	1.8530758	A_24_P71468	Homo sapiens glutaminyl-peptide cyclotransferase (glutaminyl cyclase) (QPCT), mRNA [NM_012413]	QPCT
50	< 1e-07	< 1e-07	735.0267324	277.2535668	2.6510993	A_23_P138262	Homo sapiens peptidyl arginine deiminase, type IV (PADI4), mRNA [NM_012387]	PADI4
51	< 1e-07	< 1e-07	2024.106483	1031.009392	1.963228	A_24_P185516	ALU1_HUMAN (P39188) Alu subfamily J sequence contamination warning entry, partial (5%) [THC2662610]	THC2662610
52	< 1e-07	< 1e-07	376.6344046	191.1815106	1.9700357	A_23_P65870	Homo sapiens F-box protein 22 (FBXO22), transcript variant 2, mRNA [NM_012170]	FBXO22
53	0.0000001	0.0000328	3077.828285	1885.253009	1.632581	A_23_P62901	Homo sapiens BTG family, member 2 (BTG2), mRNA [NM_006763]	BTG2
54	0.0000001	0.0000328	223.7020187	121.2930014	1.844311	A_24_P639629	Homo sapiens cDNA FLJ31683 fis, clone NT2RI2005353. [AK056245]	AK056245
55	0.0000001	0.0000328	193.149297	63.7404331	3.0302476	A_32_P347617	Homo sapiens apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3H (APOBEC3H), mRNA [NM_181773]	RP4-742C19.3
56	0.0000001	0.0000328	458.9076467	160.9591731	2.851081	A_24_P916853	Unknown	A_24_P916853
57	0.0000001	0.0000328	7270.912149	3685.032686	1.973093	A_24_P184031	Homo sapiens phosphohistidine phosphatase 1 (PHPT1), mRNA [NM_014172]	PHPT1
58	0.0000001	0.0000328	555.7198532	211.3055714	2.6299347	A_23_P253602	Homo sapiens BMX non-receptor tyrosine kinase (BMX), mRNA [NM_001721]	BMX
59	0.0000001	0.0000328	4280.987975	1168.813785	3.6626775	A_23_P14734	Homo sapiens ribosomal protein S27-like (RPS27L), mRNA [NM_015920]	RPS27L
60	0.0000001	0.0000328	632.099795	148.0087188	4.270693	A_23_P74609	Homo sapiens G0/G1switch 2 (G0S2), mRNA [NM_015714]	G0S2
61	0.0000002	0.0000616	69.778876	20.078251	3.4753463	A_24_P917549	Unknown	A_24_P917549
62	0.0000002	0.0000616	4228.584215	2254.363597	1.875733	A_23_P16915	Homo sapiens glutaminyl-peptide cyclotransferase (glutaminyl cyclase) (QPCT), mRNA [NM_012413]	QPCT
63	0.0000002	0.0000616	2335.856346	1308.38386	1.785299	A_23_P69810	Homo sapiens lysophosphatidic acid acyltransferase theta (LPAAT-THETA), mRNA [NM_032717]	LPAAT-THETA
64	0.0000002	0.0000616	215.4902767	127.4415909	1.6908944	A_23_P102192	Homo sapiens mitogen-activated protein kinase kinase kinase kinase 4 (MAP4K4), transcript variant 2, mRNA [NM_145686]	MAP4K4
65	0.0000003	0.0000882	504.629961	276.7433163	1.8234585	A_23_P218555	Homo sapiens FOS-like antigen 2 (FOSL2), mRNA [NM_005253]	FOSL2
66	0.0000003	0.0000882	140.8160685	69.2928807	2.0321867	A_23_P416711	Homo sapiens ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3 (ST6GALNAC3), mRNA [NM_152996]	ST6GALNAC3
67	0.0000003	0.0000882	53.6283353	26.05211	2.0585026	A_24_P48069	Homo sapiens docking protein 4 (DOK4), mRNA [NM_018110]	DOK4
68	0.0000004	0.0001126	1786.00084	1143.200636	1.5622812	A_24_P56388	Homo sapiens hypoxia-inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor) (HIF1A), transcript variant 2, mRNA [NM_181054]	HIF1A
69	0.0000004	0.0001126	409.8729624	269.8924888	1.5186527	A_23_P131771	Homo sapiens tumor protein D52-like 2 (TPD52L2), transcript variant 1, mRNA [NM_199360]	TPD52L2
70	0.0000004	0.0001126	11638.91257	5658.137006	2.057022	A_24_P347378	Homo sapiens arachidonate 5-lipoxygenase-activating protein (ALOX5AP), mRNA [NM_001629]	ALOX5AP
71	0.0000005	0.0001388	257.2868781	111.5096827	2.3073053	A_23_P106602	Homo sapiens cysteine-rich secretory protein LCCL domain containing 2 (CRISPLD2), mRNA [NM_031476]	CRISPLD2
72	0.0000006	0.000162	3818.95858	1885.813131	2.0250992	A_23_P330561	Homo sapiens chromosome 19 open reading frame 59 (C19orf59), mRNA [NM_174918]	C19orf59
73	0.0000006	0.000162	269.485449	158.2894515	1.7024852	A_24_P220786	Homo sapiens regulator of G-protein signalling 12 (RGS12), transcript variant 1, mRNA [NM_198229]	RGS12
74	0.0000007	0.0001864	6332.925013	3695.790862	1.7135507	A_23_P37484	Homo sapiens carbohydrate (chondroitin) synthase 1 (CHSY1), mRNA [NM_014918]	CHSY1
75	0.0000008	0.0002021	145.9533679	63.5049472	2.2982992	A_24_P346339	Homo sapiens sestrin 1 (SESN1), mRNA [NM_014454]	SESN1
76	0.0000008	0.0002021	3934.951075	2319.55024	1.6964285	A_32_P129894	Multiple epidermal growth factor-like domains 9 precursor (EGF-like domain-containing protein 5) (Multiple EGF-like domain protein 5). [Source:Uniprot/SWISSPROT;Acc:Q9H1U4] [ENST00000373930]	ENST00000373930
77	0.0000008	0.0002021	1269.732785	820.8460509	1.5468586	A_23_P157435	Homo sapiens antizyme inhibitor 1 (AZIN1), transcript variant 1, mRNA [NM_015878]	AZIN1
78	0.0000008	0.0002021	4375.810128	2215.111051	1.975436	A_23_P79518	Homo sapiens interleukin 1, beta (IL1B), mRNA [NM_000576]	IL1B
79	0.0000009	0.0002245	478.0691044	284.7315483	1.679017	A_32_P170736	Homo sapiens cDNA FLJ25556 fis, clone JTH02629. [AK098422]	AK098422
80	0.000001	0.0002463	422.1055761	250.7152346	1.6836056	A_24_P4816	Homo sapiens GABA(A) receptor-associated protein like 1 (GABARAPL1), mRNA [NM_031412]	GABARAPL1
81	0.0000012	0.0002884	345.5228142	221.3789643	1.5607753	A_24_P337397	Homo sapiens ankyrin repeat, family A (RFXANK-like), 2 (ANKRA2), mRNA [NM_023039]	ANKRA2
82	0.0000012	0.0002884	2877.480666	1892.485863	1.5204767	A_23_P204850	Homo sapiens retinoblastoma 1 (including osteosarcoma) (RB1), mRNA [NM_000321]	RB1
83	0.0000014	0.0003284	159.0132581	70.1424155	2.2670057	A_23_P369502	Homo sapiens peptidyl arginine deiminase, type IV (PADI4), mRNA [NM_012387]	PADI4
84	0.0000014	0.0003284	295.4747597	172.8205959	1.7097196	A_23_P367899	Homo sapiens erythropoietin receptor (EPOR), mRNA [NM_000121]	EPOR
85	0.0000016	0.0003542	27.985607	12.8566908	2.1767349	A_24_P354689	Homo sapiens sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 1 (SPOCK1), mRNA [NM_004598]	SPOCK1
86	0.0000016	0.0003542	128.9287505	221.7974802	0.5812904	A_24_P64039	Homo sapiens adaptor-related protein complex 3, mu 2 subunit (AP3M2), mRNA [NM_006803]	AP3M2
87	0.0000016	0.0003542	2291.414263	1396.788795	1.6404873	A_23_P108604	Homo sapiens mitogen-activated protein kinase kinase kinase kinase 4 (MAP4K4), transcript variant 2, mRNA [NM_145686]	MAP4K4
88	0.0000016	0.0003542	13996.40076	6979.899858	2.0052438	A_24_P78531	Homo sapiens C-type lectin domain family 4, member E (CLEC4E), mRNA [NM_014358]	CLEC4E
89	0.0000016	0.0003542	833.469505	507.1527468	1.6434289	A_23_P214139	Homo sapiens REV3-like, catalytic subunit of DNA polymerase zeta (yeast) (REV3L), mRNA [NM_002912]	REV3L
90	0.0000018	0.0003941	1442.947781	837.2028715	1.7235342	A_23_P251387	Homo sapiens RALBP1 associated Eps domain containing 2 (REPS2), mRNA [NM_004726]	REPS2
91	0.000002	0.0004331	7339.115318	3621.665938	2.0264473	A_23_P19333	Homo sapiens triggering receptor expressed on myeloid cells 1 (TREM1), mRNA [NM_018643]	TREM1
92	0.0000021	0.0004498	1487.051008	677.0525799	2.1963597	A_23_P106194	Homo sapiens v-fos FBJ murine osteosarcoma viral oncogene homolog (FOS), mRNA [NM_005252]	FOS
93	0.0000022	0.0004661	1179.017231	702.7964089	1.6776085	A_24_P158946	Homo sapiens FYVE, RhoGEF and PH domain containing 4 (FGD4), mRNA [NM_139241]	FGD4
