Rank	GenBank	Name	Symbol	Rank	HepG2	Hep3B
1	NM_022371	Torsin family 3, member A	TOR3A	5.31	2.57	0.48
2	NM_000287	Peroxisomal biogenesis factor 6	PEX6	4.47	1.01	0.23
3	NM_021038	Muscleblind-like (Drosophila)	MBNL1	4.05	1.5	0.37
4	NM_002129	High-mobility group box 2	HMGB2	3.98	1.51	0.38
5	NM_005896	Isocitrate dehydrogenase 1 (NADP+), soluble	IDH1	3.94	1.5	0.38
6	NM_020307	Cyclin L1	CCNL1	3.93	1.48	0.38
7	NM_001067	Topoisomerase (DNA) II ·, 170 kDa	TOP2A	3.84	1	0.26
8	NM_004830	Cofactor required for Sp1 transcriptional activation 3	CRSP3	3.76	0.69	0.18
9	Y10183	Activated leukocyte cell adhesion molecule	ALCAM	3.65	1.14	0.31
10	AL110194	High-mobility group box 1	HMGB1	3.58	1.77	0.5
11	NM_016343	Centromere protein F, 350/400ka (mitosin)	CENPF	3.57	1.12	0.31
12	NM_005077	Transducin-like enhancer of split 1	TLE1	3.47	1.26	0.36
13	NM_006024	Tax1 binding protein 1	TAX1BP1	3.45	0.66	0.19
14	NM_015906	Tripartite motif-containing 33	TRIM33	3.41	1.42	0.41
15	AL117665	Gem (nuclear organelle) associated protein 5	GEMIN5	3.41	1.61	0.47
16	NM_016142	Hydroxysteroid (17-ß) dehydrogenase 12	HSD17B12	3.4	1.6	0.47
17	AL161973	Myeloid/lymphoid or mixed-lineage leukemia	MLLT4	3.4	1.26	0.37
18	NM_003850	Succinate-CoA ligase, ADP-forming	SUCLA2	3.36	1.15	0.34
19	BC014003	Coiled-coil domain containing 5	CCDC5	3.35	1.3	0.39
20	AL157438	Mitogen-activated protein kinase 1	MAPK1	3.29	1.17	0.36
21	AK023345	Diaphanous homolog 1 (Drosophila)	DIAPH1	3.25	0.81	0.25
22	BF571514	Dual specificity phosphatase 10	DUSP10	3.14	0.75	0.24
23	NM_000366	Tropomyosin 1 (·)	TPM1	3.11	1.43	0.46
24	NM_006793	Peroxiredoxin 3	PRDX3	3.1	0.82	0.26
25	AL162068	Nucleosome assembly protein 1-like 1	NAP1L1	3.08	1.3	0.42
26	AF305083	Fucosyltransferase 4	FUT4	3.03	1.17	0.39
27	NM_005928	Milk fat globule-EGF factor 8 protein	MFGE8	3.01	1.05	0.35
28	NM_002166	Inhibitor of DNA binding 2	ID2	3	1.38	0.46
29	AB023195	Additional sex combs like 1 (Drosophila)	ASXL1	0.33	0.52	1.57
30	AB020711	CDC2-related protein kinase 7	CRK7	0.33	0.41	1.25
31	NM_014970	Kinesin-associated protein 3	KIFAP3	0.33	0.54	1.63
32	AL080157	WD repeat domain 21	WDR21	0.33	0.52	1.58
33	BG427872	Ubiquitin specific protease 46	USP46	0.33	0.52	1.57
34	AF208850	Protein tyrosine phosphatase type IVA2	PTP4A2	0.33	0.47	1.44
35	AL512725	Midnolin	MIDN	0.33	0.43	1.32
36	BE888791	Hepatocellular carcinoma related protein 1	FLJ32642	0.33	0.39	1.2
37	AA400519	Polyhomeotic like 3 (Drosophila)	PHC3	0.32	0.37	1.14
38	NM_021170	bHLH factor Hes4	Hes4	0.32	0.45	1.41
39	NM_014501	Ubiquitin-conjugating enzyme E2S	UBE2S	0.32	0.4	1.27
40	NM_014595	5, 3-nucleotidase, cytosolic	NT5C	0.31	0.37	1.17
41	D30612	Zinc finger protein 282	ZNF282	0.31	0.49	1.55
42	BC001043	Splicing factor 4	SF4	0.31	0.42	1.36
43	NM_018688	Bridging integrator 3	BIN3	0.31	0.41	1.35
44	NM_001439	Exostoses (multiple)-like 2	EXTL2	0.3	0.46	1.53
45	BG340148	HESB-like domain containing 1	HBLD1	0.3	0.45	1.52
46	NM_005186	Calpain 1, (mu/I) large subunit	CAPN1	0.3	0.38	1.3
47	NM_003739	Aldo-keto reductase 1C3	AKR1C3	0.29	0.47	1.6
48	NM_002673	Plexin B1	PLXNB1	0.29	0.44	1.53
49	NM_007246	Kelch-like 2, Mayven (Drosophila)	KLHL2	0.29	0.5	1.73
50	NM_002226	Jagged 2	JAG2	0.28	0.46	1.61
51	NM_002661	Phospholipase C, Á 2	PLCG2	0.28	0.48	1.72
52	NM_012116	Cas-Br-M ecotropic retroviral transforming C	CBLC	0.27	0.45	1.63
53	NM_001703	Brain-specific angiogenesis inhibitor 2	BAI2	0.27	0.5	1.85
54	BF115152	G protein-coupled receptor 110	GPR110	0.27	0.37	1.36
55	NM_000819	GART	GART	0.27	0.54	2.02
56	AF207881	Cytosolic ovarian carcinoma antigen 1	COVA1	0.26	0.55	2.16
57	NM_012164	F-box and WD-40 domain protein 2	FBXW2	0.24	0.17	0.68
58	NM_015953	Nitric oxide synthase interacting protein	NOSIP	0.24	0.43	1.8
59	BG254520	MADS box transcription enhancer factor 2A	MEF2A	0.23	0.33	1.44
60	NM_005652	Telomeric repeat binding factor 2	TERF2	0.22	0.39	1.79
61	AF277181	PNAS-123	LOC85028	0.22	0.37	1.71
62	NM_003686	Exonuclease 1	EXO1	0.19	0.2	1.05
63	NM_005873	Regulator of G-protein signalling 19	RGS19	0.19	0.34	1.8
64	D87452	Inositol hexaphosphate kinase 1	IHPK1	0.18	0.48	2.72
65	NM_016434	Tumor necrosis factor receptor superfamily 6b	TNFRSF6B	0.15	0.54	3.64
