Genes	Function	HR
AU148154		0.5792
B4GALT1	Cell adhesion	1.8344
CGB	cell death	1.3312
CHST12		1.4697
CLEC11A	positive regulation of cell proliferation	1.6334
COL2A1	negative regulation of apoptosis, Cell adhesion	1.5701
CYP2A6	nicotine metabolism	1.2751
DENND1A	synaptic vesicle endocytosis	1.4545
DIO1		1.5142
DOCK6		1.6545
EPHB6	Loss of expression in metastatic melanoma	1.4146
FZD9	G-protein coupled receptor protein signaling pathway	1.281
GLE1	export mRNA from nucleus to cytoplasm	1.492
GTF3C2	transcription factor	1.635
INF2	Rho GTPase binding	1.4114
KDM4B	transcriptional target of hypoxia-inducible factor	1.7967
SIK3	protein phosphorylation	0.5875
GREB1L		1.4917
KLK5	epidermis development	1.4736
KRT81	keratin filament	1.3167
LENEP	cell differentiation	1.5902
MYOG	cell differentiation	1.6048
NFKBIL1		1.5875
NLRP2	member of the I-kappa-B family cell death	1.408
NM_004876
FEZ2	cell projection organization and biogenesis	1.6395
NM_018600		1.5353
OCA2	cell differentiation	1.4181
PADI3	terminal differentiation of the epidermis	1.547
RPRM	negative regulation of progression through cell cycle	1.4748
SH3YL1		1.5522
SLC27A2	PPAR signaling pathway	1.4456
SLC35F5		1.4836
SNAPC2	transcription from RNA polymerase II promoter	1.5725
SPTBN2	cell death	1.652
STRN3		1.3969
SUSD4		1.4464
TCF3	transcription factor activity	1.525
TET3	tet oncogene family member 3	1.6322
THBS1	Cell adhesion, blood vessel development	1.3397
TRIM34		1.4886
TRIM46		1.4355
TRIP11	transcription from RNA polymerase II promoter	1.4917
CELSR1	Cell adhesion	1.5144
UBE2D4	ubiquitination	1.4669
UBXN4	response to unfolded protein	1.4742
VKORC1	oxidoreductase activity	1.5498
ZBTB7B	cell differentiation	1.5783
ZNF365		1.5436
MUC5AC	induction of apoptosis, Cell adhesion	1.4135
FGFR2	cell growth	1.5516
