Accession No.	Gene Symbol	Exon.ID	P.Value	adj.P.Val	Transcript.ID	gene_assignment
NM_001032290	PSRC1	2426953	2.77E-10	4.82E-05	2426951	NM_001032290 // PSRC1 // proline/serine-rich coiled-coil 1 // 1p13.3 // 84722 /// NM_032636 // PSRC1 // proline/serine-rich coiled-coil 1 // 1p13.3 // 84722 /// NM_001032291 // PSRC1 // proline/serine-rich coiled-coil 1 // 1p13.3 // 84722 /// NM_001005290 // PSRC1 // proline/serine-rich coiled-coil 1 // 1p13.3 // 84722 /// ENST00000369909 // PSRC1 // proline/serine-rich coiled-coil 1 // 1p13.3 // 84722 /// ENST00000369907 // PSRC1 // proline/serine-rich coiled-coil 1 // 1p13.3 // 84722 /// ENST00000369904 // PSRC1 // proline/serine-rich coiled-coil 1 // 1p13.3 // 84722 /// BC056909 // PSRC1 // proline/serine-rich coiled-coil 1 // 1p13.3 // 84722 /// ENST00000369903 // PSRC1 // proline/serine-rich coiled-coil 1 // 1p13.3 // 84722
NM_012396	PHLDA3	2450861	5.82E-10	4.82E-05	2450855	NM_012396 // PHLDA3 // pleckstrin homology-like domain, family A, member 3 // 1q31 // 23612 /// ENST00000367311 // PHLDA3 // pleckstrin homology-like domain, family A, member 3 // 1q31 // 23612 /// ENST00000367309 // PHLDA3 // pleckstrin homology-like domain, family A, member 3 // 1q31 // 23612 /// BC068273 // PHLDA3 // pleckstrin homology-like domain, family A, member 3 // 1q31 // 23612
NM_001809	CENPA	2474010	7.16E-10	4.82E-05	2473991	NM_001809 // CENPA // centromere protein A // 2p24-p21 // 1058 /// NM_001042426 // CENPA // centromere protein A // 2p24-p21 // 1058 /// ENST00000335756 // CENPA // centromere protein A // 2p24-p21 // 1058 /// ENST00000233505 // CENPA // centromere protein A // 2p24-p21 // 1058 /// U14518 // CENPA // centromere protein A // 2p24-p21 // 1058
NM_014417	BBC3	3866436	7.49E-10	4.82E-05	3866435	NM_014417 // BBC3 // BCL2 binding component 3 // 19q13.3-q13.4 // 27113 /// ENST00000359924 // BBC3 // BCL2 binding component 3 // 19q13.3-q13.4 // 27113 /// AF354654 // BBC3 // BCL2 binding component 3 // 19q13.3-q13.4 // 27113 /// ENST00000341983 // BBC3 // BCL2 binding component 3 // 19q13.3-q13.4 // 27113 /// ENST00000300880 // BBC3 // BCL2 binding component 3 // 19q13.3-q13.4 // 27113
NM_078467	CDKN1A	2905178	1.14E-09	5.87E-05	2905169	NM_078467 // CDKN1A // cyclin-dependent kinase inhibitor 1A (p21, Cip1) // 6p21.2 // 1026 /// NM_000389 // CDKN1A // cyclin-dependent kinase inhibitor 1A (p21, Cip1) // 6p21.2 // 1026 /// ENST00000244741 // CDKN1A // cyclin-dependent kinase inhibitor 1A (p21, Cip1) // 6p21.2 // 1026 /// ENST00000373711 // CDKN1A // cyclin-dependent kinase inhibitor 1A (p21, Cip1) // 6p21.2 // 1026 /// BC000312 // CDKN1A // cyclin-dependent kinase inhibitor 1A (p21, Cip1) // 6p21.2 // 1026
NM_012396	PHLDA3	2450858	7.04E-09	0.000287707	2450855	NM_012396 // PHLDA3 // pleckstrin homology-like domain, family A, member 3 // 1q31 // 23612 /// ENST00000367311 // PHLDA3 // pleckstrin homology-like domain, family A, member 3 // 1q31 // 23612 /// ENST00000367309 // PHLDA3 // pleckstrin homology-like domain, family A, member 3 // 1q31 // 23612 /// BC068273 // PHLDA3 // pleckstrin homology-like domain, family A, member 3 // 1q31 // 23612
NM_005030	PLK1	3653074	8.06E-09	0.000287707	3653072	NM_005030 // PLK1 // polo-like kinase 1 (Drosophila) // 16p12.1 // 5347 /// ENST00000300093 // PLK1 // polo-like kinase 1 (Drosophila) // 16p12.1 // 5347 /// ENST00000330792 // PLK1 // polo-like kinase 1 (Drosophila) // 16p12.1 // 5347 /// AB209179 // PLK1 // polo-like kinase 1 (Drosophila) // 16p12.1 // 5347
NM_006622	PLK2	2858053	8.95E-09	0.000287707	2858023	NM_006622 // PLK2 // polo-like kinase 2 (Drosophila) // 5q12.1-q13.2 // 10769 /// ENST00000274289 // PLK2 // polo-like kinase 2 (Drosophila) // 5q12.1-q13.2 // 10769 /// AF059617 // PLK2 // polo-like kinase 2 (Drosophila) // 5q12.1-q13.2 // 10769
NM_031459	SESN2	2327402	1.26E-08	0.000358285	2327391	NM_031459 // SESN2 // sestrin 2 // 1p35.3 // 83667 /// ENST00000253063 // SESN2 // sestrin 2 // 1p35.3 // 83667 /// AY123223 // SESN2 // sestrin 2 // 1p35.3 // 83667
NM_001255	CDC20	2333139	1.39E-08	0.000358285	2333136	NM_001255 // CDC20 // cell division cycle 20 homolog (S. cerevisiae) // 1p34.1 // 991 /// ENST00000372462 // CDC20 // cell division cycle 20 homolog (S. cerevisiae) // 1p34.1 // 991 /// ENST00000310955 // CDC20 // cell division cycle 20 homolog (S. cerevisiae) // 1p34.1 // 991 /// U05340 // CDC20 // cell division cycle 20 homolog (S. cerevisiae) // 1p34.1 // 991
