Rank	GenBank	Name	Symbol	HepG2	Hep3B
1	NM_002901	Reticulocalbin 1, EF-hand calcium binding domain	RCN1	3.48a	1.84
2	AK000405	Ubiquitin-like 4	UBL4	3.37	2.03
3	NM_003918	Glycogenin 2	GYG2	2.77	1.90
4	AF082557	Tankyrase	TNKS	2.73	1.89
5	AK027693	Myeloid-associated differentiation marker	MYADM	2.85	1.98
6	NM_007108	Transcription elongation factor B2	TCEB2	2.59	1.84
7	NM_004024	Activating transcription factor 3	ATF3	2.54	1.81
8	NM_005132	REC8-like 1 (yeast)	REC8L1	2.75	2.07
9	AF009674	Axin 1	AXIN1	3.06	2.34
10	D31763	Zinc finger protein 33a (KOX 31)	ZNF33A	2.43	1.91
11	NM_014078	Mitochondrial ribosomal protein L13	MRPL13	2.23	1.78
12	NM_002668	Proteolipid protein 2 (colonic epithelium-enriched)	PLP2	2.96	2.44
13	NM_017425	Sperm autoantigenic protein 17	SPA17	2.39	2.01
14	NM_005749	Transducer of ERBB2, 1	TOB1	2.27	2.45
15	NM_002836	Protein tyrosine phosphatase, receptor type, A	PTPRA	2.38	2.57
16	AW572940	Signal-induced proliferation-associated 1 like 3	SIPA1L3	2.02	2.46
17	NM_017793	RNase P protein subunit p25	Rpp25	2.10	2.63
18	NM_018927	Protocadherin Á subfamily C, 3	PCDHGC3	2.12	2.79
