Symbol	Synonym(s)	Entrez Gene Name	Affymetrix
ANGPTL4	ANGIOPOIETIN-LIKE 4, ANGPTL2, ARP4, Bk89, Fasting Induced Adipose Factor, FIAF, Harp, HFARP, LOC362850, Ng27, NL2, PGAR, PGARG, pp1158, PPARG	angiopoietin-like 4	221009_s_at
APP	A beta 25–35, A-BETA 40, A-BETA 42, AAA, ABETA, ABPP, AD1, Adap, AL024401, AMYLOID BETA, AMYLOID BETA 40, AMYLOID BETA 40 HUMAN, AMYLOID BETA 42, Amyloid beta A4, AMYLOID BETA PEPTIDE 40, Amyloid precursor, Amyloidogenic glycoprotein, App alpha, APPI, appican, BETAAPP, CTFgamma, CVAP, E030013M08RIK, Nexin II, P3, PN2, PreA4, PROTEASE NEXIN2	amyloid beta (A4) precursor protein	214953_s_at
CHRNB4	Acrb-4, NACHR BETA4	cholinergic receptor, nicotinic, beta 4	207516_at
CREBL2	AI046348, B230205M03, MGC109304, MGC117311, MGC130380, MGC130381, MGC138362	cAMP responsive element binding protein-like 2	201990_s_at
CTSL2	1190035F06Rik, Cathepsin l, CATHEPSIN V, CATHL, CATL2, Ctsl, Ctsl1, CTSU, CTSV, fs, MEP, MGC125957, nkt	cathepsin L2	210074_at
CX3CL1	AB030188, ABCD-3, AI848747, C3Xkine, CX3C, CX3CL, CXC3, CXC3 CHEMOKINE PRECURSOR, CXC3C, D8Bwg0439e, FK, FKN, FRACTALKINE, NEUROTACTIN, NTN, NTT, SCYD1	chemokine (C-X3-C motif) ligand 1	823_at
DACH1	AI182278, Dac, DACH, E130112M23Rik, FLJ10138	dachshund homolog 1 (Drosophila)	205471_s_at
E2F1	E2f, E2f1 predicted, KIAA4009, mKIAA4009, RBAP1, RBBP3, RBP3	E2F transcription factor 1	204947_at
EPOR	EP-R, ERYTHROPOIETIN RECEPTOR, MGC108723, MGC138358	erythropoietin receptor	215054_at
ERBB4	C-erb-b4, Erbb4 Cyt2, ERBB4 JM-A, HER4, MGC138404, p180erbB4	v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)	214053_at
ESR1	AA420328, Alpha estrogen receptor, AU041214, DKFZp686N23123, ER, ER ALPHA, Er alpha (46 kDa isoform), ER66, ERA, ER[a], ESR, ESRA, ESTR, ESTRA, ESTROGEN RECEPTOR ALPHA, ESTROGEN RECEPTOR1, NR3A1, RNESTROR, TERP-1	estrogen receptor 1	217190_x_at
FAM152A	5830417C01Rik, C1orf121, CGI-146, DKFZp586C1019, FLJ21998, PNAS-4	family with sequence similarity 152, member A	212371_at
FBLN1	FBLN, FIBULIN 1	fibulin 1	207834_at
GATA3	HDR, MGC2346, MGC5199, MGC5445	GATA binding protein 3	209602_s_at
GHR	AA986417, GHBP, GHR/BP, GROWTH HORMONE RECEPTOR, MGC124963, MGC156665	growth hormone receptor	205498_at
GPC3	DGSX, Glypican 3, GTR2-2, MGC93606, OCI-5, SDYS, SGB, SGBS, SGBS1	glypican 3	209220_at
