Gene type	Gene name	Accession no.	Fold regulation
Immunoglobulins/related genes	Beta-2 microglobulin	AA109951	1.5
Immunoglobulins/related genes	H2 class II histocompatibility antigens	AI323599	2
Immunoglobulins/related genes	H2 class II antigen A	AA272807	2.2
Immunoglobulins/related genes	H2 class II locus DM	AU042338	2.2
Immunoglobulins/related genes	H2, complement component	W18121	1.5
Immunoglobulins/related genes	H2, O region beta locus	AA145469	1.5
Immunoglobulins/related genes	H2, 2D region locus 1	W30548	1.4
Immunoglobulins/related genes	Immunoglobulin heavy chain 1	AA182334	8.3
Immunoglobulins/related genes	Immunoglobulin heavy chain 3	AU045060	6.2
Immunoglobulins/related genes	Immunoglobulin heavy chain 4	AI662163	1.9
Immunoglobulins/related genes	Immunoglobulin heavy chain 6	AO015491	3.2
Immunoglobulins/related genes	Immunoglobulin J chain precursor	AI323815	2.8
Immunoglobulins/related genes	CD24a antigen	AU042170	1.6
Immunoglobulins/related genes	Complement component 1, q subcomponent	AA000461	1.6
Immunoglobulins/related genes	Cryptdin 17 or defensin	AA518520	1.5
Cytokines and growth factors	Growth differentiation factor 3	C77913	1.6
Cytokines and growth factors	Growth factor independent I B	W65842	1.6
Cytokines and growth factors	Insulin like growth factor binding protein –1	AA423149	1.6
Cytokines and growth factors	Growth factor receptor bound protein 7	AA244622	1.7
Cytokines and growth factors	Secretory leukocyte protease inhibitor	AA200339	2
Cytokines and growth factors	Small inducible cytokine subfamily B	AA152885	2.4
Cytokines and growth factors	Transforming growth factor, beta 2	AU022195	1.5
Enzymes	Galactokinase	AA255078	1.7
Enzymes	Fructose bisphosphatase 1	AA276043	1.7
Enzymes	Glyceraldehyde 3 phosphate dehydrogenase	AU043933	1.8
Enzymes	GTP cyclohydrolase 1	AI323637	1.6
Enzymes	2,3-bisphosphoglycerate mutase	AW55508	1.6
Enzymes	ADP-ribosyltransferase	AA117045	1.5
Enzymes	Brain creatine kinase	W84226	1.5
Enzymes	Fructose bisphosphatase 1	AA276043	1.7
Enzymes	Galactokinase	AA255078	1.7
Enzymes	Guanidinoacetate methyltransferase	AI465130	1.5
Enzymes	Sphingosine kinase 1	AA000819	1.6
Mitochondrial proteins	Cytochrome C oxidase, subunit VIIIa	AI326932	1.6
Mitochondrial proteins	Mitochondrial uncoupling protein (ucp)	AA472506	1.6
Transcription factors/activators of	Bcl 3	AI450238	1.5
transcription factors	GTF IIH	AW545633	1.7
Signal transduction	cRaf, vRaf	AW547875	1.5
Signal transduction	cRas related protein	W97276	1.5
Cell adhesion and structure	CD 44	AW539558	1.5
Cell adhesion and structure	Formin binding protein 3	AA178253	1.6
Cell adhesion and structure	Intercellular adhesion molecule 2	AA050972	1.5
Cell adhesion and structure	Laminin gamma 3	AA048118	1.7
Cell adhesion and structure	Procollagen, type I, alpha 1	AW538541	1.6
Cell adhesion and structure	CEA-related cell adhesion molecule 9	AW545543	1.5
Cell cycle	Cdc 25 homologue	C78693	1.5
Organ morphogenesis	Cardiac morphogenesis	AA023480	1.6
Organ morphogenesis	Gamma E crystallin	W78478	1.6
Extra cellular transport	ABC (subfamily A)	AU045475	4.5
Extra cellular transport	ABC (subfamily C)	AU018886	4
Extra cellular transport	Solute carrier family 1, member 2	AA238533	1.6
Extra cellular transport	Solute carrier family 2)	AA275871	1.5
Extra cellular transport	Solute carrier family 4	W85633	1.6
Extra cellular transport	Solute carrier family 5, member alpha 1	AA064246	1.6
Intra cellular transport	Adaptor protein 2 (AP-2)	AAOO8029	2
Intra cellular transport	Epsin 2	AA413761	1.6
Intra cellular transport	Kinesin heavy chain 1B	AA002775	1.5
Apoptosis	Caspase 12	AW552373	1.6
Genes implicated in vasculopathy	Clusterin (apolipoprotein J)	AA271058	1.5
Intracellular pH maintenance	Carbonic anhydrase	W59264	1.6
Cell movement	Myosin light chain, alkali	AA014929	1.5
Cell movement	Myosin light chain, regulatory A	AA048675	1.6
Cell movement	Myosin Vb	AW546331	2
Cell movement	Myosin-binding protein H	W59642	1.5
Other important genes	Heat shock protein 84 kDa	C79131	1.7
Other important genes	Natriuretic peptide precursor type B	AW541489	1.6
Other important genes	Neuromedin	AA064128	1.6
Other important genes	Ganulin	AW551003	1.6
Other important genes	Somatostatin	AI326805	1.5
Other important genes	Cellular retinoic acid binding protein	AA145458	1.6
