Gene	Description	Chromosome	FPKM N	FPKM AD	Fold change	p-value	Ensembl Gene ID
IGHA1	immunoglobulin heavy constant alpha 1	chr14	0.234092	5.275364	22.53543051	0.00018499	ENSG00000211895
RP11-552E20.3	not annotated	chr6	1.87539	14.272193	7.610253334	8.76E-09	not annotated
PCYT1A	phosphate cytidylyltransferase 1, choline, alpha	chr3	0.413637	3.021956	7.305816453	0.00801203	ENSG00000161217
SLC7A9	solute carrier family 7 (cationic amino acid transporter, y+ system), member 9	chr19	0.705822	4.834326	6.849214108	0.0105864	ENSG00000021488
RAD54L	RAD54-like (S. cerevisiae)	chr1	0.436495	2.391719	5.479373189	0.0259394	ENSG00000085999
OAS1	29,59-oligoadenylate synthetase 1, 40/46kDa	chr12	3.82773	20.973536	5.479366622	4.89E-08	ENSG00000089127
MTIF2	mitochondrial translational initiation factor 2	chr2	3.75753	16.176999	4.305221515	7.00E-07	ENSG00000085760
STAB1	stabilin 1	chr3	0.729626	2.887364	3.9573206	0.0317452	ENSG00000010327
CD22	CD22 molecule	chr19	9.83818	36.883742	3.749041184	0	ENSG00000012124
AC_018730.1	not annotated	chr2	9.4161	32.907895	3.494854027	8.88E-16	not annotated
RELN	reelin	chr7	19.4443	0.055404	-350.9548047	2.22E-16	ENSG00000189056
ANK1	ankyrin 1, erythrocytic	chr8	13.7202	0.086115	-159.3241596	8.88E-13	ENSG00000029534
GRM4	glutamate receptor, metabotropic 4	chr6	29.2203	0.392424	-74.46104214	0	ENSG00000124493
GRM1	glutamate receptor, metabotropic 1	chr6	7.96543	0.142632	-55.84602333	1.76E-08	ENSG00000152822
TFRC	transferrin receptor (p90, CD71)	chr3	9.17108	0.180114	-50.91819625	3.81E-08	ENSG00000072274
DAO	D-amino-acid oxidase	chr12	10.0459	0.20387	-49.27600922	4.99E-08	ENSG00000110887
ABLIM1	actin binding LIM protein 1	chr10	19.2058	0.39862	-48.1807235	3.21E-11	ENSG00000099204
KIAA0802	KIAA0802	chr18	14.4233	0.387405	-37.23054684	4.61E-07	ENSG00000168502
MED13L	mediator complex subunit 13-like	chr12	7.77748	0.210969	-36.86551105	7.40E-10	ENSG00000123066
ITGB8	integrin, beta 8	chr7	7.38908	0.20143	-36.68311572	5.17E-07	ENSG00000105855
