# Generate Mapping Tables Script: Version 4 11:04 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:04 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_007048|NM_007048	hgnc_symbol|BTN3A1|BTN3A1
refseq_dna|NM_005319|NM_005319	hgnc_symbol|HIST1H1C|HIST1H1C
refseq_dna|NM_024610|NM_024610	hgnc_symbol|HSPBAP1|HSPBAP1
refseq_dna|NM_017819|NM_017819	hgnc_symbol|TRMT10C|TRMT10C
refseq_dna|NM_005962|NM_005962	hgnc_symbol|MXI1|MXI1
refseq_dna|NM_022894|NM_022894	hgnc_symbol|PAPOLG|PAPOLG
refseq_dna|NM_018319|NM_018319	hgnc_symbol|TDP1|TDP1
refseq_dna|NM_014736|NM_014736	hgnc_symbol|KIAA0101|KIAA0101
refseq_dna|NM_004736|NM_004736	hgnc_symbol|XPR1|XPR1
refseq_dna|NM_000808|NM_000808	hgnc_symbol|GABRA3|GABRA3
refseq_dna|NM_017847|NM_017847	hgnc_symbol|C1orf27|C1orf27
refseq_dna|NM_006530|NM_006530	hgnc_symbol|YEATS4|YEATS4
refseq_dna|NM_018128|NM_018128	hgnc_symbol|TSR1|TSR1
refseq_dna|NM_022034|NM_022034
refseq_dna|NM_022141|NM_022141	hgnc_symbol|PARVG|PARVG
refseq_dna|NM_017424|NM_017424	hgnc_symbol|CECR1|CECR1
refseq_dna|NM_012123|NM_012123	hgnc_symbol|MTO1|MTO1
refseq_dna|NM_014626|NM_014626	hgnc_symbol|TAAR2|TAAR2
refseq_dna|NM_022826|NM_022826	hgnc_symbol|MAR7|MAR7
refseq_dna|NM_022353|NM_022353	hgnc_symbol|OSGEPL1|OSGEPL1
refseq_dna|NM_012395|NM_012395	hgnc_symbol|CDK14|CDK14
refseq_dna|NM_000983|NM_000983	hgnc_symbol|RPL22|RPL22
refseq_dna|NM_003829|NM_003829	hgnc_symbol|MPDZ|MPDZ
refseq_dna|NM_020200|NM_020200	hgnc_symbol|PRTFDC1|PRTFDC1
refseq_dna|NM_018185|NM_018185	hgnc_symbol|DCUN1D2|DCUN1D2
refseq_dna|NM_003094|NM_003094	hgnc_symbol|SNRPE|SNRPE
refseq_dna|NM_001872|NM_001872	hgnc_symbol|CPB2|CPB2
refseq_dna|NM_006499|NM_006499	hgnc_symbol|LGALS8|LGALS8
refseq_dna|NM_018991|NM_018991	hgnc_symbol|STAG3L1|STAG3L1
refseq_dna|NM_005264|NM_005264	hgnc_symbol|GFRA1|GFRA1
refseq_dna|NM_012198|NM_012198	hgnc_symbol|GCA|GCA
refseq_dna|NM_004507|NM_004507	hgnc_symbol|HUS1|HUS1
refseq_dna|NM_000500|NM_000500	hgnc_symbol|CYP21A2|CYP21A2
refseq_dna|NM_018035|NM_018035	hgnc_symbol|ATP5SL|ATP5SL
refseq_dna|NM_006681|NM_006681	hgnc_symbol|NMU|NMU
refseq_dna|NM_022118|NM_022118	hgnc_symbol|RBM26|RBM26
refseq_dna|NM_018410|NM_018410
refseq_dna|NM_024719|NM_024719	hgnc_symbol|GRTP1|GRTP1
refseq_dna|NM_006751|NM_006751	hgnc_symbol|SSFA2|SSFA2
refseq_dna|NM_017423|NM_017423	hgnc_symbol|GALNT7|GALNT7
refseq_dna|NM_015833|NM_015833	hgnc_symbol|ADARB1|ADARB1
refseq_dna|NM_033214|NM_033214	hgnc_symbol|GK2|GK2
refseq_dna|NM_004549|NM_004549	hgnc_symbol|NDUFC2|NDUFC2
refseq_dna|NM_000859|NM_000859	hgnc_symbol|HMGCR|HMGCR
refseq_dna|NM_015583|NM_015583
refseq_dna|NM_014548|NM_014548	hgnc_symbol|TMOD2|TMOD2
refseq_dna|NM_014547|NM_014547	hgnc_symbol|TMOD3|TMOD3
refseq_dna|NM_003420|NM_003420	hgnc_symbol|ZNF35|ZNF35
refseq_dna|NM_015387|NM_015387	hgnc_symbol|MOB4|MOB4
refseq_dna|NM_012095|NM_012095	hgnc_symbol|AP3M1|AP3M1
refseq_dna|NM_002754|NM_002754	hgnc_symbol|MAPK13|MAPK13
refseq_dna|NM_024756|NM_024756	hgnc_symbol|MMRN2|MMRN2
refseq_dna|NM_001206|NM_001206	hgnc_symbol|KLF9|KLF9
refseq_dna|NM_015836|NM_015836	hgnc_symbol|WARS2|WARS2
refseq_dna|NM_033220|NM_033220	hgnc_symbol|TRIM14|TRIM14
refseq_dna|XM_017654|XM_017654
refseq_dna|NM_005166|NM_005166	hgnc_symbol|APLP1|APLP1
refseq_dna|NM_017775|NM_017775	hgnc_symbol|TTC19|TTC19
refseq_dna|NM_020666|NM_020666	hgnc_symbol|CLK4|CLK4
