Expression	miRNA	Chromosome position	Fold change	Localfdr (%)	Targets (ratio of mRNA expression in HepG2.2.15 cells to that in HepG2 cells)
Up-regulated miRNAs	hsa-mir-181a	9q33.3	14.77	0.13	C8A (0.11), IDH1 (0.31), HLA-A (0.31), TFPI (0.32)
Up-regulated miRNAs	hsa-mir-196b	7p5.2	11.3	0	IGFBP1 (0.20), NFKBIA (0.39), CYB5 (0.42)
Up-regulated miRNAs	hsa-mir-181c	19p13.12	8.26	0	C8A (0.11), SERPINE1(0.18), IDH1(0.31), TFPI(0.32)
Up-regulated miRNAs	hsa-mir-181d	19p13.12	8.24	0.13	C8A (0.1), SERPINE1 (0.18), IDH1 (0.31), HLA-A (0.31)
Up-regulated miRNAs	hsa-mir-183	7q32.2	4.46	0	SERPIND1 (0.14), BRMS1L (0.45), PLK1 (0.43)
Up-regulated miRNAs	hsa-mir-429	1p36.33	4.31	0	BRMS1L (0.45), SERPINI1 (0.46)
Up-regulated miRNAs	hsa-mir-200b	1p36.33	3.34	0	SERPINI1 (0.46), IDH1 (0.31)
Up-regulated miRNAs	hsa-mir-99b	19q13.41	3.25	0.15	FLJ14529 (0.42)
Up-regulated miRNAs	hsa-mir-23a	19p13.12	3.22	0	STX17 (0.47), ALDH1A1 (0.39), AUH (0.46), MSRA (0.38)
Up-regulated miRNAs	hsa-mir-125a	19q13.41	3.22	10.12	SARDH (0.33), ANPEP (0.45), MAPK12 (0.48), EMID1 (0.21)
Up-regulated miRNAs	hsa-mir-146a	5q33.3	3.05	0	WDR40A (0.50), LOC81691 (0.37)
Down-regulated miRNA	hsa-mir-15a	13q14.2	0.1	0	MYB (37.04), KIF3C (2.31), PCQAP (2.11)
Down-regulated miRNA	hsa-mir-378	5q32	0.11	0.03	MGC14161 (18.21), C12orf22 (2.58)
Down-regulated miRNA	hsa-mir-16	13q14.2	0.11	0	MYB (37.04), HOXA10 (18.96), FGF2 (2.43)
Down-regulated miRNA	hsa-mir-338	17q25.3	0.15	0	NRP1 (4.29)
Down-regulated miRNA	hsa-mir-422a	15q22.31	0.17	0	MGC14161 (18.21), C12orf22 (2.58)
Down-regulated miRNA	hsa-mir-17	17q31.3	0.19	0	MGC14161 (18.21), SDK1 (10.95), LIP1 (2.50)
Down-regulated miRNA	hsa-mir-202	10q26.3	0.2	0	DKFZP566F084 (5.73), SNX5 (2.63), SLU7 (2.57)
