Agilent Human Microarray Probe Name	Probe Chromosomal Coordinates (hg19)	Gene Symbol	28 genes overlap with 185 genes associated with cardiovascular disease as identified by IPA	10 genes around loci associated with lipid metabolism as identified by GWAS (ref1 and ref2)	8 genes around loci associated with lipid metabolism and coronary heart disease as identified by GWAS (ref3 and ref4)	41 Lipid associated genes that show sex-biased expression in both human and mouse liver	33 Lipid associated genes that show sex-biased expression in both human and rat liver	21 common lipid associated genes that show sex-biased expression in human, mouse and rat liver	Gene Accession	Gene Name	GO Annotation	Sex-bias	Composite array score	Male/Female normalized ratio	Male/Female Fold-change	p-value	Microarray Signal Intensity1 (female)	Miccroarray Signal Intensity2 (male)
A_24_P289265	chr9:107618189-107618248	ABCA1	1	1	1	1	0	0	AK024328	ATP-binding cassette, sub-family A (ABC1), member 1	molecular function|ATP binding|IDA|GO:0005524|GOA|11700048//molecular function|ATPase activity|IEA|GO:0016887|GOA|na//molecular function|anion transmembrane transporter activity|ISS|GO:0008509|GOA|na//molecular function|apolipoprotein A-I binding|IPI|GO:0034186|GOA|ARRAY(0xfafb28)//molecular function|apolipoprotein A-I receptor activity|IDA|GO:0034188|GOA|16443932//molecular function|apolipoprotein binding|IPI|GO:0034185|GOA|11162594//molecular function|cholesterol binding|IC|GO:0015485|GOA|12084722//molecular function|cholesterol transporter activity|IDA|GO:0017127|GOA|12084722//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|phospholipid binding|IC|GO:0005543|GOA|16702602//molecular function|phospholipid transporter activity|IDA|GO:0005548|GOA|16702602//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0xb35ecc)//molecular function|small GTPase binding|IPI|GO:0031267|GOA|16443932//molecular function|syntaxin-13 binding|IPI|GO:0030349|GOA|15469992//biological process|Cdc42 protein signal transduction|IMP|GO:0032488|GOA|16443932//biological process|G-protein coupled receptor protein signaling pathway|IMP|GO:0007186|GOA|16443932//biological process|cholesterol efflux|IDA|GO:0033344|GOA|ARRAY(0xf4e834)//biological process|cholesterol efflux|IMP|GO:0033344|GOA|16443932//biological process|cholesterol homeostasis|IDA|GO:0042632|GOA|10431236//biological process|cholesterol metabolic process|IDA|GO:0008203|GOA|14747463//biological process|endosome transport|IDA|GO:0016197|GOA|14747463//biological process|high-density lipoprotein particle assembly|IMP|GO:0034380|GOA|ARRAY(0xb231cc)//biological process|interleukin-1 beta secretion|IMP|GO:0050702|GOA|11855831//biological process|intracellular cholesterol transport|IMP|GO:0032367|GOA|10431236//biological process|lysosome organization|IDA|GO:0007040|GOA|15163665//biological process|negative regulation of cholesterol storage|TAS|GO:0010887|GOA|18490524//biological process|negative regulation of macrophage derived foam cell differentiation|TAS|GO:0010745|GOA|18490524//biological process|peptide secretion|IEA|GO:0002790|GOA|na//biological process|phagocytosis, engulfment|IEA|GO:0006911|GOA|na//biological process|phospholipid efflux|IDA|GO:0033700|GOA|ARRAY(0xb6bddc)//biological process|phospholipid efflux|IMP|GO:0033700|GOA|16702602//biological process|phospholipid homeostasis|IMP|GO:0055091|GOA|16702602//biological process|phospholipid translocation|IEA|GO:0045332|GOA|na//biological process|platelet dense granule organization|IMP|GO:0060155|GOA|15163665//biological process|positive regulation of cAMP biosynthetic process|IMP|GO:0030819|GOA|14701824//biological process|protein amino acid lipidation|IEA|GO:0006497|GOA|na//biological process|reverse cholesterol transport|IMP|GO:0043691|GOA|10431236//biological process|steroid metabolic process|IEA|GO:0008202|GOA|na//biological process|transport|IEA|GO:0006810|GOA|na//cellular component|Golgi apparatus|IEA|GO:0005794|GOA|na//cellular component|endocytic vesicle|IDA|GO:0030139|GOA|14747463//cellular component|integral to plasma membrane|IDA|GO:0005887|GOA|10525055//cellular component|membrane fraction|IDA|GO:0005624|GOA|10525055//cellular component|membrane raft|IDA|GO:0045121|GOA|15469992//cellular component|phagocytic vesicle|IDA|GO:0045335|GOA|15469992//cellular component|plasma membrane|EXP|GO:0005886|GOA|ARRAY(0x12c38e8)	F	14	0.801	-1.2484	0.000027009	74.9804	59.277
A_24_P252934	chr11:116693887-116693946	APOA4	0	1	1	1	1	1	NM_000482	Apolipoprotein A-IV	molecular function|antioxidant activity|IDA|GO:0016209|GOA|16945374//molecular function|cholesterol transporter activity|IDA|GO:0017127|GOA|1935934//molecular function|copper ion binding|IDA|GO:0005507|GOA|16945374//molecular function|eukaryotic cell surface binding|IDA|GO:0043499|GOA|1935934//molecular function|lipid binding|IMP|GO:0008289|GOA|16159879//molecular function|lipid transporter activity|TAS|GO:0005319|GOA|3080432//molecular function|phosphatidylcholine binding|IDA|GO:0031210|GOA|ARRAY(0x12c8654)//molecular function|phosphatidylcholine-sterol O-acyltransferase activator activity|IDA|GO:0060228|GOA|1935934//molecular function|protein homodimerization activity|IDA|GO:0042803|GOA|1935934//biological process|cholesterol efflux|IDA|GO:0033344|GOA|ARRAY(0xbc3070)//biological process|cholesterol homeostasis|IDA|GO:0042632|GOA|1935934//biological process|cholesterol metabolic process|IDA|GO:0008203|GOA|1935934//biological process|chylomicron assembly|TAS|GO:0034378|GOA|16159879//biological process|chylomicron remodeling|IC|GO:0034371|GOA|2307668//biological process|high-density lipoprotein particle remodeling|IC|GO:0034375|GOA|1935934//biological process|hydrogen peroxide catabolic process|IDA|GO:0042744|GOA|16945374//biological process|innate immune response in mucosa|IDA|GO:0002227|GOA|15254593//biological process|leukocyte cell-cell adhesion|IDA|GO:0007159|GOA|15254593//biological process|lipid homeostasis|IDA|GO:0055088|GOA|3095477//biological process|lipid transport|IDA|GO:0006869|GOA|ARRAY(0xc9c9c0)//biological process|lipoprotein metabolic process|IEA|GO:0042157|GOA|na//biological process|multicellular organismal lipid catabolic process|IDA|GO:0044240|GOA|3095477//biological process|negative regulation of plasma lipoprotein oxidation|IDA|GO:0034445|GOA|16945374//biological process|phosphatidylcholine metabolic process|IDA|GO:0046470|GOA|1935934//biological process|phospholipid efflux|IDA|GO:0033700|GOA|11162594//biological process|positive regulation of cholesterol esterification|IDA|GO:0010873|GOA|1935934//biological process|positive regulation of fatty acid biosynthetic process|IDA|GO:0045723|GOA|2307668//biological process|positive regulation of lipoprotein lipase activity|IDA|GO:0051006|GOA|2307668//biological process|positive regulation of triglyceride catabolic process|IDA|GO:0010898|GOA|2307668//biological process|protein-lipid complex assembly|IMP|GO:0065005|GOA|16159879//biological process|regulation of cholesterol transport|IDA|GO:0032374|GOA|11940599//biological process|regulation of intestinal cholesterol absorption|IEA|GO:0030300|GOA|na//biological process|removal of superoxide radicals|IDA|GO:0019430|GOA|16945374//biological process|response to lipid hydroperoxide|IDA|GO:0006982|GOA|16945374//biological process|reverse cholesterol transport|IDA|GO:0043691|GOA|3095477//biological process|very-low-density lipoprotein particle remodeling|IDA|GO:0034372|GOA|2307668//cellular component|chylomicron|IDA|GO:0042627|GOA|3095477//cellular component|endoplasmic reticulum lumen|EXP|GO:0005788|GOA|12692552//cellular component|extracellular region|EXP|GO:0005576|GOA|ARRAY(0xcdcb4c)//cellular component|extracellular region|NAS|GO:0005576|GOA|14718574//cellular component|extracellular space|IDA|GO:0005615|GOA|1935934//cellular component|high-density lipoprotein particle|IDA|GO:0034364|GOA|3095477//cellular component|very-low-density lipoprotein particle|IDA|GO:0034361|GOA|ARRAY(0x1a13414)	F	16	0.5122	-1.9523	2.9832E-20	172.034	85.7142
A_23_P75630	chr11:116660206-116660265	APOA5	1	1	1	1	1	1	NM_052968	Apolipoprotein A-V	molecular function|enzyme activator activity|IDA|GO:0008047|GOA|16806135//molecular function|enzyme binding|IDA|GO:0019899|GOA|15178420//molecular function|heparin binding|IDA|GO:0008201|GOA|15878877//molecular function|heparin binding|IDA|GO:0008201|GOA|17326667//molecular function|lipase activator activity|IMP|GO:0060229|GOA|15178420//molecular function|lipid binding|IDA|GO:0008289|GOA|12810715//molecular function|lipoprotein lipase activator activity|IDA|GO:0060230|GOA|18635818//molecular function|lipoprotein receptor binding|IPI|GO:0070325|GOA|18635818//molecular function|low-density lipoprotein receptor binding|IPI|GO:0050750|GOA|17326667//molecular function|phosphatidylcholine binding|IDA|GO:0031210|GOA|16806135//molecular function|phospholipid binding|IDA|GO:0005543|GOA|12810715//biological process|acylglycerol homeostasis|IDA|GO:0055090|GOA|11588264//biological process|acylglycerol homeostasis|IMP|GO:0055090|GOA|15178420//biological process|lipid transport|IDA|GO:0006869|GOA|15178420//biological process|lipoprotein metabolic process|IEA|GO:0042157|GOA|na//biological process|positive regulation of fatty acid biosynthetic process|IDA|GO:0045723|GOA|18635818//biological process|positive regulation of lipid catabolic process|IDA|GO:0050996|GOA|16806135//biological process|positive regulation of lipoprotein lipase activity|IDA|GO:0051006|GOA|ARRAY(0x47ae81c)//biological process|positive regulation of receptor-mediated endocytosis|TAS|GO:0048260|GOA|18635818//biological process|positive regulation of triglyceride catabolic process|IDA|GO:0010898|GOA|18635818//biological process|positive regulation of very-low-density lipoprotein particle remodeling|IDA|GO:0010902|GOA|18635818//biological process|tissue regeneration|IEP|GO:0042246|GOA|11577099//biological process|triglyceride catabolic process|IMP|GO:0019433|GOA|15178420//biological process|triglyceride homeostasis|IMP|GO:0070328|GOA|18635818//biological process|triglyceride metabolic process|IDA|GO:0006641|GOA|11588264//biological process|triglyceride metabolic process|IMP|GO:0006641|GOA|ARRAY(0x14b61f0)//biological process|triglyceride-rich lipoprotein particle remodeling|IEA|GO:0034370|GOA|na//cellular component|chylomicron|IDA|GO:0042627|GOA|15528295//cellular component|extracellular region|IDA|GO:0005576|GOA|11577099//cellular component|extracellular space|IDA|GO:0005615|GOA|18635818//cellular component|high-density lipoprotein particle|IDA|GO:0034364|GOA|15528295//cellular component|low-density lipoprotein particle|IDA|GO:0034362|GOA|15528295//cellular component|very-low-density lipoprotein particle|IDA|GO:0034361|GOA|15528295	F	14	0.7981	-1.2531	1.7508E-08	13914.8965	11072.7295
A_23_P27450	chr19:45448104-45448412	APOC4	0	1	1	0	1	0	NM_001646	Apolipoprotein C-IV	molecular function|lipid transporter activity|TAS|GO:0005319|GOA|8530039//biological process|lipid metabolic process|TAS|GO:0006629|GOA|8530039//biological process|lipid transport|IEA|GO:0006869|GOA|na//biological process|positive regulation of sequestering of triglyceride|IMP|GO:0010890|GOA|18809223//biological process|triglyceride homeostasis|IMP|GO:0070328|GOA|8827523//cellular component|extracellular region|IEA|GO:0005576|GOA|na//cellular component|high-density lipoprotein particle|IDA|GO:0034364|GOA|12700345//cellular component|very-low-density lipoprotein particle|IDA|GO:0034361|GOA|ARRAY(0xf53a2c)//cellular component|very-low-density lipoprotein particle|IMP|GO:0034361|GOA|8827523	F	15	0.8497	-1.1769	1.837E-08	22726.3633	19362.752
A_24_P203622	chr1:63084399-63084458	DOCK7	0	1	1	1	0	0	NM_033407	Dedicator of cytokinesis 7	molecular function|Rac GTPase binding|IDA|GO:0048365|GOA|16982419//molecular function|guanyl-nucleotide exchange factor activity|IEA|GO:0005085|GOA|na//biological process|activation of Rac GTPase activity|IDA|GO:0032863|GOA|16982419//biological process|axonogenesis|IMP|GO:0007409|GOA|16982419//biological process|cell differentiation|IEA|GO:0030154|GOA|na//biological process|establishment of neuroblast polarity|IMP|GO:0045200|GOA|16982419//biological process|microtubule cytoskeleton organization|IMP|GO:0000226|GOA|16982419//biological process|multicellular organismal development|IEA|GO:0007275|GOA|na//biological process|nervous system development|IEA|GO:0007399|GOA|na//biological process|neuron projection development|IMP|GO:0031175|GOA|16982419//biological process|pigmentation|IEA|GO:0043473|GOA|na//biological process|positive regulation of peptidyl-serine phosphorylation|IMP|GO:0033138|GOA|16982419//cellular component|axon|TAS|GO:0030424|GOA|16982419//cellular component|basal part of cell|TAS|GO:0045178|GOA|16982419//cellular component|growth cone|TAS|GO:0030426|GOA|16982419//cellular component|neuron projection|TAS|GO:0043005|GOA|16982419	F	15	0.8046	-1.2428	1.2907E-22	140.476	112.79
A_23_P208595	chr19:11242533-11242592	LDLR	1	1	1	0	0	0	NM_000527	Low density lipoprotein receptor	molecular function|calcium ion binding|IEA|GO:0005509|GOA|na//molecular function|lipoprotein binding|TAS|GO:0008034|GOA|6091915//molecular function|low-density lipoprotein receptor activity|IDA|GO:0005041|GOA|ARRAY(0xea5558)//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x1d6842c)//molecular function|transmembrane receptor activity|TAS|GO:0004888|GOA|6091915//molecular function|very-low-density lipoprotein receptor activity|IDA|GO:0030229|GOA|8626535//biological process|cholesterol homeostasis|IMP|GO:0042632|GOA|17142622//biological process|cholesterol metabolic process|IEA|GO:0008203|GOA|na//biological process|cholesterol transport|IMP|GO:0030301|GOA|17142622//biological process|endocytosis|IEA|GO:0006897|GOA|na//biological process|interspecies interaction between organisms|IEA|GO:0044419|GOA|na//biological process|intestinal cholesterol absorption|IMP|GO:0030299|GOA|17142622//biological process|lipid metabolic process|TAS|GO:0006629|GOA|ARRAY(0xf7b9f0)//biological process|lipid transport|IEA|GO:0006869|GOA|na//biological process|lipoprotein catabolic process|IEA|GO:0042159|GOA|na//biological process|low-density lipoprotein particle clearance|IMP|GO:0034383|GOA|17142622//biological process|protein amino acid O-linked glycosylation|TAS|GO:0006493|GOA|6091915//biological process|response to estrogen stimulus|IEA|GO:0043627|GOA|na//biological process|steroid metabolic process|IEA|GO:0008202|GOA|na//cellular component|caveola|IEA|GO:0005901|GOA|na//cellular component|clathrin-coated endocytic vesicle membrane|EXP|GO:0030669|GOA|221835//cellular component|coated pit|IEA|GO:0005905|GOA|na//cellular component|endosome|IEA|GO:0005768|GOA|na//cellular component|endosome membrane|EXP|GO:0010008|GOA|221835//cellular component|integral to plasma membrane|TAS|GO:0005887|GOA|6327078//cellular component|low-density lipoprotein particle|IEA|GO:0034362|GOA|na//cellular component|plasma membrane|EXP|GO:0005886|GOA|ARRAY(0x1a19ae0)	F	15	0.7033	-1.4218	4.837E-13	1206.7212	846.7817
A_23_P88559	chr15:58861011-58861070	LIPC	1	1	1	1	0	0	NM_000236	Lipase, hepatic	molecular function|apolipoprotein binding|ISS|GO:0034185|GOA|na//molecular function|heparin binding|IEA|GO:0008201|GOA|na//molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|low-density lipoprotein binding|ISS|GO:0030169|GOA|na//molecular function|phospholipase activity|TAS|GO:0004620|GOA|3244012//molecular function|triglyceride lipase activity|IDA|GO:0004806|GOA|ARRAY(0xd0701c)//biological process|cholesterol homeostasis|IMP|GO:0042632|GOA|1883393//biological process|chylomicron remnant clearance|TAS|GO:0034382|GOA|9685400//biological process|fatty acid biosynthetic process|IDA|GO:0006633|GOA|182536//biological process|high-density lipoprotein particle remodeling|IMP|GO:0034375|GOA|3244012//biological process|intermediate-density lipoprotein particle remodeling|TAS|GO:0034373|GOA|2839510//biological process|lipid catabolic process|IEA|GO:0016042|GOA|na//biological process|low-density lipoprotein particle remodeling|IMP|GO:0034374|GOA|3244012//biological process|phosphatidylcholine catabolic process|TAS|GO:0034638|GOA|2839510//biological process|reverse cholesterol transport|IC|GO:0043691|GOA|14531818//biological process|triglyceride catabolic process|IDA|GO:0019433|GOA|ARRAY(0x1d38388)//biological process|triglyceride homeostasis|IMP|GO:0070328|GOA|1883393//biological process|very-low-density lipoprotein particle remodeling|IDA|GO:0034372|GOA|8640403//cellular component|extracellular region|IEA|GO:0005576|GOA|na//cellular component|extracellular space|IDA|GO:0005615|GOA|2839510//cellular component|high-density lipoprotein particle|IEA|GO:0034364|GOA|na	M	15	1.2075	1.2075	5.3902E-11	38169.7969	46018.7031
A_23_P46539	chr1:109822459-109822518	PSRC1	1	1	1	0	0	0	NM_032636	Proline/serine-rich coiled-coil 1	molecular function|microtubule binding|ISS|GO:0008017|GOA|12427559//molecular function|protein binding|IEA|GO:0005515|GOA|na//biological process|cell cycle|ISS|GO:0007049|GOA|12427559//biological process|microtubule bundle formation|ISS|GO:0001578|GOA|12427559//biological process|negative regulation of cell growth|ISS|GO:0030308|GOA|12427559//biological process|positive regulation of gene-specific transcription|ISS|GO:0043193|GOA|12427559//biological process|positive regulation of microtubule polymerization|ISS|GO:0031116|GOA|12427559//cellular component|cytoplasm|ISS|GO:0005737|GOA|12427559//cellular component|microtubule cytoskeleton|ISS|GO:0015630|GOA|12427559//cellular component|midbody|ISS|GO:0030496|GOA|12427559//cellular component|spindle|ISS|GO:0005819|GOA|12427559	M	14	1.3335	1.3335	2.1559E-09	144.4933	194.34
A_23_P159325	chr19:8439169-8439228	ANGPTL4	1	1	0	1	0	0	NM_139314	Angiopoietin-like 4	molecular function|enzyme inhibitor activity|ISS|GO:0004857|GOA|na//molecular function|receptor binding|IEA|GO:0005102|GOA|na//biological process|cell differentiation|IEA|GO:0030154|GOA|na//biological process|multicellular organismal development|IEA|GO:0007275|GOA|na//biological process|negative regulation of apoptosis|IDA|GO:0043066|GOA|10698685//biological process|negative regulation of lipoprotein lipase activity|ISS|GO:0051005|GOA|na//biological process|positive regulation of angiogenesis|TAS|GO:0045766|GOA|11953136//biological process|protein homooligomerization|IEA|GO:0051260|GOA|na//biological process|response to hypoxia|NAS|GO:0001666|GOA|12707035//biological process|signal transduction|IEA|GO:0007165|GOA|na//cellular component|extracellular region|IDA|GO:0005576|GOA|10698685//cellular component|extracellular space|IDA|GO:0005615|GOA|10698685//cellular component|intracellular membrane-bounded organelle|IDA|GO:0043231|GOA|18029348//cellular component|proteinaceous extracellular matrix|IEA|GO:0005578|GOA|na	M	14	1.2062	1.2062	1.2016E-10	6492.751	7846.4141
A_23_P28761	chr20:43042332-43042379	HNF4A	0	1	0	0	0	0	NM_178850	Hepatocyte nuclear factor 4, alpha	molecular function|DNA binding|IDA|GO:0003677|GOA|ARRAY(0x1a2ce0c)//molecular function|fatty acid binding|IDA|GO:0005504|GOA|12220494//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|promoter binding|IDA|GO:0010843|GOA|16488887//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0xbb98ac)//molecular function|protein homodimerization activity|IDA|GO:0042803|GOA|12220494//molecular function|receptor binding|IDA|GO:0005102|GOA|12220494//molecular function|steroid binding|IEA|GO:0005496|GOA|na//molecular function|steroid hormone receptor activity|IEA|GO:0003707|GOA|na//molecular function|transcription factor activity|IDA|GO:0003700|GOA|ARRAY(0x157596c)//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|blood coagulation|IDA|GO:0007596|GOA|12911579//biological process|lipid homeostasis|IMP|GO:0055088|GOA|17827783//biological process|negative regulation of cell growth|IMP|GO:0030308|GOA|18163890//biological process|negative regulation of cell proliferation|IMP|GO:0008285|GOA|18163890//biological process|ornithine metabolic process|IMP|GO:0006591|GOA|17827783//biological process|positive regulation of gene-specific transcription|IDA|GO:0043193|GOA|16488887//biological process|positive regulation of gene-specific transcription from RNA polymerase II promoter|IMP|GO:0010552|GOA|17827783//biological process|positive regulation of transcription from RNA polymerase II promoter|IDA|GO:0045944|GOA|7615825//biological process|regulation of gene-specific transcription from RNA polymerase II promoter|IDA|GO:0010551|GOA|ARRAY(0x19dea50)//biological process|regulation of gene-specific transcription from RNA polymerase II promoter|IMP|GO:0010551|GOA|18163890//biological process|regulation of lipid metabolic process|IDA|GO:0019216|GOA|10551874//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//biological process|xenobiotic metabolic process|IMP|GO:0006805|GOA|17827783//cellular component|cytoplasm|IDA|GO:0005737|GOA|14563941//cellular component|nucleus|IDA|GO:0005634|GOA|ARRAY(0xbcfe24)	F	15	0.8374	-1.1942	0.000019227	40.1561	33.7126
