Times selected	Agilent ID	Gene	Description	AccessNumber
961	A_23_P24515	ACAT1	Acetyl -coenzyme A acetyltransferase	NM_000019
820	A_23_P213424	ENC1	Ectodermal neural cortex 1 (with BTB-like domain)	NM_003633
567	A_23_P24716	TMEM132A	Transmembrane protein A	NM_017870
547	A_23_P256413	CMTM7	CKLF-like MARVEL transmembrane domain containing 7	NM_138410
512	A_23_P7353	LARP2	La ribonucleotide domain family member 2	NM_178043
435	A_23_P153615	MADCAM1	Mucosal vascular addressin cell adhesion molecule 1	NM_130760
330	A_23_P26717	RPL23	Ribosomal protein L23	NM_000978
310	A_23_P13663	FAM60A	Family with sequence similarity 60, member A	NM_021238
287	A_23_P47843	DDX55	DEAD(Asp-Glu-Ala-Asp) box polypeptide 55	NM_020936
275	A_23_P13102	CASP12	Caspase 12	NM_014383
273	A_23_P35521	P4HA1	Proline 4-hidroxylase alpha plypeptide	NM_000917
267	A_23_P27964	HOMER-3	Homer neuronal immediate early gene 3	NM_004838
249	A_23_P40309	SNRPB2	Small nuclear ribonucleoprotein polypeptide B	NM_003092
246	A_23_38262	ELAC2	ElaC homolog 2	NM_018127
238	A_23_P113634	CBFB	Core-binding factor beta, subunit of dimeric polyomavirus enhancer binding transcription factor	NM_001755
233	A_23_P210253	DGKD	Diacylglycerol kinase delta	NM_003648
221	A_23_P33075	LO8961	Similar to c-Mer protooncogen tyrosine kinase (human MERTK)	LO8961
221	A_23_P131846	SNAI1	Snail 1 homolog	NM_005985
218	A_23_P206268	TRAPPC2L	Trafficking protein particle complex 2-like	NM_016209
208	A_23_P35125	SF3B4	Splicing factor 3b (SF3B) subunit 4	NM_005850
