RefSeq_ID	chrom	strand	start	end	Gene symbol
NM_001793	chr16	+	67235651	67290458	CDH3
NM_001111038	chr7	-	102240543	102502524	FBXL13
NM_004613	chr20	-	36190277	36227114	TGM2
NM_003151	chr2	-	191602550	191724170	STAT4
NM_006017	chr4	-	15578946	15686839	PROM1
NM_005860	chr19	+	627388	634392	FSTL3
NM_006169	chr11	+	113671744	113688448	NNMT
NM_012101	chr11	-	119487203	119514073	TRIM29
NM_001042481	chr14	+	51025604	51267194	FRMD6
NM_033157	chr7	+	134114710	134306012	CALD1
NM_020371	chr15	-	31945719	32118595	AVEN
NM_002318	chr8	-	23210354	23317667	LOXL2
NM_181597	chr7	+	48094879	48114855	UPP1
NM_024626	chr1	-	117487731	117555072	VTCN1
NM_000852	chr11	+	67107641	67110700	GSTP1
NM_182962	chr11	+	101693403	101713675	BIRC3
NM_025081	chr14	+	23937831	23958334	KIAA1305
NM_172174	chr4	+	142777203	142874061	IL15
NM_152703	chr7	-	92597303	92615616	SAMD9L
NM_006290	chr6	+	138230273	138246142	TNFAIP3
NM_002996	chr16	+	55963914	55976457	CX3CL1
NM_001114614	chr15	-	87242917	87257667	MFGE8
NM_033260	chr6	+	1257674	1259993	FOXQ1
NM_019089	chr1	-	6397882	6402566	HES2
NM_018240	chr1	+	156229686	156332468	KIRREL
NM_005268	chr1	+	34993307	34996699	GJB5
NM_002275	chr17	-	36923523	36928796	KRT15
NM_175617	chr16	+	55217085	55218525	MT1E
NM_000930	chr8	-	42151392	42184351	PLAT
NM_004292	chr11	-	65856117	65860576	RIN1
NM_001080512	chr10	+	59942909	60258851	BICC1
NM_138441	chr6	-	74191576	74218764	C6orf150
NM_052813	chr9	-	138378229	138387954	CARD9
NM_000094	chr3	-	48576509	48607597	COL7A1
NM_005238	chr11	-	127833865	127897415	ETS1
NM_014210	chr17	-	26668800	26672843	EVI2A
NM_006495	chr17	-	26654913	26665256	EVI2B
NM_014211	chr5	+	170143300	170173626	GABRP
NM_019117	chrX	+	86659370	86811706	KLHL4
NM_005557	chr17	-	37019556	37022605	KRT16
NM_000422	chr17	-	37029217	37034408	KRT17
NM_017527	chr8	+	143778530	143782584	LY6K
NM_004995	chr14	+	22375632	22386643	MMP14
NM_002444	chrX	+	64804235	64878518	MSN
NM_176870	chr16	+	55224034	55225399	MT1M
NM_152501	chr1	+	157167965	157213467	PYHIN1
NM_000660	chr19	-	46528490	46551656	TGFB1
NM_033199	chr3	-	48574154	48576205	UCN2
NM_016267	chrX	+	135441976	135466631	VGLL1
NM_001511	chr4	+	74953972	74955817	CXCL1
