Accession no.	Protein	Fold increase
AV316991	EST	6.5
M90551	Intercellular adhesion molecule	4.3
AV207158	EST	3.9
M99492	Butyrylocholinesterase	3.8
U79523	peptidylglycine  -amidating monooxygenase	3.3
C79288	EST	2.6
AV321289	Heat-responsive protein 12; translation inhibitor p14.5	2.5
AA989957	SMAF1	2.3
D64162	Rae123 cell surface protein	2.3
X57638	Peroxisome proliferator-activated receptor  	2.3
AV218205	Cystatin 3	2.1
AA016517	Mac-2-binding glycoprotein precursor	2
AJ005564	Small proline-rich protein 2F	2
AV100072	Superoxide dismutase 1, soluble	2
