Gene Abbreviation	Gene’s Full Name
ALDH1A1	Aldehyde dehydrogenase 1 family, member A1
AMICA1	Adhesion molecule, interacts with CXADR antigen 1
BHLHE41	Basic helix-loop-helix family, member e41
CCL19	Chemokine (C-C motif) ligand 19
CCR2	Chemokine (C-C motif) receptor 2
CD8a	CD8a molecule
CGA	Glycoprotein hormones, alpha polypeptide
CHI3L1	Chitinase 3-like 1
CHIT1	Chitinase 1
CHRNA9	Cholinergic receptor, nicotinic, alpha 9
FAM46C	Family with sequence similarity 46, member C
FBP1	Fructose-1,6-bisphosphatase 1
GZMA	Granzyme A
GZMB	Granzyme B
GZMH	Granzyme H
GZMK	Granzyme K
HLA-DPA1	Major histocompatibility complex, class II, DP alpha 1
HLA-DRB5	Major histocompatibility complex, class II, DR beta 5
IGJ	Immunoglobulin J polypeptide
IGKC	Immunoglobulin kappa constant
ITGBL1	Integrin, beta-like 1
KLRK1	Killer cell lectin-like receptor subfamily K, member 1 (NKG2D)
LYZ	Lysozyme
MMP7	Matrix metallopeptidase 7
POU2AF1	POU class 2 associating factor 1
PROM1	Prominin 1
SLAMF1	Signaling lymphocytic activation molecule family member 1
TMEM200A	Transmembrane protein 200A
TNFRSF17	Tumor necrosis factor receptor superfamily, member 17
TRBC1	T cell receptor beta constant 1
