ENSEMBL ID	GENESYMBOL	CYTOBAND	FOLD-CHANGE	P-VALUE
ENSG00000120952	PRAMEF2	1p36.21	2.667540176	5.00E-07
ENSG00000174325	DIRC1	2q33	3.074680849	0.000136239
ENSG00000187574		19q13.42	3.634818516	0.000140868
ENSG00000041353	RAB27B	18q21.2	5.198900941	0.000184767
ENSG00000203781		NA	2.524031648	0.000233447
ENSG00000064886	CHI3L2	1p13.3	2.378897866	0.000250571
ENSG00000085662	AKR1B1	7q35	2.931644157	0.000283022
ENSG00000017483	SLC38A5	Xp11.23	3.982764014	0.000377212
ENSG00000164929	BAALC	8q22.3	2.874431532	0.000428429
ENSG00000123496	IL13RA2	Xq13.1-q28	20.93981319	0.000540806
ENSG00000103569	AQP9	15q22.1-q22.2	2.691113676	0.000694135
ENSG00000157551	KCNJ15	21q22.2	2.671074101	0.00079147
ENSG00000147145	LPAR4	Xq13-q21.1	2.366152949	0.000848196
ENSG00000166825	ANPEP	15q25-q26	2.244877415	0.00092242
ENSG00000158270	COLEC12	18pter-p11.3	6.014410476	0.000943924
ENSG00000206111	NA	NA	2.017473887	0.001199398
ENSG00000201052	NA	NA	2.010605446	0.001377322
ENSG00000170961	HAS2	8q24.12	3.887492791	0.001478289
ENSG00000125848	FLRT3	20p11	2.581297933	0.001851804
ENSG00000167992	VWCE	11q12.2	3.27403558	0.002166104
ENSG00000013293	SLC7A14	3q26.2	4.730698882	0.002402726
ENSG00000206999	U6	NA	3.198960843	0.002414993
ENSG00000120549	KIAA1217	10p12.2-p12.1	2.040717762	0.002436123
ENSG00000208446		NA	2.368641731	0.002478681
ENSG00000189367	C6orf174	6q22.33	3.169305355	0.002536214
ENSG00000112796	ENPP5	6p21.1-p11.2	2.161335945	0.002572302
ENSG00000067992	PDK3	Xp22.11	2.069931942	0.002654461
ENSG00000182053		11p11.12	2.185126295	0.002714152
ENSG00000145358	DDIT4L	4q23	3.616314124	0.002732329
ENSG00000210604		NA	2.062937338	0.002886246
ENSG00000169116		4q13.3-q21.3	2.250314535	0.002938038
ENSG00000207089	U6	NA	2.741590948	0.002962061
ENSG00000131459	GFPT2	5q34-q35	2.64188927	0.003000972
ENSG00000211728		NA	2.685101578	0.003151314
ENSG00000214886	FAM177A2	4q23	2.077919839	0.003468751
ENSG00000139364	TMEM132B	12q24.31-q24.32	2.717204848	0.003478847
ENSG00000180447	GAS1	9q21.3-q22	2.523973331	0.003626661
ENSG00000200566	U5	NA	2.408124531	0.003691519
ENSG00000179656	NA	NA	3.778333372	0.003979234
ENSG00000133805	AMPD3	11p15	3.573059652	0.004406222
ENSG00000202223	NA	NA	3.258451828	0.004562734
ENSG00000117594	HSD11B1	1q32-q41	2.584126448	0.00463478
ENSG00000110092	CCND1	11q13	2.183440675	0.004809515
ENSG00000102359	SRPX2	Xq21.33-q23	2.34143015	0.004935754
ENSG00000203299	NA	NA	2.250106572	0.005101053
ENSG00000108691	CCL2	17q11.2-q12	2.840037541	0.005183389
ENSG00000078053	AMPH	7p14-p13	2.023668996	0.005383059
ENSG00000179751	SYCN	19q13.2	3.04270261	0.005406
ENSG00000110031	LPXN	11q12.1	5.359357294	0.00541667
ENSG00000174125	TLR1	4p14	2.007379425	0.005456805
ENSG00000201395	7SK	NA	2.232964012	0.005843998
ENSG00000135929	CYP27A1	2q33-qter	2.41951855	0.005993622
ENSG00000170745	KCNS3	2p24	2.318074071	0.006081071
ENSG00000196549	MME	3q25.1-q25.2	4.79759043	0.006248629
ENSG00000147507	LYN	8q13	2.484565082	0.006607495
ENSG00000125675	GRIA3	Xq25-q26	4.054020357	0.006861288
